FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,5.0,90.0,-99.9,3.8,80.0,0.0,4.3,654.9,-99.9,24.2,18.8,11.4,21.1,4.9
2023-02-02,8.8,0.0,-99.9,2.2,77.0,0.0,5.0,654.6,-99.9,25.2,18.1,9.0,21.1,2.5
2023-02-03,3.4,0.0,-99.9,2.3,90.0,21.7,8.0,656.1,-99.9,18.2,15.8,10.4,21.1,3.7
2023-02-04,8.6,0.0,-99.9,0.4,92.0,13.8,8.0,655.9,-99.9,19.2,16.3,11.0,21.1,3.7
2023-02-05,6.2,0.0,-99.9,1.1,88.0,1.0,6.0,655.7,-99.9,22.8,17.3,10.4,21.1,4.9
2023-02-06,0.0,0.0,-99.9,2.4,92.0,0.0,8.0,655.0,-99.9,24.2,14.5,8.0,21.1,2.5
2023-02-07,8.4,0.0,-99.9,1.2,86.0,0.0,1.7,653.6,-99.9,25.4,18.3,8.0,21.1,3.7
2023-02-08,8.6,9.0,,2.0,81.0,1.0,5.7,653.3,-99.9,26.8,18.9,9.4,21.1,6.0
2023-02-09,8.3,360.0,-99.9,3.8,63.0,0.4,4.3,442.8,-99.9,26.0,19.9,11.6,21.1,6.0
2023-02-10,5.5,0.0,-99.9,4.3,80.0,0.0,5.3,653.5,-99.9,24.8,18.2,11.4,21.1,3.7
2023-02-11,2.6,360.0,-99.9,2.8,96.0,25.6,7.7,654.5,-99.9,21.4,16.4,9.4,21.1,5.0
2023-02-12,3.4,9.0,-99.9,1.9,89.0,1.2,0.4,655.3,-99.9,16.2,16.4,8.6,-99.9,6.0
2023-02-13,1.4,0.0,-99.9,1.2,87.0,0.0,7.7,654.0,-99.9,20.6,16.6,8.8,21.0,2.3
2023-02-14,9.2,0.0,-99.9,1.1,81.0,0.0,5.0,652.6,-99.9,28.6,20.0,8.4,21.0,3.7
2023-02-15,9.2,0.0,-99.9,4.3,82.0,0.0,3.0,652.6,-99.9,27.6,20.3,9.4,-99.9,2.5
2023-02-16,7.9,0.0,-99.9,9.0,79.0,0.0,3.3,651.6,-99.9,30.2,22.4,12.0,21.0,2.5
2023-02-17,7.2,45.0,-99.9,3.8,84.0,36.5,4.3,654.7,-99.9,23.0,18.4,10.4,21.0,8.6
2023-02-18,7.9,90.0,-99.9,5.0,85.0,10.3,7.3,655.9,-99.9,19.4,16.3,11.0,21.0,4.9
2023-02-19,0.0,0.0,-99.9,1.5,94.0,4.9,7.3,656.3,-99.9,18.0,15.8,11.4,21.0,2.5
2023-02-20,1.6,0.0,-99.9,1.1,88.0,,7.3,655.7,-99.9,19.4,14.8,8.0,21.0,2.5
2023-02-21,9.2,9.0,-99.9,0.8,86.0,0.0,6.0,653.6,-99.9,26.6,18.5,5.2,21.0,5.7
2023-02-22,9.7,0.0,-99.9,2.7,82.0,0.0,4.3,652.9,-99.9,29.2,21.2,9.8,21.0,1.3
2023-02-23,9.2,45.0,-99.9,3.7,76.0,0.0,0.7,654.0,-99.9,27.6,19.7,9.0,21.0,6.0
2023-02-24,8.7,45.0,-99.9,3.7,76.0,0.0,0.7,654.0,-99.9,26.6,19.7,9.0,21.0,6.0
2023-02-25,7.7,0.0,-99.9,4.4,81.0,0.0,5.3,655.3,-99.9,24.6,19.1,10.4,21.0,2.3
2023-02-26,8.7,270.0,-99.9,3.5,7.0,0.0,4.3,654.2,-99.9,24.8,18.8,11.0,-99.9,8.3
2023-02-27,7.5,0.0,-99.9,5.1,83.0,0.0,1.7,652.4,-99.9,29.2,19.3,4.6,21.0,3.7
2023-02-28,7.7,0.0,-99.9,3.5,76.0,0.0,4.7,652.7,-99.9,28.2,20.6,8.4,20.9,2.5
2023-03-01,7.5,90.0,-99.9,3.5,78.0,0.0,2.7,652.3,-99.9,29.2,21.7,10.4,20.9,6.2
2023-03-02,9.5,0.0,-99.9,4.4,58.0,0.0,2.0,650.4,-99.9,30.6,22.8,10.0,20.9,2.5
2023-03-03,9.3,0.0,-99.9,5.9,70.0,0.0,0.3,649.2,-99.9,32.4,23.1,11.0,20.9,2.5
2023-03-04,7.5,0.0,-99.9,5.2,78.0,0.0,4.3,652.0,-99.9,28.2,21.4,10.8,21.0,2.5
2023-03-05,,,,,,,,,,,,11.4,,
