FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,10.2,360,-99.9,-99.9,86,0,2,-99.9,-99.9,24.4,18.9,9.2,-99.9,2
2023-02-02,10.2,360,-99.9,-99.9,85,0,1,-99.9,-99.9,24.8,18.1,7,-99.9,2
2023-02-03,10.2,180,-99.9,-99.9,86,2.1,6,-99.9,-99.9,19.6,15.1,7.2,-99.9,5.3
2023-02-04,1.1,360,-99.9,-99.9,85,3,7,-99.9,-99.9,19.8,15.7,9.2,-99.9,5.3
2023-02-05,7.55,360,-99.9,-99.9,87,0,4,-99.9,-99.9,22.4,17.8,11.4,-99.9,5.3
2023-02-06,9.35,270,-99.9,-99.9,84,0,5,-99.9,-99.9,22,15.9,5,-99.9,3.7
2023-02-07,9.1,360,-99.9,-99.9,83,0,2,-99.9,-99.9,24.4,17.1,5,-99.9,1.3
2023-02-08,10.1,360,-99.9,-99.9,86,0,2,-99.9,-99.9,24.6,19.1,11.2,-99.9,2
2023-02-09,9.45,360,-99.9,-99.9,85,0,2,-99.9,-99.9,24.2,19.5,10.4,-99.9,1.3
2023-02-10,9.3,270,-99.9,-99.9,85,0,3,-99.9,-99.9,24.8,18.8,9,-99.9,1.3
2023-02-11,4.25,360,-99.9,-99.9,84,0,2,-99.9,-99.9,22.6,18,11.4,-99.9,3
2023-02-12,8.25,360,-99.9,-99.9,85,0,1,-99.9,-99.9,21.2,16.7,10.2,-99.9,5.3
2023-02-13,8.5,360,-99.9,-99.9,85,0,4,-99.9,-99.9,22,16.9,9.6,-99.9,3.7
2023-02-14,9.55,360,-99.9,-99.9,86,0,1,-99.9,-99.9,23.8,19.1,6.6,-99.9,1.3
2023-02-15,10.2,360,-99.9,-99.9,85,0,0,-99.9,-99.9,25.2,18.1,7,-99.9,1.3
2023-02-16,10.1,360,-99.9,-99.9,81,0,0,-99.9,-99.9,25.6,19.3,8.6,-99.9,1.3
2023-02-17,8.25,360,-99.9,-99.9,86.7,0.5,5.7,-99.9,-99.9,23.2,18.3,11.4,-99.9,9.3
2023-02-18,0.4,360,-99.9,-99.9,85,0,5,-99.9,-99.9,20.2,15.6,11.6,-99.9,5.3
2023-02-19,0.3,45,-99.9,-99.9,86,0,7,-99.9,-99.9,20.6,17.5,11,-99.9,7.3
2023-02-20,9.35,360,-99.9,-99.9,85,0,3,-99.9,-99.9,22.6,15.5,6.6,-99.9,3
2023-02-21,8.25,360,-99.9,-99.9,84,0,5,-99.9,-99.9,23.2,16.8,7.2,-99.9,2
2023-02-22,10.1,90,-99.9,-99.9,85,0,3,-99.9,-99.9,24,19,8.6,-99.9,1.3
2023-02-23,9.45,180,-99.9,-99.9,86,0,3,-99.9,-99.9,24.4,17.9,9.6,-99.9,3
2023-02-24,10.1,360,-99.9,-99.9,86,0,0,-99.9,-99.9,25,19.6,10.2,-99.9,2
2023-02-25,10.15,360,-99.9,-99.9,83,0,0,-99.9,-99.9,24.6,19,7.6,-99.9,1.3
2023-02-26,-99.9,360,-99.9,-99.9,85,0,2,-99.9,-99.9,23.6,17.7,8.6,-99.9,3.7
2023-02-27,10.25,360,-99.9,-99.9,84,0,1,-99.9,-99.9,25.6,19.1,5,-99.9,1.3
2023-02-28,9.55,360,-99.9,-99.9,83,0,3,-99.9,-99.9,25.4,20.1,11.4,-99.9,2
2023-03-01,10.2,360,-99.9,-99.9,86,0,1,-99.9,-99.9,26.2,19,7.4,-99.9,1.3
2023-03-02,9.4,180,-99.9,-99.9,76,0,3,-99.9,-99.9,27,19.8,7.6,-99.9,3
2023-03-03,9.55,360,-99.9,-99.9,83,0,0,-99.9,-99.9,26.4,18.8,7.2,-99.9,1.3
2023-03-04,7.1,360,-99.9,-99.9,83,0,4,-99.9,-99.9,25,18.9,8.4,-99.9,1.3
2023-03-05,8.4,360,-99.9,-99.9,84,0,2,-99.9,-99.9,24.8,19.5,11.6,-99.9,1.3
2023-03-06,9.4,270,-99.9,-99.9,83,0,1,-99.9,-99.9,26.4,19.8,10.2,-99.9,1.3
2023-03-07,8.2,270,-99.9,-99.9,83,0,7,-99.9,-99.9,24.8,18.9,9,-99.9,1.3
2023-03-08,7.35,360,-99.9,-99.9,84,0,7,-99.9,-99.9,23.2,18.9,11.2,-99.9,1.3
2023-03-09,9.15,0,-99.9,-99.9,83,0,5,-99.9,-99.9,24.2,18.3,8.6,-99.9,0.7
2023-03-10,,,,,,,,,,,,8.2,,
