FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,180.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-02,-99.9,360.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.3
2023-02-03,-99.9,180.0,-99.9,-99.9,-99.9,0.2,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-04,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.0
2023-02-05,-99.9,180.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-06,-99.9,180.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-07,-99.9,360.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.0
2023-02-08,-99.9,360.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-09,-99.9,180.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-10,-99.9,360.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.7
2023-02-11,-99.9,180.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.0
2023-02-12,-99.9,180.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.7
2023-02-13,-99.9,225.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,15.7
2023-02-14,-99.9,135.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.3
2023-02-15,-99.9,180.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.0
2023-02-16,-99.9,45.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-17,-99.9,180.0,-99.9,-99.9,-99.9,0.1,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,27.0
2023-02-18,-99.9,180.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,15.3
2023-02-19,-99.9,180.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.0
2023-02-20,-99.9,180.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.3
2023-02-21,-99.9,180.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.0
2023-02-22,-99.9,180.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.3
2023-02-23,-99.9,360.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-24,-99.9,360.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.3
2023-02-25,-99.9,225.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,17.7
2023-02-26,-99.9,9.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-27,-99.9,90.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-02-28,-99.9,135.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,11.3
2023-03-01,-99.9,9.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.3
2023-03-02,-99.9,90.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,15.7
2023-03-03,-99.9,180.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,15.7
2023-03-04,-99.9,360.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,24.7
2023-03-05,,,,,,,,,,,,-99.9,,
