FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,270.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,30.2,25.3,19.2,-99.9,16.0
2023-02-02,-99.9,45.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,31.2,25.0,18.8,-99.9,15.7
2023-02-03,-99.9,360.0,-99.9,-99.9,-99.9,8.1,6.0,-99.9,-99.9,28.0,24.3,20.4,-99.9,23.0
2023-02-04,-99.9,225.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,27.2,23.3,19.6,-99.9,13.3
2023-02-05,-99.9,45.0,-99.9,-99.9,-99.9,0.4,7.0,-99.9,-99.9,27.0,23.5,20.2,-99.9,11.0
2023-02-06,-99.9,90.0,-99.9,-99.9,-99.9,0.0,6.7,-99.9,-99.9,28.0,23.4,19.4,-99.9,13.3
2023-02-07,-99.9,225.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,32.0,25.2,18.8,-99.9,11.3
2023-02-08,-99.9,90.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,33.0,26.2,19.0,-99.9,15.7
2023-02-09,-99.9,45.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,31.4,25.9,19.6,-99.9,15.7
2023-02-10,-99.9,90.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,31.2,25.1,19.4,-99.9,16.0
2023-02-11,-99.9,225.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,29.2,24.5,19.6,-99.9,18.3
2023-02-12,-99.9,45.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,27.0,24.5,21.0,-99.9,23.3
2023-02-13,-99.9,225.0,-99.9,-99.9,-99.9,0.0,6.7,-99.9,-99.9,27.6,22.7,19.2,-99.9,20.3
2023-02-14,-99.9,360.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,36.0,27.6,19.6,-99.9,9.0
2023-02-15,-99.9,90.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,35.0,28.4,21.8,-99.9,9.0
2023-02-16,-99.9,315.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,36.2,28.5,19.2,-99.9,13.3
2023-02-17,,360.0,-99.9,-99.9,-99.9,1.5,5.0,-99.9,-99.9,30.2,25.3,19.6,-99.9,18.3
2023-02-18,,45.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,28.4,24.5,20.4,-99.9,18.3
2023-02-19,-99.9,225.0,-99.9,-99.9,-99.9,0.0,6.3,-99.9,-99.9,26.2,23.0,19.0,-99.9,7.0
2023-02-20,-99.9,90.0,-99.9,-99.9,-99.9,0.0,6.3,-99.9,-99.9,26.8,23.5,20.6,-99.9,11.0
2023-02-21,-99.9,225.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,34.0,27.5,20.4,-99.9,9.0
2023-02-22,-99.9,45.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,36.2,28.9,21.0,-99.9,9.0
2023-02-23,-99.9,225.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,34.2,27.1,18.8,-99.9,11.0
2023-02-24,-99.9,270.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,32.0,25.2,17.4,-99.9,11.0
2023-02-25,-99.9,360.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,33.4,26.1,19.6,-99.9,11.0
2023-02-26,-99.9,45.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,31.2,25.9,20.4,-99.9,11.0
2023-02-27,-99.9,225.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,35.8,27.6,17.8,-99.9,11.3
2023-02-28,-99.9,225.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,35.2,28.7,21.2,-99.9,11.3
2023-03-01,-99.9,90.0,-99.9,-99.9,-99.9,0.0,5.7,-99.9,-99.9,37.2,29.5,22.4,,9.0
2023-03-02,-99.9,360.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,37.2,30.3,21.4,-99.9,7.0
2023-03-03,-99.9,90.0,-99.9,-99.9,-99.9,0.0,4.7,-99.9,-99.9,36.0,29.3,20.6,-99.9,11.0
2023-03-04,-99.9,45.0,-99.9,-99.9,-99.9,0.0,4.7,-99.9,-99.9,36.8,32.1,18.0,-99.9,11.0
2023-03-05,-99.9,45.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,32.2,27.6,20.2,-99.9,11.0
2023-03-06,-99.9,90.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,32.0,26.5,21.0,-99.9,13.3
2023-03-07,-99.9,225.0,-99.9,-99.9,-99.9,0.0,6.7,-99.9,-99.9,33.2,25.7,18.2,-99.9,13.3
2023-03-08,-99.9,45.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,34.4,26.8,17.6,-99.9,9.0
2023-03-09,-99.9,225.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,32.8,26.1,18.4,-99.9,13.3
2023-03-10,,,,,,,,,,,,17.2,,
