FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,90.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.6,28.5,20.6,-99.9,7.3
2023-02-02,-99.9,9.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,34.6,27.4,19.4,-99.9,5.0
2023-02-03,-99.9,360.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,35.0,26.8,20.2,-99.9,5.7
2023-02-04,-99.9,135.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,33.0,26.5,20.8,-99.9,5.3
2023-02-05,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,33.8,27.4,20.2,-99.9,7.3
2023-02-06,-99.9,9.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,34.6,27.7,19.6,-99.9,11.0
2023-02-07,-99.9,360.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,36.0,28.7,20.4,-99.9,7.3
2023-02-08,-99.9,9.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,35.0,28.1,20.8,-99.9,3.7
2023-02-09,-99.9,9.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,34.4,28.3,21.6,-99.9,3.7
2023-02-10,-99.9,270.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,35.0,27.7,20.0,-99.9,3.7
2023-02-11,-99.9,135.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,34.0,28.1,20.8,-99.9,5.7
2023-02-12,-99.9,90.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,35.6,28.3,21.4,-99.9,2.0
2023-02-13,-99.9,9.0,-99.9,-99.9,-99.9,,1.0,-99.9,-99.9,35.0,28.1,20.8,-99.9,7.0
2023-02-14,-99.9,270.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,35.4,28.0,20.0,-99.9,7.3
2023-02-15,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,35.4,27.0,19.0,-99.9,9.7
2023-02-16,-99.9,270.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,33.6,27.9,20.8,-99.9,3.7
2023-02-17,-99.9,9.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,35.6,29.1,21.4,-99.9,5.0
2023-02-18,-99.9,90.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.4,27.7,19.6,-99.9,5.7
2023-02-19,-99.9,360.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,34.8,27.9,19.4,-99.9,5.7
2023-02-20,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,36.2,27.5,19.0,-99.9,8.0
2023-02-21,-99.9,90.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,35.4,28.5,19.8,-99.9,5.7
2023-02-22,-99.9,360.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,34.6,27.9,21.4,-99.9,7.3
2023-02-23,-99.9,90.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,34.6,28.3,22.0,-99.9,2.0
2023-02-24,-99.9,90.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.4,28.5,20.4,-99.9,7.3
2023-02-25,-99.9,90.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,35.0,28.7,20.2,-99.9,5.7
2023-02-26,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,34.0,28.2,21.4,-99.9,3.7
2023-02-27,-99.9,270.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,35.0,28.9,21.4,-99.9,7.3
2023-02-28,-99.9,360.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,35.6,28.3,20.4,-99.9,5.3
2023-03-01,-99.9,270.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,34.6,28.5,21.0,-99.9,5.7
2023-03-02,-99.9,270.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,34.0,28.1,20.4,-99.9,9.3
2023-03-03,-99.9,360.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,33.6,27.8,19.0,-99.9,7.3
2023-03-04,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,36.6,28.6,20.0,-99.9,5.3
2023-03-05,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,36.0,29.7,21.8,-99.9,5.7
2023-03-06,-99.9,270.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,35.0,29.6,21.6,-99.9,3.7
2023-03-07,-99.9,360.0,-99.9,-99.9,-99.9,0.0,7.0,-99.9,-99.9,33.6,27.7,23.0,-99.9,8.0
2023-03-08,-99.9,360.0,-99.9,-99.9,-99.9,2.3,4.0,-99.9,-99.9,34.0,27.7,21.4,-99.9,5.3
2023-03-09,-99.9,315.0,-99.9,-99.9,-99.9,0.3,5.0,-99.9,-99.9,35.0,28.1,20.6,-99.9,8.0
2023-03-10,,,,,,,,,,,,22.8,,
