FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,8.5,225.0,-99.9,-99.9,66.0,0.0,0.0,756.3,-99.9,34.6,28.7,21.6,21.1,4.0
2023-02-02,8.5,0.0,-99.9,-99.9,73.0,0.0,0.7,755.9,-99.9,34.6,28.9,21.6,-99.9,2.0
2023-02-03,7.0,225.0,-99.9,-99.9,78.0,0.0,1.3,756.5,-99.9,34.0,28.4,22.2,-99.9,3.3
2023-02-04,8.4,360.0,-99.9,-99.9,68.0,0.0,0.3,756.2,-99.9,35.0,28.8,21.2,-99.9,5.3
2023-02-05,8.4,315.0,-99.9,-99.9,78.0,0.0,1.7,756.1,-99.9,34.2,28.9,22.0,-99.9,5.3
2023-02-06,-99.9,-99.9,-99.9,-99.9,-99.9,,-99.9,-99.9,-99.9,,-99.9,22.0,-99.9,-99.9
2023-02-07,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-08,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-09,8.7,225.0,-99.9,-99.9,81.0,0.0,0.7,755.5,-99.9,33.8,29.0,23.4,-99.9,4.7
2023-02-10,8.5,9.0,-99.9,-99.9,76.0,0.0,1.3,755.0,-99.9,33.8,28.6,22.0,-99.9,5.3
2023-02-11,9.1,9.0,-99.9,-99.9,81.0,0.0,0.3,754.8,-99.9,34.0,28.7,22.8,,4.0
2023-02-12,8.7,225.0,-99.9,-99.9,76.0,0.0,0.3,755.2,-99.9,34.0,28.7,22.0,-99.9,4.7
2023-02-13,9.3,270.0,-99.9,-99.9,81.0,0.0,1.0,754.3,-99.9,33.8,28.4,21.8,-99.9,5.3
2023-02-14,9.4,9.0,-99.9,-99.9,80.0,0.0,1.0,754.7,-99.9,33.6,28.8,21.8,-99.9,5.3
2023-02-15,9.5,225.0,-99.9,-99.9,89.0,0.0,1.0,754.8,-99.9,34.0,28.7,22.2,-99.9,4.7
2023-02-16,8.1,270.0,-99.9,-99.9,76.0,0.0,3.0,755.1,-99.9,34.0,28.7,23.6,-99.9,4.0
2023-02-17,9.2,270.0,-99.9,-99.9,78.0,0.0,2.0,756.9,-99.9,33.8,28.9,24.0,-99.9,5.3
2023-02-18,8.5,9.0,-99.9,-99.9,74.0,0.0,0.7,755.7,-99.9,34.0,28.4,22.0,-99.9,4.0
2023-02-19,10.0,9.0,-99.9,-99.9,79.0,0.0,0.7,755.7,-99.9,34.2,28.6,21.6,-99.9,6.0
2023-02-20,10.2,0.0,-99.9,-99.9,83.0,0.0,0.3,755.7,-99.9,34.6,28.2,21.4,-99.9,2.0
2023-02-21,9.4,225.0,-99.9,-99.9,77.0,0.0,2.5,755.3,-99.9,34.8,29.0,22.6,-99.9,4.0
2023-02-22,6.5,225.0,-99.9,-99.9,79.0,0.0,5.3,755.5,-99.9,34.6,29.8,25.2,-99.9,4.0
2023-02-23,9.1,270.0,-99.9,-99.9,83.0,0.0,3.3,755.5,-99.9,34.6,29.7,24.4,-99.9,4.0
2023-02-24,9.7,225.0,-99.9,-99.9,68.0,0.0,1.0,757.3,-99.9,35.0,29.0,21.8,-99.9,5.3
2023-02-25,9.6,9.0,-99.99,-99.99,72.0,0.0,1.7,757.1,-99.99,35.0,29.4,22.2,-99.9,3.3
2023-02-26,9.0,225.0,-99.9,-99.9,74.0,0.0,2.7,756.1,-99.9,34.8,29.2,23.0,-99.9,5.0
2023-02-27,9.7,9.0,-99.9,-99.9,76.0,0.0,0.7,756.1,-99.9,35.0,29.3,22.8,-99.9,4.0
2023-02-28,9.3,225.0,-99.9,-99.9,77.0,0.0,0.7,755.2,-99.9,34.8,29.3,22.4,-99.9,4.0
2023-03-01,9.5,270.0,-99.9,-99.9,76.0,0.0,0.0,755.3,-99.9,34.2,29.4,24.0,-99.9,4.0
2023-03-02,9.0,225.0,-99.9,-99.9,85.0,0.0,1.7,754.5,-99.9,34.4,28.9,22.4,-99.9,3.3
2023-03-03,9.8,225.0,-99.9,-99.9,85.0,0.0,1.7,754.5,-99.9,34.4,28.9,22.4,-99.9,3.3
2023-03-04,9.4,9.0,-99.9,-99.9,71.0,0.0,2.0,754.3,-99.9,34.8,29.9,24.6,,4.0
2023-03-05,9.4,225.0,-99.9,-99.9,76.0,0.0,0.7,754.1,-99.9,34.4,29.4,23.0,-99.9,4.0
2023-03-06,9.3,0.0,-99.9,-99.9,81.0,0.0,0.7,755.9,-99.9,35.0,29.5,24.0,-99.9,2.0
2023-03-07,5.2,225.0,-99.9,-99.9,80.0,0.0,4.3,755.7,-99.9,35.2,30.3,25.4,-99.9,4.0
2023-03-08,6.0,270.0,-99.9,-99.9,77.0,0.0,5.3,754.3,-99.9,34.2,30.1,25.4,-99.9,4.0
2023-03-09,7.5,9.0,-99.9,-99.9,81.0,0.0,5.7,756.2,-99.9,33.8,29.5,25.2,-99.9,6.0
2023-03-10,,,,,,,,,,,,24.4,,
