FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,180.0,3.5,-99.9,80.0,0.0,5.0,-99.9,-99.9,34.0,26.5,17.6,-99.9,12.3
2023-02-02,-99.9,0.0,3.7,-99.9,81.0,0.0,5.0,-99.9,-99.9,33.6,25.4,14.8,-99.9,7.0
2023-02-03,-99.9,180.0,3.0,-99.9,88.0,19.0,8.0,-99.9,-99.9,28.0,22.4,15.0,-99.9,8.4
2023-02-04,-99.9,90.0,1.1,-99.9,86.0,20.1,8.0,-99.9,-99.9,28.6,23.5,17.2,-99.9,7.7
2023-02-05,-99.9,0.0,1.4,-99.9,85.0,0.5,6.0,-99.9,-99.9,29.4,24.4,17.8,-99.9,2.4
2023-02-06,-99.9,9.0,2.5,-99.9,87.0,0.0,8.0,-99.9,-99.9,29.0,24.9,18.0,-99.9,4.1
2023-02-07,-99.9,0.0,2.7,-99.9,81.0,0.0,4.0,-99.9,-99.9,34.8,26.3,17.0,-99.9,2.4
2023-02-08,-99.9,180.0,3.9,-99.9,77.0,0.0,5.0,-99.9,-99.9,35.0,27.3,18.8,-99.9,12.2
2023-02-09,-99.9,0.0,4.1,-99.9,80.0,0.0,6.0,-99.9,-99.9,33.2,25.9,18.6,-99.9,2.4
2023-02-10,-99.9,0.0,3.3,-99.9,83.0,0.0,5.0,-99.9,-99.9,34.6,25.9,17.0,-99.9,2.4
2023-02-11,-99.9,90.0,3.9,-99.9,80.0,0.9,6.0,-99.9,-99.9,32.8,25.5,17.8,-99.9,5.3
2023-02-12,-99.9,180.0,3.1,-99.9,-99.9,0.0,8.0,-99.9,-99.9,29.4,23.1,14.6,-99.9,17.5
2023-02-13,-99.9,9.0,2.5,-99.9,84.0,,8.0,-99.9,-99.9,28.8,23.8,18.0,-99.9,4.8
2023-02-14,-99.9,9.0,2.2,-99.9,-99.9,0.0,6.0,-99.9,-99.9,33.4,25.6,17.2,-99.9,6.0
2023-02-15,-99.9,0.0,3.8,-99.9,82.0,0.0,5.0,-99.9,-99.9,32.4,24.6,15.4,-99.9,3.6
2023-02-16,-99.9,9.0,3.4,-99.9,78.0,0.0,5.0,-99.9,-99.9,33.8,26.5,18.2,-99.9,6.0
2023-02-17,-99.9,9.0,4.1,-99.9,85.0,7.9,5.0,-99.9,-99.9,29.8,24.1,17.2,-99.9,6.0
2023-02-18,-99.9,9.0,2.3,-99.9,82.0,6.1,8.0,-99.9,-99.9,28.4,23.3,16.8,-99.9,6.0
2023-02-19,-99.9,90.0,2.1,-99.9,-99.9,7.3,8.0,-99.9,-99.9,27.6,22.7,17.2,-99.9,3.3
2023-02-20,-99.9,180.0,1.3,-99.9,84.0,0.0,7.0,-99.9,-99.9,31.4,24.4,16.0,-99.9,4.1
2023-02-21,-99.9,9.0,2.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,32.8,24.9,15.4,-99.9,6.0
2023-02-22,-99.9,0.0,3.3,-99.9,78.0,0.0,4.0,-99.9,-99.9,35.2,26.7,17.6,-99.9,3.6
2023-02-23,-99.9,0.0,4.4,-99.9,77.0,0.0,5.0,-99.9,-99.9,36.4,27.3,18.0,-99.9,3.6
2023-02-24,-99.9,9.0,4.9,-99.9,77.0,0.0,5.0,-99.9,-99.9,35.6,26.8,17.6,-99.9,6.0
2023-02-25,-99.9,0.0,4.5,-99.9,82.0,0.0,5.0,-99.9,-99.9,34.8,25.7,17.0,-99.9,2.4
2023-02-26,-99.9,0.0,4.2,-99.9,80.0,0.0,4.0,-99.9,-99.9,35.2,26.9,19.2,-99.9,1.7
2023-02-27,-99.9,180.0,4.6,-99.9,77.0,0.0,4.0,-99.9,-99.9,34.6,26.6,18.6,-99.9,6.0
2023-02-28,-99.9,0.0,4.3,-99.9,76.0,0.0,5.0,-99.9,-99.9,35.2,26.9,18.0,-99.9,2.4
2023-03-01,-99.9,9.0,4.6,-99.9,82.0,0.0,4.0,-99.9,-99.9,36.6,27.9,18.2,-99.9,5.3
2023-03-02,-99.9,0.0,4.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,35.8,28.0,21.6,-99.9,1.7
2023-03-03,-99.9,0.0,4.4,-99.9,-99.9,0.0,5.0,-99.9,-99.9,35.0,27.1,18.2,-99.9,2.4
2023-03-04,-99.9,9.0,4.2,-99.9,80.0,0.0,5.0,-99.9,-99.9,34.6,26.5,18.4,-99.9,4.1
2023-03-05,-99.9,90.0,3.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,35.0,27.1,18.4,-99.9,4.1
2023-03-06,-99.9,0.0,4.7,-99.9,-99.9,0.0,4.0,-99.9,-99.9,34.6,27.9,21.4,-99.9,3.6
2023-03-07,-99.9,9.0,4.3,-99.9,79.0,0.0,7.0,-99.9,-99.9,33.6,26.1,17.8,-99.9,6.0
2023-03-08,,,,,,0.0,,,,34.0,26.5,18.4,,
2023-03-09,,,,,,0.0,,,,33.8,26.7,19.4,,
2023-03-10,,,,,,,,,,,,19.8,,
