FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,360.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,31.8,23.2,12.4,-99.9,2.0
2023-02-02,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,31.8,22.5,11.4,-99.9,2.0
2023-02-03,-99.9,360.0,-99.9,-99.9,-99.9,4.2,8.0,-99.9,-99.9,23.6,18.3,12.4,-99.9,3.7
2023-02-04,-99.9,90.0,-99.9,-99.9,-99.9,1.3,6.0,-99.9,-99.9,24.8,19.9,14.6,-99.9,2.0
2023-02-05,-99.9,9.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,28.6,21.8,15.4,-99.9,3.7
2023-02-06,-99.9,90.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,23.6,18.3,9.0,-99.9,2.0
2023-02-07,-99.9,90.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,32.0,22.9,10.4,-99.9,5.3
2023-02-08,-99.9,90.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,33.0,23.7,12.4,-99.9,3.7
2023-02-09,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,32.6,23.5,13.0,-99.9,3.7
2023-02-10,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,32.4,23.5,14.2,-99.9,3.7
2023-02-11,-99.9,-99.9,-99.9,-99.9,-99.9,0.0,-99.9,-99.9,-99.9,-99.9,-99.9,10.4,-99.9,-99.9
2023-02-12,-99.9,90.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,27.4,20.8,15.0,-99.9,5.3
2023-02-13,-99.9,270.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,29.0,22.1,15.8,-99.9,2.0
2023-02-14,-99.9,90.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,34.0,23.9,11.0,-99.9,3.7
2023-02-15,-99.9,90.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,34.8,24.5,11.0,-99.9,3.7
2023-02-16,-99.9,9.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,36.4,25.1,10.4,-99.9,5.3
2023-02-17,-99.9,270.0,-99.9,-99.9,-99.9,3.3,3.0,-99.9,-99.9,29.8,23.2,16.0,-99.9,5.3
2023-02-18,-99.9,9.0,-99.9,-99.9,-99.9,0.9,6.0,-99.9,-99.9,23.0,19.1,15.4,-99.9,2.0
2023-02-19,-99.9,180.0,-99.9,-99.9,-99.9,0.0,8.0,-99.9,-99.9,22.2,18.9,15.0,-99.9,2.0
2023-02-20,-99.9,90.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,26.4,20.2,12.4,-99.9,2.0
2023-02-21,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,33.4,22.9,9.4,-99.9,2.0
2023-02-22,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,34.8,25.2,12.0,-99.9,2.0
2023-02-23,-99.9,90.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,34.6,24.7,12.4,-99.9,2.0
2023-02-24,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,33.8,23.2,10.4,-99.9,3.7
2023-02-25,-99.9,360.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,33.8,24.1,13.0,-99.9,5.7
2023-02-26,-99.9,9.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,32.4,23.4,12.6,-99.9,2.0
2023-02-27,-99.9,360.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.0,23.8,8.4,-99.9,2.0
2023-02-28,-99.9,270.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.6,25.3,12.0,-99.9,2.0
2023-03-01,-99.9,9.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,37.2,25.0,12.4,-99.9,3.7
2023-03-02,-99.9,270.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,36.0,26.3,13.4,-99.9,2.0
2023-03-03,-99.9,180.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,37.4,25.3,9.4,-99.9,2.0
2023-03-04,-99.9,270.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,36.8,25.5,14.2,-99.9,5.7
2023-03-05,,,,,,,,,,,,15.0,,
