FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,180,-99.9,-99.9,75,0,0,-99.9,-99.9,28.6,21.3,14,-99.9,8.7
2023-02-02,-99.9,180,-99.9,-99.9,73,0,0,-99.9,-99.9,28,20.2,12,-99.9,8.7
2023-02-03,-99.9,360,-99.9,-99.9,69,0,4,-99.9,-99.9,21.4,18.3,13,-99.9,23.3
2023-02-04,-99.9,360,-99.9,-99.9,71,0,4,-99.9,-99.9,26,20.3,16,-99.9,6
2023-02-05,-99.9,9,-99.9,-99.9,74,0,3,-99.9,-99.9,28,20.3,13,-99.9,4.7
2023-02-06,-99.9,9,-99.9,-99.9,83,0,2,-99.9,-99.9,26.4,19.3,12,-99.9,6
2023-02-07,-99.9,180,-99.9,-99.9,74,0,1,-99.9,-99.9,27,19.7,10,-99.9,10.7
2023-02-08,-99.9,180,-99.9,-99.9,83,0,2,-99.9,-99.9,26.4,18,9,-99.9,4.7
2023-02-09,-99.9,180,-99.9,-99.9,81,0,1,-99.9,-99.9,27,18.5,9,-99.9,7.3
2023-02-10,-99.9,180,-99.9,-99.9,81,0,1,-99.9,-99.9,27.4,19.2,11,-99.9,8
2023-02-11,-99.9,360,-99.9,-99.9,71,0,2,-99.9,-99.9,28.4,19.8,10.8,-99.9,12
2023-02-12,-99.9,360,-99.9,-99.9,61,0,0,-99.9,-99.9,28,20.9,11.6,-99.9,16.7
2023-02-13,-99.9,360,-99.9,-99.9,67,0,3,-99.9,-99.9,28,20.3,12,-99.9,8
2023-02-14,-99.9,180,-99.9,-99.9,82,0,6,-99.9,-99.9,28,19.2,11,-99.9,7.3
2023-02-15,-99.9,180,-99.9,-99.9,83,0,2,-99.9,-99.9,26.4,18.7,10,-99.9,7.3
2023-02-16,-99.9,180,-99.9,-99.9,84,0,5,-99.9,-99.9,26,18.6,11.8,-99.9,5.7
2023-02-17,-99.9,360,-99.9,-99.9,72,0,3,-99.9,-99.9,26,19,11,-99.9,17.3
2023-02-18,-99.9,360,-99.9,-99.9,63,0,3,-99.9,-99.9,24,19.3,13,-99.9,23.3
2023-02-19,-99.9,360,-99.9,-99.9,66,0,4,-99.9,-99.9,24,19.7,16.0,-99.9,26.7
2023-02-20,-99.9,360,-99.9,-99.9,57,0,1,-99.9,-99.9,27,20.7,13,-99.9,16
2023-02-21,-99.9,180,-99.9,-99.9,79,0,4,-99.9,-99.9,28,19.5,11,-99.9,8.7
2023-02-22,-99.9,180,-99.9,-99.9,79,1,5,-99.9,-99.9,26.4,20.3,14,-99.9,8
2023-02-23,-99.9,180,-99.9,-99.9,85,0,5,-99.9,-99.9,25.4,18.7,12,-99.9,9.3
2023-02-24,-99.9,180,-99.9,-99.9,78,0,1,-99.9,-99.9,26.6,20.5,14,-99.9,15.3
2023-02-25,-99.9,180,-99.9,-99.9,81,0,2,-99.9,-99.9,28,20.1,13,-99.9,13.3
2023-02-26,-99.9,180,-99.9,-99.9,72,0,3,-99.9,-99.9,27.4,20.4,14,-99.9,12.7
2023-02-27,-99.9,180,-99.9,-99.9,82,0,2,-99.9,-99.9,27.4,22.8,10,-99.9,9.3
2023-02-28,-99.9,180,-99.9,-99.9,81,0,1,-99.9,-99.9,27.4,19.3,10,-99.9,8.3
2023-03-01,-99.9,180,-99.9,-99.9,83,0,4,-99.9,-99.9,26.6,18.7,11,-99.9,6.3
2023-03-02,-99.9,180,-99.9,-99.9,77,0,4,-99.9,-99.9,27.8,20.1,12.8,-99.9,8.7
2023-03-03,-99.9,180,-99.9,-99.9,82,0,2,-99.9,-99.9,26.6,18.2,10,-99.9,8
2023-03-04,-99.9,180,-99.9,-99.9,83,0,3,-99.9,-99.9,26.6,19.3,13,-99.9,8
2023-03-05,-99.9,180,-99.9,-99.9,81,0,3,-99.9,-99.9,27.8,20.2,13,-99.9,10
2023-03-06,-99.9,180,-99.9,-99.9,81,0,2,-99.9,-99.9,27.6,19.9,12,-99.9,10.7
2023-03-07,-99.9,180,-99.9,-99.9,84,0,7,-99.9,-99.9,25,18.3,12,-99.9,6.7
2023-03-08,-99.9,180,-99.9,-99.9,82,0,7,-99.9,-99.9,25,18.9,13,-99.9,6.7
2023-03-09,-99.9,180,-99.9,-99.9,82,0,6,-99.9,-99.9,25.6,18.5,12.2,-99.9,8.3
2023-03-10,,,,,,,,,,,,13,,
