FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,9.6,360.0,-99.9,5.1,63.0,0.0,1.0,-99.9,-99.9,23.0,15.5,7.6,17.7,3.3
2023-02-02,10.3,360.0,-99.9,4.7,55.0,0.0,0.0,-99.9,-99.9,22.0,15.2,7.0,17.7,2.7
2023-02-03,9.6,360.0,-99.9,4.8,77.0,5.1,4.0,-99.9,-99.9,16.6,11.7,7.0,17.7,25.3
2023-02-04,11.2,360.0,-99.9,5.3,85.0,0.0,3.0,-99.9,-99.9,17.8,13.0,7.6,17.7,38.3
2023-02-05,10.4,360.0,-99.9,5.2,75.0,0.0,1.0,-99.9,-99.9,20.2,14.3,7.5,17.7,10.0
2023-02-06,-99.9,360.0,-99.9,4.5,70.0,0.0,1.0,-99.9,-99.9,20.0,13.5,5.0,17.7,13.0
2023-02-07,10.0,90.0,-99.9,5.7,71.0,0.0,3.0,-99.9,-99.9,21.0,13.9,3.4,17.7,2.0
2023-02-08,9.3,90.0,-99.9,2.6,75.0,0.0,3.0,-99.9,-99.9,21.2,15.1,6.6,17.8,3.7
2023-02-09,10.4,360.0,-99.9,5.5,57.0,0.0,2.0,-99.9,-99.9,22.2,15.3,7.4,17.8,4.0
2023-02-10,9.3,60.0,-99.9,5.5,67.0,0.0,1.0,-99.9,-99.9,22.8,15.8,7.6,17.7,1.7
2023-02-11,10.0,90.0,-99.9,6.1,67.0,1.1,1.0,-99.9,-99.9,22.8,14.7,8.2,17.7,13.3
2023-02-12,10.5,360.0,-99.9,6.3,72.0,0.0,1.0,-99.9,-99.9,19.8,13.7,7.6,17.8,14.0
2023-02-13,10.3,360.0,-99.9,3.8,79.0,0.0,2.0,-99.9,-99.9,21.2,14.3,7.2,17.8,5.7
2023-02-14,10.0,90.0,-99.9,4.1,77.0,0.0,1.0,-99.9,-99.9,19.8,13.4,3.4,17.8,2.3
2023-02-15,9.5,90.0,-99.9,5.6,86.0,0.0,1.0,-99.9,-99.9,21.2,13.2,1.0,17.6,1.0
2023-02-16,9.4,90.0,-99.9,3.8,71.0,0.0,3.0,-99.9,-99.9,24.0,13.6,1.0,17.9,1.7
2023-02-17,10.4,360.0,-99.9,5.5,58.0,0.0,2.0,-99.9,-99.9,21.0,15.1,3.0,17.9,24.0
2023-02-18,9.9,360.0,-99.9,4.3,78.0,0.5,3.0,-99.9,-99.9,16.0,12.0,7.4,17.8,46.7
2023-02-19,9.3,360.0,-99.9,3.6,89.0,0.0,6.0,-99.9,-99.9,16.0,11.6,7.5,17.9,26.3
2023-02-20,10.4,360.0,-99.9,5.0,71.0,0.0,1.0,-99.9,-99.9,24.6,13.7,5.0,17.9,11.7
2023-02-21,9.2,180.0,-99.9,5.0,82.0,0.0,5.0,-99.9,-99.9,21.0,13.8,4.0,17.9,3.0
2023-02-22,8.7,180.0,-99.9,4.1,83.0,0.0,6.0,-99.9,-99.9,20.2,14.5,8.0,17.9,3.0
2023-02-23,10.0,90.0,-99.9,4.5,82.0,0.0,4.0,-99.9,-99.9,22.0,14.0,2.4,17.9,2.3
2023-02-24,9.6,90.0,-99.9,-99.9,61.0,0.0,0.0,-99.9,-99.9,21.8,15.6,5.2,17.9,3.3
2023-02-25,10.6,360.0,-99.9,3.5,60.0,0.0,0.0,-99.9,-99.9,24.6,16.7,7.8,18.0,4.3
2023-02-26,-99.9,90.0,-99.9,7.2,71.0,0.0,2.0,-99.9,-99.9,23.0,15.3,6.1,18.0,11.0
2023-02-27,9.5,180.0,-99.9,5.3,79.0,0.0,3.0,-99.9,-99.9,20.2,12.7,1.0,18.0,2.3
2023-02-28,9.1,180.0,-99.9,3.8,81.0,0.0,3.0,-99.9,-99.9,21.2,13.8,1.0,18.1,3.7
2023-03-01,9.5,9.0,-99.9,4.5,80.0,0.0,2.0,-99.9,-99.9,23.0,13.6,1.2,18.1,3.0
2023-03-02,9.0,180.0,-99.9,5.6,77.0,0.0,4.0,-99.9,-99.9,20.6,13.9,2.0,18.1,3.3
2023-03-03,10.0,90.0,-99.9,5.5,68.0,0.0,3.0,-99.9,-99.9,21.0,15.4,2.2,18.2,5.0
2023-03-04,9.4,90.0,-99.9,7.7,77.0,0.0,2.0,-99.9,-99.9,22.4,16.3,10.0,18.2,1.3
2023-03-05,9.3,180.0,-99.9,2.8,74.0,0.0,3.0,-99.9,-99.9,24.2,15.6,8.0,18.2,2.7
2023-03-06,9.8,90.0,-99.9,4.1,71.0,0.0,3.0,-99.9,-99.9,24.0,16.8,6.8,18.2,1.7
2023-03-07,5.9,90.0,-99.9,6.6,83.0,0.0,7.0,-99.9,-99.9,19.4,13.4,2.0,18.3,2.3
2023-03-08,,,,,,0.0,,,,18.8,13.2,2.2,,
2023-03-09,,,,,,0.0,,,,20.2,13.4,1.4,,
2023-03-10,,,,,,,,,,,,4.0,,
