FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,6.2,45.0,-99.9,-99.9,66.0,0.0,5.0,683.2,-99.9,27.6,23.2,19.4,-99.9,7.2
2023-02-02,9.4,45.0,-99.9,-99.9,62.0,0.0,5.0,683.1,-99.9,27.6,22.7,18.2,-99.9,7.2
2023-02-03,7.1,45.0,-99.9,-99.9,69.0,1.1,5.0,684.4,-99.9,25.4,21.1,17.4,-99.9,10.8
2023-02-04,8.2,45.0,-99.9,-99.9,72.0,0.8,6.0,684.5,-99.9,25.4,20.5,16.8,-99.9,7.2
2023-02-05,4.5,45.0,-99.9,-99.9,78.0,1.2,7.0,684.0,-99.9,23.2,19.8,16.4,-99.9,8.4
2023-02-06,4.3,45.0,-99.9,-99.9,77.0,0.8,7.0,682.8,-99.9,23.8,19.9,16.6,-99.9,12.0
2023-02-07,8.0,45.0,-99.9,-99.9,66.0,0.0,5.0,682.2,-99.9,29.0,22.7,17.2,-99.9,4.8
2023-02-08,9.5,45.0,-99.9,-99.9,71.0,0.0,5.0,681.8,-99.9,30.0,24.1,19.4,-99.9,8.4
2023-02-09,8.2,45.0,-99.9,-99.9,65.0,0.0,6.0,682.1,-99.9,28.6,23.3,18.2,-99.9,7.2
2023-02-10,7.1,45.0,-99.9,-99.9,69.0,0.0,6.0,682.0,-99.9,27.8,22.3,17.0,-99.9,8.4
2023-02-11,5.1,45.0,-99.9,-99.9,79.0,3.8,8.0,682.7,-99.9,24.6,21.0,18.0,-99.9,14.4
2023-02-12,4.7,45.0,-99.9,-99.9,80.0,0.0,8.0,683.0,-99.9,21.2,17.5,16.4,-99.9,8.4
2023-02-13,3.8,45.0,-99.9,-99.9,79.0,0.0,7.0,682.3,-99.9,23.0,18.6,14.4,-99.9,4.8
2023-02-14,8.8,0.0,-99.9,-99.9,55.0,0.0,6.0,681.3,-99.9,31.6,24.3,16.6,-99.9,2.4
2023-02-15,9.2,0.0,-99.9,-99.9,58.0,0.0,4.0,681.5,-99.9,31.2,24.7,18.0,-99.9,2.4
2023-02-16,9.7,0.0,-99.9,-99.9,59.0,0.0,2.0,680.9,-99.9,31.6,24.1,14.8,-99.9,2.4
2023-02-17,8.4,45.0,-99.9,-99.9,65.0,0.0,6.0,682.6,-99.9,26.4,22.4,18.6,-99.9,9.6
2023-02-18,7.7,45.0,-99.9,-99.9,65.0,0.0,6.0,683.8,-99.9,26.6,22.6,18.2,-99.9,14.4
2023-02-19,4.4,45.0,-99.9,-99.9,74.0,0.1,6.0,684.0,-99.9,25.4,20.3,17.4,-99.9,12.0
2023-02-20,4.4,45.0,-99.9,-99.9,73.0,0.0,7.0,683.6,-99.9,24.8,20.7,17.6,-99.9,10.8
2023-02-21,7.3,0.0,-99.9,-99.9,61.0,0.0,5.0,682.2,-99.9,30.4,23.9,18.0,-99.9,2.4
2023-02-22,8.5,0.0,-99.9,-99.9,65.0,0.0,4.0,681.9,-99.9,31.4,24.6,16.8,-99.9,2.4
2023-02-23,-99.9,0.0,-99.9,-99.9,58.0,0.0,4.0,683.0,-99.9,31.0,23.5,14.8,-99.9,2.4
2023-02-24,9.0,45.0,-99.9,-99.9,64.0,0.0,3.0,683.8,-99.9,29.4,22.8,15.8,-99.9,7.2
2023-02-25,9.0,45.0,-99.9,-99.9,63.0,0.0,6.0,684.0,-99.9,28.2,22.9,18.4,-99.9,4.8
2023-02-26,9.1,45.0,-99.9,-99.9,61.0,0.0,5.0,682.8,-99.9,28.2,22.7,18.0,-99.9,6.0
2023-02-27,9.7,0.0,-99.9,-99.9,60.0,0.0,1.0,681.3,-99.9,33.0,24.5,15.0,-99.9,2.4
2023-02-28,9.4,45.0,-99.9,-99.9,58.0,0.0,4.0,681.6,-99.9,32.0,25.6,19.2,-99.9,4.8
2023-03-01,8.7,45.0,-99.9,-99.9,62.0,0.0,-99.9,681.2,-99.9,33.4,26.0,18.4,-99.9,6.0
2023-03-02,9.5,0.0,-99.9,5.9,51.0,0.0,2.0,680.0,-99.9,33.0,26.3,18.4,-99.9,2.4
2023-03-03,9.7,0.0,-99.9,5.7,58.0,0.0,1.0,678.9,-99.9,32.0,25.3,17.0,-99.9,3.6
2023-03-04,9.3,45.0,-99.9,6.4,61.0,0.0,2.7,680.4,-99.9,33.2,25.0,16.0,-99.9,4.8
2023-03-05,,,,,,,,,,,,20.4,,
