FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,90.0,-99.9,6.5,73.0,0.0,4.0,752.6,-99.9,32.0,26.5,20.6,-99.9,8.6
2023-02-02,-99.9,90.0,-99.9,4.3,71.0,0.0,3.0,752.3,-99.9,32.0,25.5,16.4,-99.9,6.2
2023-02-03,-99.9,135.0,-99.9,2.0,83.0,21.0,6.0,754.3,-99.9,31.8,24.6,20.0,-99.9,4.4
2023-02-04,-99.9,315.0,-99.9,6.2,91.0,6.0,7.0,755.2,-99.9,27.0,22.8,20.2,-99.9,8.6
2023-02-05,-99.9,315.0,-99.9,0.6,83.0,0.0,5.0,754.4,-99.9,30.0,24.1,19.8,-99.9,8.5
2023-02-06,-99.9,135.0,-99.9,3.4,80.0,0.0,6.0,753.2,-99.9,30.0,24.1,19.8,-99.9,5.6
2023-02-07,-99.9,90.0,-99.9,2.8,77.0,0.0,3.0,751.3,-99.9,32.4,24.5,17.0,-99.9,7.4
2023-02-08,-99.9,90.0,-99.9,4.4,73.0,0.0,3.0,750.2,-99.9,33.4,26.8,21.0,-99.9,8.5
2023-02-09,-99.9,45.0,-99.9,-99.9,73.0,0.0,3.0,751.0,-99.9,33.0,26.6,19.0,-99.9,6.8
2023-02-10,-99.9,90.0,-99.9,4.0,74.0,0.0,4.0,751.2,-99.9,34.6,25.9,20.0,-99.9,8.5
2023-02-11,-99.9,270.0,-99.9,5.0,89.0,41.0,7.0,752.7,-99.9,30.0,23.4,18.0,-99.9,8.6
2023-02-12,-99.9,360.0,-99.9,2.0,92.0,3.4,7.0,756.0,-99.9,22.8,18.4,15.0,-99.9,8.6
2023-02-13,-99.9,180.0,-99.9,2.4,82.0,0.0,7.0,753.3,-99.9,26.0,21.5,16.0,-99.9,7.3
2023-02-14,-99.9,90.0,-99.9,3.0,73.0,0.0,5.0,749.9,-99.9,33.0,26.2,18.0,-99.9,6.8
2023-02-15,-99.9,90.0,-99.9,2.5,72.0,0.0,4.0,749.6,-99.9,34.0,26.6,17.0,-99.9,9.9
2023-02-16,-99.9,135.0,-99.9,8.3,73.0,0.0,2.0,747.9,-99.9,34.4,25.9,16.8,-99.9,8.1
2023-02-17,-99.9,45.0,-99.9,2.2,81.0,0.0,6.0,752.1,-99.9,32.4,25.5,19.8,-99.9,6.2
2023-02-18,-99.9,315.0,-99.9,3.0,73.0,0.0,4.0,753.8,-99.9,32.4,26.5,20.4,-99.9,8.5
2023-02-19,-99.9,45.0,-99.9,4.0,72.0,0.0,5.0,754.1,-99.9,32.0,26.2,20.0,-99.9,9.9
2023-02-20,-99.9,180.0,-99.9,6.0,81.0,0.0,6.0,753.2,-99.9,32.0,24.5,18.4,-99.9,7.3
2023-02-21,-99.9,45.0,-99.9,2.0,77.0,0.0,1.0,750.9,-99.9,33.0,25.3,16.6,-99.9,4.9
2023-02-22,-99.9,90.0,-99.9,5.0,70.0,0.0,0.0,749.4,-99.9,35.6,27.0,17.6,-99.9,9.9
2023-02-23,-99.9,90.0,-99.9,6.0,68.0,0.0,4.0,751.3,-99.9,35.0,27.5,17.4,-99.9,9.8
2023-02-24,-99.9,135.0,-99.9,8.0,64.0,0.0,3.0,753.2,-99.9,33.0,26.3,18.0,-99.9,8.0
2023-02-25,-99.9,90.0,-99.9,4.0,71.0,0.0,2.0,753.2,-99.9,32.2,26.7,20.4,-99.9,11.0
2023-02-26,-99.9,90.0,-99.9,4.8,66.0,0.0,2.0,751.8,-99.9,34.0,26.3,17.4,-99.9,13.6
2023-02-27,-99.9,90.0,-99.9,4.2,74.0,0.0,5.0,749.7,-99.9,32.4,26.6,18.6,-99.9,6.2
2023-02-28,-99.9,315.0,-99.9,5.0,78.0,0.0,5.0,749.3,-99.9,34.6,27.2,18.0,-99.9,5.4
2023-03-01,-99.9,90.0,-99.9,5.0,70.0,0.0,1.0,749.1,-99.9,32.4,28.3,20.4,-99.9,8.6
2023-03-02,-99.9,135.0,-99.9,5.0,59.0,0.0,0.0,745.4,-99.9,38.4,30.0,20.0,-99.9,13.6
2023-03-03,-99.9,90.0,-99.9,7.0,65.0,0.0,0.0,743.8,-99.9,37.4,29.5,17.0,-99.9,6.0
2023-03-04,-99.9,45.0,-99.9,3.8,77.0,0.0,5.0,748.6,-99.9,32.0,27.3,21.0,-99.9,5.6
2023-03-05,,,,,,,,,,,,20.4,,
