FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,10.4,90.0,-99.9,-99.9,62.3,0.0,1.0,613.9,1.08,25.6,18.0,8.4,-99.9,9.9
2023-02-02,10.7,90.0,-99.9,6.0,51.0,0.0,0.0,613.8,1.12,26.0,17.5,7.2,-99.9,14.6
2023-02-03,6.1,0.0,-99.9,-99.9,72.0,0.0,4.0,615.1,1.2,22.4,13.6,5.2,-99.9,3.7
2023-02-04,5.1,0.0,-99.9,-99.9,76.0,0.0,6.0,614.9,1.3,22.2,16.4,10.0,-99.9,3.3
2023-02-05,8.2,0.0,-99.9,-99.9,62.0,0.0,3.0,613.0,1.3,24.8,18.1,12.4,-99.9,6.0
2023-02-06,10.2,90.0,-99.9,-99.9,65.0,0.0,1.0,613.4,1.1,22.8,16.3,9.2,-99.9,14.8
2023-02-07,9.4,90.0,-99.9,-99.9,58.0,0.0,2.0,612.7,1.09,27.0,17.3,6.0,-99.9,6.2
2023-02-08,7.9,90.0,-99.9,-99.9,65.0,0.0,5.0,612.5,1.06,28.2,20.0,12.0,-99.9,5.3
2023-02-09,10.3,90.0,-99.9,-99.9,59.0,0.0,1.0,612.6,1.1,27.4,18.9,10.6,-99.9,7.4
2023-02-10,10.1,0.0,-99.9,-99.9,61.0,0.0,2.0,612.7,1.1,26.6,18.4,10.2,-99.9,4.9
2023-02-11,10.4,0.0,-99.9,-99.9,61.0,0.0,3.0,613.3,1.24,26.2,18.3,9.6,-99.9,2.5
2023-02-12,10.5,180.0,-99.9,-99.9,69.0,0.0,1.0,613.4,1.15,25.0,17.9,11.0,-99.9,5.6
2023-02-13,10.2,90.0,-99.9,-99.9,63.0,0.0,2.0,613.2,1.27,23.8,17.4,9.2,-99.9,9.9
2023-02-14,10.6,0.0,-99.9,-99.9,55.0,0.0,6.0,612.1,1.17,29.2,18.8,5.6,-99.9,2.5
2023-02-15,10.4,90.0,-99.9,-99.9,47.0,0.0,0.0,612.1,1.2,31.0,20.5,5.8,-99.9,7.4
2023-02-16,10.1,90.0,-99.9,-99.9,48.0,0.0,3.0,612.9,1.22,30.4,20.9,7.0,-99.9,7.3
2023-02-17,9.3,0.0,-99.9,-99.9,63.0,0.0,1.0,613.4,1.2,25.6,17.3,6.8,-99.9,3.7
2023-02-18,10.4,135.0,-99.9,-99.9,65.0,0.0,1.0,614.7,1.2,23.4,16.7,10.0,-99.9,14.8
2023-02-19,10.0,135.0,-99.9,-99.9,71.0,0.0,2.0,615.1,1.33,22.6,16.9,11.0,-99.9,8.0
2023-02-20,10.4,90.0,-99.9,-99.9,66.0,0.0,1.0,614.7,1.18,25.0,16.1,6.8,-99.9,17.9
2023-02-21,10.2,90.0,-99.9,-99.9,60.0,0.0,5.0,612.7,1.2,27.4,18.0,6.2,-99.9,11.1
2023-02-22,9.6,90.0,-99.9,-99.9,57.0,0.0,5.0,612.7,1.16,28.2,17.9,7.8,-99.9,7.4
2023-02-23,10.0,90.0,-99.9,-99.9,48.0,0.0,3.0,613.6,1.18,26.8,19.7,11.4,-99.9,14.8
2023-02-24,11.5,90.0,-99.9,-99.9,56.0,0.0,1.0,614.6,1.15,27.6,19.0,8.2,-99.9,9.3
2023-02-25,10.3,90.0,-99.9,-99.9,47.0,0.0,1.0,614.3,1.2,28.2,20.5,10.0,-99.9,8.6
2023-02-26,10.0,90.0,-99.9,-99.9,50.0,0.0,0.0,613.6,1.2,26.6,17.8,7.2,-99.9,9.2
2023-02-27,10.6,9.0,-99.9,-99.9,57.0,0.0,2.0,612.0,1.1,30.8,20.4,9.0,-99.9,6.2
2023-02-28,10.0,90.0,-99.9,-99.9,51.0,0.0,3.0,612.1,1.11,30.0,22.3,9.8,-99.9,4.7
2023-03-01,10.3,90.0,-99.9,7.0,41.0,0.0,-99.9,612.1,1.2,31.0,20.9,6.4,-99.9,12.3
2023-03-02,9.8,0.0,-99.9,6.8,51.0,0.0,-99.9,610.5,1.1,30.6,20.3,8.2,-99.9,0.0
2023-03-03,10.6,0.0,-99.9,6.0,48.0,0.0,-99.9,610.0,1.15,31.8,20.2,6.0,-99.9,0.0
2023-03-04,8.5,0.0,-99.9,5.6,48.0,0.0,2.0,611.6,1.16,31.0,20.1,7.6,-99.9,1.3
2023-03-05,9.3,90.0,-99.9,7.4,52.0,0.0,2.0,612.8,1.15,29.2,20.7,11.0,-99.9,7.4
2023-03-06,10.3,90.0,-99.9,7.0,52.0,0.0,5.0,612.7,1.2,29.0,21.7,15.0,-99.9,9.3
2023-03-07,6.0,0.0,-99.9,6.5,53.0,0.0,8.0,612.8,1.29,26.4,19.9,8.4,-99.9,0.0
2023-03-08,7.1,0.0,-99.9,5.3,56.0,0.0,7.0,612.9,1.15,28.4,20.3,11.4,-99.9,2.0
2023-03-09,5.9,0.0,-99.9,7.0,59.0,0.0,6.0,612.5,1.1,28.0,18.9,9.2,-99.9,2.5
2023-03-10,,,,,,,,,,,,11.4,,
