FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,0.0,315.0,2.4,2.8,63.0,0.0,3.0,640.7,1.2,26.0,20.3,15.0,21.9,5.3
2023-02-02,9.1,360.0,2.5,5.9,57.0,0.0,0.7,641.1,1.4,26.0,19.5,13.7,21.9,4.0
2023-02-03,4.1,360.0,-99.9,2.8,75.0,2.1,3.0,642.7,0.8,20.0,15.9,14.0,21.9,4.0
2023-02-04,7.4,360.0,1.2,4.3,80.0,0.3,5.7,643.2,1.0,21.1,17.5,14.0,22.0,10.0
2023-02-05,8.8,360.0,0.0,2.9,72.0,0.0,3.3,642.6,1.4,23.0,17.8,13.5,22.0,9.7
2023-02-06,8.0,360.0,0.4,4.5,73.0,0.0,6.3,641.7,1.4,22.0,17.3,12.0,21.8,9.7
2023-02-07,8.1,2.0,2.0,5.2,75.0,0.0,3.0,640.9,1.4,27.0,19.4,13.0,21.8,2.7
2023-02-08,0.0,360.0,1.9,1.5,62.0,0.0,2.3,639.4,1.4,29.0,21.1,15.0,21.6,4.0
2023-02-09,8.6,360.0,1.8,-99.9,60.0,0.0,1.3,639.6,1.6,26.0,20.2,15.0,21.6,4.3
2023-02-10,0.0,360.0,3.0,8.6,67.0,0.0,1.7,639.5,1.4,26.0,20.1,14.8,21.9,6.0
2023-02-11,7.0,360.0,2.8,-99.9,71.0,0.5,3.3,640.5,1.4,24.0,18.8,14.0,22.0,6.3
2023-02-12,8.7,360.0,2.5,3.2,70.0,0.0,3.0,641.1,1.5,23.0,18.8,12.4,21.7,8.0
2023-02-13,9.0,9.0,3.0,5.0,74.0,0.0,0.3,640.8,1.5,24.0,18.1,13.0,22.0,6.0
2023-02-14,8.8,135.0,2.5,2.2,61.0,0.0,4.3,639.7,1.5,27.0,20.2,14.0,22.0,5.3
2023-02-15,7.0,0.0,2.3,3.4,63.0,0.0,4.0,639.8,1.5,28.0,20.6,16.0,22.0,2.0
2023-02-16,-99.9,135.0,2.2,3.6,82.0,0.0,4.0,638.8,1.4,25.0,19.8,15.4,22.0,7.3
2023-02-17,7.9,225.0,3.0,3.5,59.0,0.0,6.0,639.8,1.4,26.0,20.7,16.0,22.0,5.0
2023-02-18,1.5,315.0,1.0,8.7,72.0,0.0,6.0,641.8,0.9,21.0,16.3,15.0,22.0,7.0
2023-02-19,7.8,360.0,0.4,1.0,81.0,0.0,2.0,642.5,1.1,21.0,17.0,13.0,22.0,11.7
2023-02-20,8.2,360.0,0.6,2.8,59.0,0.0,3.0,641.2,1.6,24.0,18.4,13.4,22.1,14.0
2023-02-21,7.8,360.0,3.1,2.0,69.0,0.0,5.0,640.7,1.4,29.0,19.7,13.0,22.0,3.7
2023-02-22,8.1,180.0,2.6,3.0,78.0,0.0,5.0,640.0,1.1,26.0,20.6,15.6,22.2,5.0
2023-02-23,7.5,180.0,2.9,5.9,74.0,0.0,3.3,641.1,1.1,26.0,20.2,14.5,22.2,3.3
2023-02-24,7.6,180.0,2.6,1.3,68.0,0.0,0.7,641.4,1.5,28.0,20.6,15.0,22.2,6.0
2023-02-25,8.8,360.0,2.7,3.3,57.0,0.0,0.0,641.5,1.2,27.0,20.9,15.0,22.3,7.0
2023-02-26,7.8,45.0,1.5,1.6,51.0,0.0,3.7,639.7,1.2,26.0,23.2,15.0,22.4,3.7
2023-02-27,7.8,180.0,2.2,8.2,79.0,0.0,2.3,639.6,2.0,26.0,20.7,15.0,22.4,6.7
2023-02-28,7.5,9.0,2.0,2.5,84.0,0.0,2.7,639.1,1.3,29.0,21.7,16.0,22.4,2.3
2023-03-01,7.2,135.0,2.1,1.4,83.0,0.0,6.0,638.8,1.4,27.0,21.3,16.0,22.4,4.7
2023-03-02,7.5,9.0,1.8,5.8,87.0,0.0,4.7,637.5,1.3,27.0,21.2,16.4,22.4,6.3
2023-03-03,7.4,180.0,2.8,4.1,83.0,0.0,0.0,637.2,1.3,26.0,20.2,14.0,23.0,6.0
2023-03-04,5.8,135.0,2.5,5.7,76.0,0.0,0.3,638.2,1.2,27.5,21.5,15.0,23.5,4.0
2023-03-05,6.8,135.0,2.4,5.1,59.0,0.0,1.0,639.1,1.3,28.0,22.5,17.0,23.0,3.3
2023-03-06,7.2,360.0,2.6,1.8,57.0,0.0,3.0,639.7,1.4,29.0,21.5,16.0,22.9,3.7
2023-03-07,4.3,135.0,-99.9,7.4,79.0,0.0,8.0,639.8,1.4,27.0,19.8,14.0,22.8,4.3
2023-03-08,6.6,9.0,1.8,2.4,77.0,0.0,3.7,640.2,1.4,26.0,19.8,14.0,23.5,3.7
2023-03-09,6.8,360.0,2.4,3.1,60.0,0.0,7.7,639.8,1.4,26.1,21.5,15.6,23.0,4.0
2023-03-10,,,,,,,,,,,,15.0,,
