FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,45.0,-99.9,-99.9,64.0,0.0,3.0,640.2,-99.9,25.2,20.2,15.0,-99.9,25.9
2023-02-02,-99.9,45.0,-99.9,-99.9,59.0,0.0,1.0,640.6,-99.9,25.0,19.6,13.8,-99.9,17.3
2023-02-03,-99.9,45.0,-99.9,-99.9,76.0,1.5,3.0,641.1,-99.9,21.2,15.8,13.4,-99.9,32.1
2023-02-04,-99.9,360.0,-99.9,-99.9,76.0,0.3,4.0,641.0,-99.9,21.8,17.67,14.2,-99.9,33.3
2023-02-05,-99.9,360.0,-99.9,-99.9,70.0,0.0,2.0,640.8,-99.9,32.2,17.8,13.6,-99.9,29.6
2023-02-06,-99.9,45.0,-99.9,-99.9,66.0,0.0,4.0,639.82,-99.9,22.0,17.2,11.6,-99.9,27.2
2023-02-07,-99.9,360.0,-99.9,-99.9,62.0,0.0,4.0,639.3,-99.9,26.0,19.3,12.4,-99.9,19.4
2023-02-08,-99.9,45.0,-99.9,-99.9,65.0,0.0,5.0,638.7,-99.9,26.8,20.7,14.8,-99.9,19.74
2023-02-09,-99.9,45.0,-99.9,-99.9,59.0,0.0,3.0,638.8,-99.9,25.4,20.3,15.0,-99.9,24.7
2023-02-10,-99.9,45.0,-99.9,-99.9,64.0,0.0,3.0,639.0,-99.9,24.6,20.1,15.0,-99.9,24.7
2023-02-11,-99.9,45.0,-99.9,-99.9,68.0,0.0,4.0,639.2,-99.9,24.4,18.3,13.4,-99.9,28.4
2023-02-12,-99.9,360.0,-99.9,-99.9,61.0,0.0,1.7,639.0,-99.9,22.8,17.6,13.0,-99.9,34.2
2023-02-13,-99.9,360.0,-99.9,-99.9,64.0,0.0,2.0,639.1,-99.9,24.0,18.6,12.6,-99.9,30.8
2023-02-14,-99.9,180.0,-99.9,-99.9,66.0,0.0,6.0,638.4,-99.9,26.2,20.4,13.4,-99.9,14.81
2023-02-15,-99.9,225.0,-99.9,-99.9,71.0,0.0,4.0,638.5,-99.9,26.4,20.8,15.6,-99.9,9.9
2023-02-16,-99.9,180.0,-99.9,-99.9,69.0,0.0,-99.9,637.9,-99.9,25.4,20.1,15.4,-99.9,16.0
2023-02-17,-99.9,360.0,-99.9,-99.9,58.0,0.0,4.0,639.2,-99.9,25.4,20.5,15.8,-99.9,30.8
2023-02-18,-99.9,45.0,-99.9,-99.9,67.0,0.2,4.0,640.4,-99.9,21.4,17.2,15.2,-99.9,34.5
2023-02-19,-99.9,360.0,-99.9,-99.9,71.0,0.0,3.0,640.7,-99.9,21.6,17.5,13.4,-99.9,45.6
2023-02-20,-99.9,360.0,-99.9,-99.9,59.0,0.0,4.0,640.4,-99.9,23.4,18.3,13.0,-99.9,25.9
2023-02-21,-99.9,180.0,-99.9,-99.9,69.0,0.0,3.0,637.9,-99.9,25.4,20.1,15.4,-99.9,16.0
2023-02-22,-99.9,225.0,-99.9,-99.9,70.0,0.0,6.0,639.3,-99.9,26.2,20.7,16.2,-99.9,14.8
2023-02-23,-99.9,180.0,-99.9,-99.9,58.0,0.0,4.0,639.8,-99.9,25.8,20.4,14.8,-99.9,14.8
2023-02-24,-99.9,45.0,-99.9,-99.9,59.0,0.0,1.0,640.5,-99.9,27.2,20.7,14.8,-99.9,14.8
2023-02-25,-99.9,45.0,-99.9,-99.9,55.0,0.0,1.0,640.6,-99.9,26.4,20.9,14.2,-99.9,22.2
2023-02-26,-99.9,360.0,-99.9,-99.9,58.0,0.0,3.0,639.7,-99.9,25.0,20.1,14.8,-99.9,21.0
2023-02-27,-99.9,180.0,-99.9,-99.9,60.0,0.0,2.0,638.65,-99.9,27.2,21.0,14.8,-99.9,18.5
2023-02-28,-99.9,180.0,-99.9,-99.9,68.0,0.0,2.0,638.7,-99.9,27.6,21.5,16.2,-99.9,13.6
2023-03-01,-99.9,180.0,-99.9,-99.9,71.0,0.0,4.0,638.5,-99.9,27.2,21.8,16.0,-99.9,17.3
2023-03-02,-99.9,180.0,-99.9,-99.9,64.0,0.0,6.0,637.11,-99.9,27.2,21.6,16.6,-99.9,17.3
2023-03-03,-99.9,180.0,-99.9,-99.9,64.0,0.0,1.0,635.8,-99.9,27.4,20.3,14.2,-99.9,22.2
2023-03-04,-99.9,9.0,-99.9,-99.9,65.0,0.0,3.0,637.4,-99.9,29.0,21.8,14.2,-99.9,11.1
2023-03-05,,,,,,,,,,,,16.6,,
