FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,9.7,90,-99.9,6.1,49,0,4.3,742.6,-99.9,33.8,28.3,22.5,-99.9,14.1
2023-02-02,10.3,90,-99.9,7.8,44,0,1.3,742.5,-99.9,33.5,27.4,20.4,-99.9,9
2023-02-03,5,90,-99.9,5.7,50,0.1,4.7,744.4,-99.9,31.6,25.3,20.2,-99.9,12
2023-02-04,4.9,90,-99.9,3.5,55,0.2,6.7,744.5,-99.9,30.5,24.9,19.5,-99.9,13.8
2023-02-05,2.4,9,-99.9,13.5,50,0,6,744.2,-99.9,30.6,25.1,19.4,-99.9,6.5
2023-02-06,6.5,90,-99.9,4.7,53,0,5.7,743.2,-99.9,30.7,24.3,17.7,-99.9,5.7
2023-02-07,9.1,90,-99.9,3.7,49,0,1.3,741.4,-99.9,33.4,26.3,17.6,-99.9,8.7
2023-02-08,10.5,90,-99.9,5.3,49,0,1.7,740.5,-99.9,34.5,28.3,21.6,-99.9,15.2
2023-02-09,8.7,90,-99.9,6.5,42,0,3.3,740.8,-99.9,35,27.9,19.4,-99.9,14
2023-02-10,8.3,90,-99.9,6.3,46,0,1.3,741.1,-99.9,34,26.9,20.2,,14.3
2023-02-11,4.1,90,-99.9,5.5,52,0,7,741.9,-99.9,32.8,26.9,20.4,,13
2023-02-12,8.3,45,-99.9,4.3,53,0,3.3,742.9,-99.9,30,26.9,19.4,-99.9,13
2023-02-13,9.6,45,-99.96,6.8,59,0,4.7,742.9,-99.9,29.5,23.4,19,-99.9,14.3
2023-02-14,10.1,315,-99.9,3.8,55,0,1.3,740,-99.9,36.2,27.4,19.6,-99.9,6
2023-02-15,9.6,45,-99.9,5.7,45,0,2.7,739.9,-99.9,36.2,28.9,19.8,,7.9
2023-02-16,10.5,315,-99.9,6.6,47,0,0,738.6,-99.9,38.2,29,20,-99.9,9.2
2023-02-17,8.5,90,-99.9,5.5,44,0,4.7,741.4,-99.9,34.6,28.8,21.9,-99.9,10.1
2023-02-18,10.5,90,-99.9,7.2,51,0,4.7,743.4,-99.9,32,27.3,23.2,-99.9,14.9
2023-02-19,2.3,90,-99.9,6,60,0.2,4,744.7,-99.9,28.3,23.3,19.4,-99.9,8.7
2023-02-20,5.7,9,-99.9,3.6,49,0,4,743.8,-99.9,31,24.8,19,-99.9,7
2023-02-21,9.1,45,-99.9,4.6,50,0,6,741.3,-99.9,34.3,27.6,20,-99.9,8.9
2023-02-22,10.2,45,-99.9,5.9,50,0,1.7,740.1,-99.9,38.4,29.4,20.6,-99.9,9.9
2023-02-23,10.8,90,-99.9,6.3,48,0,1,741.7,-99.9,36,28.3,19.8,-99.9,11.3
2023-02-24,10.4,90,-99.9,7.1,47,0,1.7,743.2,-99.9,33.6,27.6,19.6,-99.9,19.3
2023-02-25,9.4,90,-99.9,6.8,49,0,3,743.2,-99.9,34,28,21.1,-99.9,18.1
2023-02-26,10.8,90,-99.9,6.7,45,0,0.7,742.3,-99.9,34,27.7,20.8,-99.9,12.6
2023-02-27,10.7,9,-99.9,7.4,43,0,0.7,739.7,-99.9,37.5,28.7,20.4,-99.9,8.8
2023-02-28,10,315,-99.9,8.2,40,0,2.7,739.8,-99.9,37.6,30.4,23.2,-99.9,7.8
2023-03-01,10.2,90,-99.9,4.5,44,0,1,739.2,-99.9,38,30,22.2,-99.9,9.2
2023-03-02,10.2,180,-99.9,8.3,26,0,2.3,737.1,-99.9,39.4,32,22.5,-99.9,4.8
2023-03-03,10.6,225,-99.9,5.8,29,0,0,735.7,-99.9,38.6,31.2,20.2,-99.9,6.3
2023-03-04,9.3,90,-99.9,6.5,40,0,0.3,738,-99.9,37.7,30.3,22,-99.9,4.7
2023-03-05,9.8,90,-99.9,7.5,35,0,2.3,740.2,-99.9,35.6,29.9,23,-99.9,12.4
2023-03-06,10.8,90,-99.9,7,40,0,2,740.5,-99.9,34.6,29.1,22.4,-99.9,9.9
2023-03-07,6.5,315,-99.9,7.3,43,0,8,741.4,-99.9,35.2,27.5,21.6,-99.9,9
2023-03-08,8.9,45,,5.4,38,0,7.7,741.3,-99.9,34.8,27.6,20,-99.9,11.3
2023-03-09,8.9,90,-99.9,6.3,46,0,8,741,-99.9,34.6,28.7,22.2,-99.9,15.3
2023-03-10,,,,,,,,,,,,20,,
