FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,9.0,-99.9,-99.9,87.0,0.0,7.0,-99.9,-99.9,24.5,21.1,18.0,-99.9,3.7
2023-02-02,-99.9,45.0,-99.9,-99.9,83.0,0.0,6.0,-99.9,-99.9,24.0,21.3,18.5,-99.9,4.0
2023-02-03,-99.9,360.0,-99.9,-99.9,81.0,12.0,7.0,-99.9,-99.9,23.0,20.1,17.5,-99.9,6.0
2023-02-04,-99.9,360.0,-99.9,-99.9,90.0,1.0,8.0,-99.9,-99.9,21.5,19.1,17.5,-99.9,4.0
2023-02-05,-99.9,360.0,-99.9,-99.9,93.0,4.5,8.0,-99.9,-99.9,21.0,18.0,16.5,-99.9,6.3
2023-02-06,-99.9,360.0,-99.9,-99.9,92.0,2.7,8.0,-99.9,-99.9,20.5,17.9,16.5,-99.9,5.3
2023-02-07,-99.9,45.0,-99.9,-99.9,85.0,0.0,7.0,-99.9,-99.9,24.0,20.9,17.0,-99.9,3.7
2023-02-08,-99.9,90.0,-99.9,-99.9,85.0,0.0,5.0,-99.9,-99.9,25.5,21.9,17.0,-99.9,4.3
2023-02-09,-99.9,9.0,-99.9,-99.9,86.0,0.0,5.0,-99.9,-99.9,26.0,21.9,18.0,-99.9,4.0
2023-02-10,-99.9,45.0,-99.9,-99.9,85.0,1.0,5.0,-99.9,-99.9,24.0,20.9,19.0,-99.9,3.7
2023-02-11,-99.9,180.0,-99.9,-99.9,93.0,7.5,7.0,-99.9,-99.9,24.0,20.0,18.0,-99.9,4.3
2023-02-12,-99.9,45.0,-99.9,-99.9,84.0,0.0,7.0,-99.9,-99.9,21.0,17.8,17.0,-99.9,10.3
2023-02-13,-99.9,90.0,-99.9,-99.9,86.0,0.0,7.0,-99.9,-99.9,20.0,17.5,14.5,-99.9,6.7
2023-02-14,-99.9,235.0,-99.9,-99.9,86.0,0.0,6.0,-99.9,-99.9,27.0,21.7,16.5,-99.9,4.0
2023-02-15,-99.9,9.0,-99.9,-99.9,78.0,0.0,2.0,-99.9,-99.9,28.0,23.4,18.0,-99.9,2.3
2023-02-16,-99.9,360.0,-99.9,-99.9,77.0,0.0,1.0,-99.9,-99.9,30.0,23.5,18.0,-99.9,3.0
2023-02-17,-99.9,90.0,-99.9,-99.9,79.0,1.5,5.0,-99.9,-99.9,25.5,21.7,17.5,-99.9,10.0
2023-02-18,-99.9,360.0,-99.9,-99.9,88.0,5.0,7.0,-99.9,-99.9,23.0,19.7,17.5,-99.9,9.3
2023-02-19,-99.9,360.0,-99.9,-99.9,96.0,4.4,8.0,-99.9,-99.9,20.0,18.0,17.0,-99.9,4.7
2023-02-20,-99.9,90.0,-99.9,-99.9,92.0,1.4,8.0,-99.9,-99.9,19.5,18.0,17.5,-99.9,4.0
2023-02-21,-99.9,360.0,-99.9,-99.9,79.0,0.0,7.0,-99.9,-99.9,25.0,21.2,17.0,-99.9,3.7
2023-02-22,-99.9,180.0,-99.9,-99.9,74.0,0.0,2.0,-99.9,-99.9,29.5,21.6,18.0,-99.9,12.0
2023-02-23,-99.9,180.0,-99.9,-99.9,70.0,0.0,3.0,-99.9,-99.9,30.0,24.0,18.0,-99.9,4.3
2023-02-24,-99.9,360.0,-99.9,-99.9,79.0,0.0,4.0,-99.9,-99.9,25.5,21.2,17.0,-99.9,5.3
2023-02-25,-99.9,90.0,-99.9,-99.9,83.0,0.0,6.0,-99.9,-99.9,25.0,21.5,19.0,-99.9,5.0
2023-02-26,-99.9,90.0,-99.9,-99.9,86.0,0.0,6.0,-99.9,-99.9,24.5,20.7,18.0,-99.9,4.3
2023-02-27,-99.9,360.0,-99.9,-99.9,79.0,0.0,3.0,-99.9,-99.9,28.0,22.5,16.5,-99.9,3.7
2023-02-28,-99.9,360.0,-99.9,-99.9,78.0,0.0,4.0,-99.9,-99.9,25.8,21.1,18.5,-99.9,3.3
2023-03-01,-99.9,360.0,-99.9,-99.9,78.0,0.0,6.0,-99.9,-99.9,29.5,24.7,19.0,-99.9,4.0
2023-03-02,-99.9,225.0,-99.9,-99.9,68.0,0.0,3.0,-99.9,-99.9,32.0,26.4,19.0,-99.9,3.0
2023-03-03,-99.9,180.0,-99.9,-99.9,56.0,0.0,0.0,-99.9,-99.9,31.0,26.5,20.0,-99.9,7.3
2023-03-04,-99.9,90.0,-99.9,-99.9,65.0,0.0,2.0,-99.9,-99.9,30.5,25.4,20.0,-99.9,5.3
2023-03-05,-99.9,9.0,-99.9,-99.9,71.0,0.0,3.0,-99.9,-99.9,29.0,24.5,20.5,-99.9,3.3
2023-03-06,0.0,90.0,-99.9,-99.9,76.0,0.0,3.0,-99.9,-99.9,26.5,22.0,17.0,-99.9,6.0
2023-03-07,-99.9,45.0,-99.9,-99.9,81.0,0.0,7.0,-99.9,-99.9,26.0,21.3,17.0,-99.9,4.0
2023-03-08,-99.9,360.0,-99.9,-99.9,70.0,0.0,5.0,-99.9,-99.9,28.5,22.5,16.0,-99.9,6.7
2023-03-09,-99.9,360.0,-99.9,-99.9,76.0,0.0,5.0,-99.9,-99.9,26.5,22.3,17.0,-99.9,4.3
2023-03-10,,,,,,,,,,,,17.5,,
