FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,8.8,45.0,-99.9,4.8,65.0,0.0,1.0,578.8,-99.9,24.4,14.1,-1.0,-99.9,10.5
2023-02-02,8.9,9.0,-99.9,6.1,64.0,0.0,0.0,578.8,-99.9,24.2,13.9,0.6,-99.9,8.6
2023-02-03,5.5,45.0,-99.9,6.7,79.0,0.0,6.0,579.3,-99.9,18.8,11.8,3.0,-99.9,13.6
2023-02-04,8.9,45.0,-99.9,1.6,78.0,0.0,4.0,579.4,-99.9,21.0,14.6,4.0,-99.9,17.3
2023-02-05,8.6,45.0,-99.9,3.5,60.0,0.0,3.0,579.2,-99.9,22.8,16.5,7.2,-99.9,12.3
2023-02-06,5.4,360.0,-99.9,4.9,63.0,0.0,2.0,578.7,-99.9,20.2,13.9,6.0,-99.9,9.8
2023-02-07,8.9,180.0,-99.9,7.5,60.0,0.0,2.0,578.4,-99.9,23.6,13.2,-1.0,-99.9,6.8
2023-02-08,8.0,180.0,-99.9,2.1,56.0,0.0,5.0,578.5,-99.9,23.8,13.9,0.0,-99.9,7.4
2023-02-09,9.1,90.0,-99.9,4.3,56.0,0.0,2.0,578.6,-99.9,25.0,15.1,3.6,-99.9,8.6
2023-02-10,8.6,45.0,-99.9,2.4,59.0,0.0,4.0,578.3,-99.9,24.4,14.7,2.0,-99.9,9.9
2023-02-11,9.1,90.0,-99.9,3.8,58.0,0.0,1.0,578.7,-99.9,22.6,15.6,6.8,-99.9,11.1
2023-02-12,9.2,360.0,-99.9,4.5,63.0,0.0,2.0,578.6,-99.9,23.8,15.5,8.2,-99.9,13.5
2023-02-13,9.0,45.0,-99.9,2.7,68.0,0.0,1.0,578.6,-99.9,24.0,15.3,5.6,-99.9,6.2
2023-02-14,9.3,180.0,-99.9,4.0,74.0,0.0,0.0,578.2,-99.9,23.6,13.3,-0.4,-99.9,6.1
2023-02-15,9.4,0.0,-99.9,4.2,57.0,0.0,0.0,578.5,-99.9,26.8,15.0,-1.6,-99.9,5.5
2023-02-16,9.2,135.0,-99.9,4.5,61.0,0.0,0.0,578.0,-99.9,26.6,14.1,-2.8,-99.9,8.0
2023-02-17,9.6,45.0,-99.9,5.1,64.0,0.0,1.0,578.5,-99.9,23.0,12.7,-1.0,-99.9,14.8
2023-02-18,9.6,45.0,-99.9,4.2,67.0,0.0,1.0,579.2,-99.9,21.2,14.6,9.2,-99.9,16.0
2023-02-19,9.8,45.0,-99.9,4.1,67.0,0.0,3.0,579.6,-99.9,20.4,15.1,6.0,-99.9,22.2
2023-02-20,9.8,45.0,-99.9,3.3,52.0,0.0,1.0,579.1,-99.9,22.4,16.3,8.0,-99.9,9.2
2023-02-21,9.1,0.0,-99.9,3.5,66.0,0.0,4.0,578.8,-99.9,22.8,14.2,2.4,-99.9,7.4
2023-02-22,8.0,0.0,-99.9,3.5,72.0,0.0,4.0,579.8,-99.9,22.6,14.6,5.0,-99.9,1.8
2023-02-23,9.6,0.0,-99.9,2.8,62.0,0.0,3.0,579.1,-99.9,24.6,14.7,2.8,-99.9,3.1
2023-02-24,9.9,0.0,-99.9,4.7,65.0,0.0,1.0,579.5,-99.9,25.0,14.4,-0.2,-99.9,5.5
2023-02-25,10.1,45.0,-99.9,2.6,51.0,0.0,0.0,579.5,-99.9,27.4,15.8,0.6,-99.9,7.4
2023-02-26,9.9,0.0,-99.9,5.2,69.0,0.0,2.0,579.0,-99.9,26.0,14.2,1.2,-99.9,6.2
2023-02-27,9.5,180.0,-99.9,5.0,71.0,0.0,0.0,578.5,-99.9,24.6,13.9,0.2,-99.9,4.9
2023-02-28,8.2,0.0,-99.9,4.8,63.0,0.0,3.0,578.6,-99.9,26.2,16.7,3.2,-99.9,1.2
2023-03-01,9.8,180.0,-99.9,3.0,68.0,0.0,1.0,578.6,-99.9,26.0,13.8,-1.6,-99.9,7.4
2023-03-02,9.5,180.0,-99.9,2.9,64.0,0.0,3.0,577.5,-99.9,25.4,14.1,1.2,-99.9,8.6
2023-03-03,10.3,225.0,-99.9,4.5,53.0,0.0,0.0,577.1,-99.9,25.0,14.8,-0.6,-99.9,11.7
2023-03-04,7.2,180.0,-99.9,6.0,61.0,0.0,3.0,578.1,-99.9,25.8,15.2,1.0,-99.9,7.4
2023-03-05,9.1,0.0,-99.9,3.6,64.0,0.0,3.0,578.7,-99.9,26.2,16.6,5.6,-99.9,4.9
2023-03-06,10.3,0.0,-99.9,3.1,64.0,0.0,4.0,578.9,-99.9,26.8,16.7,4.4,-99.9,3.7
2023-03-07,5.4,270.0,-99.9,4.2,75.0,0.0,7.0,578.8,-99.9,23.0,13.4,3.4,-99.9,3.7
2023-03-08,,,,,,0.0,,,,22.0,14.3,5.4,,
2023-03-09,,,,,,0.0,,,,24.0,14.2,4.2,,
2023-03-10,,,,,,,,,,,,3.8,,
