FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,-99.9,-99.9,-99.9,69.0,0.0,7.3,-99.9,-99.9,31.0,27.0,19.0,-99.9,7.3
2023-02-02,-99.9,-99.9,-99.9,-99.9,82.0,8.0,6.7,-99.9,-99.9,33.0,27.7,18.0,-99.9,9.0
2023-02-03,-99.9,-99.9,-99.9,-99.9,96.0,1.5,7.3,-99.9,-99.9,31.0,26.3,19.0,-99.9,5.3
2023-02-04,-99.9,-99.9,-99.9,-99.9,98.0,20.0,8.0,-99.9,-99.9,30.0,25.3,20.0,-99.9,5.3
2023-02-05,-99.9,-99.9,-99.9,-99.9,92.0,22.0,8.0,-99.9,-99.9,29.0,24.3,20.0,-99.9,5.3
2023-02-06,-99.9,-99.9,-99.9,-99.9,94.0,2.0,8.0,-99.9,-99.9,27.0,23.3,19.0,-99.9,5.3
2023-02-07,-99.9,-99.9,-99.9,-99.9,96.0,0.0,8.0,-99.9,-99.9,32.0,27.3,20.0,-99.9,3.7
2023-02-08,-99.9,-99.9,-99.9,-99.9,98.0,5.0,6.0,-99.9,-99.9,32.4,28.0,20.0,-99.9,7.3
2023-02-09,-99.9,-99.9,-99.9,-99.9,42.0,0.0,4.0,-99.9,-99.9,35.0,27.8,19.0,-99.9,12.3
2023-02-10,-99.9,-99.9,-99.9,-99.9,98.0,40.0,6.7,-99.9,-99.9,32.0,27.0,20.0,-99.9,7.3
2023-02-11,-99.9,-99.9,-99.9,-99.9,94.0,50.0,6.7,-99.9,-99.9,31.0,26.0,20.0,-99.9,12.0
2023-02-12,-99.9,-99.9,-99.9,-99.9,96.0,6.0,8.0,-99.9,-99.9,26.0,26.0,19.0,-99.9,11.0
2023-02-13,-99.9,-99.9,-99.9,-99.9,92.0,0.0,8.0,-99.9,-99.9,27.0,23.0,18.0,-99.9,7.0
2023-02-14,-99.9,-99.9,-99.9,-99.9,95.0,0.0,6.7,-99.9,-99.9,32.0,27.7,20.0,-99.9,9.3
2023-02-15,-99.9,-99.9,-99.9,-99.9,98.0,0.0,6.7,-99.9,-99.9,33.6,28.8,20.0,-99.9,5.0
2023-02-16,-99.9,-99.9,-99.9,-99.9,90.0,0.0,5.3,-99.9,-99.9,33.4,28.8,21.0,,7.3
2023-02-17,-99.9,-99.9,-99.9,-99.9,92.0,36.0,7.3,-99.9,-99.9,32.0,28.0,21.0,-99.9,7.0
2023-02-18,-99.9,-99.9,-99.9,-99.9,96.0,44.0,7.3,-99.9,-99.9,31.0,26.7,19.0,-99.9,5.7
2023-02-19,-99.9,-99.9,-99.9,-99.9,90.0,66.0,8.0,-99.9,-99.9,29.0,25.0,19.0,-99.9,5.3
2023-02-20,-99.9,-99.9,-99.9,-99.9,96.0,12.0,8.0,-99.9,-99.9,29.0,25.0,20.0,-99.9,5.3
2023-02-21,-99.9,-99.9,-99.9,-99.9,92.0,0.0,7.3,-99.9,-99.9,31.0,27.3,20.5,-99.9,7.3
2023-02-22,-99.9,-99.9,-99.9,-99.9,88.0,0.0,4.7,-99.96,-99.9,33.0,28.7,20.0,-99.96,3.7
2023-02-23,-99.9,-99.9,-99.9,-99.9,92.0,0.0,6.7,-99.9,-99.9,32.6,27.3,19.0,-99.9,9.0
2023-02-24,-99.9,-99.9,-99.9,-99.9,94.0,0.0,6.7,-99.9,-99.9,33.6,28.3,20.0,-99.9,9.3
2023-02-25,-99.9,-99.9,-99.9,-99.9,90.0,0.0,7.3,-99.9,-99.9,32.0,27.7,21.0,-99.9,2.0
2023-02-26,-99.9,-99.9,-99.9,-99.9,88.0,0.0,4.7,-99.9,-99.9,33.0,28.2,20.0,-99.9,7.3
2023-02-27,-99.9,-99.9,-99.9,-99.9,94.0,0.0,5.3,-99.9,-99.9,33.0,28.6,20.5,-99.9,7.3
2023-02-28,-99.9,-99.9,-99.9,-99.9,90.0,0.0,6.0,-99.9,-99.9,34.0,28.7,20.0,-99.9,3.7
2023-03-01,-99.9,-99.9,-99.9,-99.9,94.0,0.0,6.0,-99.9,-99.9,33.0,28.0,20.0,-99.9,9.0
2023-03-02,-99.9,-99.9,-99.9,-99.9,90.0,0.0,5.3,-99.9,-99.9,35.0,29.7,20.5,-99.9,3.7
2023-03-03,-99.9,-99.9,-99.9,-99.9,88.0,0.0,4.7,-99.9,-99.9,36.0,29.7,21.0,-99.9,3.7
2023-03-04,-99.9,-99.9,-99.9,-99.9,88.0,0.0,7.3,-99.9,-99.9,35.0,28.7,20.5,-99.9,12.0
2023-03-05,,,,,,,,,,,,21.0,,
