FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,9.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,25.0,19.3,12.0,-99.9,1.3
2023-02-02,-99.9,9.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,25.5,18.3,11.5,-99.9,1.3
2023-02-03,-99.9,0.0,-99.9,-99.9,-99.9,0.2,6.0,-99.9,-99.9,22.0,16.0,12.0,-99.9,0.0
2023-02-04,-99.9,0.0,-99.9,-99.9,-99.9,5.4,8.0,-99.9,-99.9,18.0,15.4,12.0,-99.9,0.0
2023-02-05,-99.9,0.0,-99.9,-99.9,-99.9,0.3,6.0,-99.9,-99.9,20.5,15.9,13.0,-99.9,0.0
2023-02-06,-99.9,9.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,21.0,16.0,10.0,-99.9,1.3
2023-02-07,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,27.0,16.8,5.0,-99.9,0.7
2023-02-08,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,25.5,17.7,12.0,-99.9,0.0
2023-02-09,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,26.5,19.0,12.0,-99.9,2.3
2023-02-10,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,24.5,17.6,12.0,-99.9,0.0
2023-02-11,-99.9,0.0,-99.9,-99.9,-99.9,2.0,7.0,-99.9,-99.9,24.0,18.3,12.0,-99.9,2.3
2023-02-12,-99.9,9.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,25.5,18.1,13.0,-99.9,3.0
2023-02-13,-99.9,0.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,23.5,16.7,11.5,-99.9,2.3
2023-02-14,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,29.0,19.2,12.0,-99.9,0.0
2023-02-15,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,28.5,20.3,13.0,-99.9,4.3
2023-02-16,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,29.5,20.7,13.5,-99.9,0.0
2023-02-17,-99.9,9.0,-99.9,-99.9,-99.9,0.0,5.0,-99.9,-99.9,28.0,20.2,13.8,-99.9,7.3
2023-02-18,-99.9,0.0,-99.9,-99.9,-99.9,2.2,5.0,-99.9,-99.9,22.0,17.1,12.0,-99.9,0.0
2023-02-19,-99.9,0.0,-99.9,-99.9,-99.9,4.6,7.0,-99.9,-99.9,19.0,15.7,14.0,-99.9,0.0
2023-02-20,-99.9,0.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,23.0,17.8,14.0,-99.9,0.0
2023-02-21,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,25.0,19.3,14.5,-99.9,0.0
2023-02-22,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,28.0,19.9,15.0,-99.9,0.0
2023-02-23,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,29.0,21.2,14.5,-99.9,5.0
2023-02-24,-99.9,9.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,28.0,20.7,12.0,-99.9,3.0
2023-02-25,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,25.0,18.3,12.0,-99.9,0.0
2023-02-26,-99.9,0.0,-99.9,-99.9,-99.9,0.0,6.0,-99.9,-99.9,25.0,18.8,14.0,-99.9,0.7
2023-02-27,-99.9,0.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,29.0,21.7,14.5,-99.9,0.0
2023-02-28,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,27.0,20.3,14.0,-99.9,0.0
2023-03-01,-99.9,0.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,30.5,21.8,14.0,-99.9,2.3
2023-03-02,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,30.0,22.8,15.0,-99.9,0.7
2023-03-03,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,30.5,22.0,10.0,-99.9,0.0
2023-03-04,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,31.0,23.5,15.0,-99.9,0.0
2023-03-05,,,,,,,,,,,,15.0,,
