FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,10.0,45.0,-99.9,4.3,43.0,0.0,0.7,580.5,-99.9,25.4,12.8,-1.8,-99.9,19.7
2023-02-02,10.2,9.0,-99.9,3.4,31.0,0.0,0.0,580.1,-99.9,24.4,13.5,-0.6,-99.9,13.6
2023-02-03,6.2,45.0,-99.9,3.1,74.0,0.0,6.0,581.1,-99.9,18.8,11.6,3.4,-99.9,21.0
2023-02-04,8.8,45.0,-99.9,2.5,63.0,0.0,4.0,580.9,-99.9,19.4,14.1,8.6,-99.9,28.4
2023-02-05,9.4,360.0,-99.9,2.0,54.0,0.0,2.7,580.5,-99.9,22.6,15.8,7.4,-99.9,17.3
2023-02-06,6.6,9.0,-99.9,4.4,74.0,0.0,0.7,579.4,-99.9,20.4,13.3,3.8,-99.9,9.9
2023-02-07,9.7,0.0,-99.9,3.1,66.0,0.0,0.0,579.4,-99.9,21.6,12.7,-2.0,,3.7
2023-02-08,9.2,0.0,-99.9,4.4,74.0,0.0,2.3,579.4,-99.9,22.4,13.5,-1.6,-99.9,3.7
2023-02-09,9.7,360.0,-99.9,-99.9,65.0,0.0,5.0,-99.9,-99.9,23.0,15.8,5.4,-99.9,1.4
2023-02-10,9.5,9.0,-99.9,3.5,66.0,0.0,0.7,579.1,-99.9,23.2,14.5,1.0,-99.9,8.6
2023-02-11,9.8,360.0,-99.9,4.4,71.0,0.0,0.0,579.6,-99.9,21.6,13.9,3.0,,19.7
2023-02-12,10.5,360.0,-99.9,5.1,68.0,0.0,0.3,579.1,-99.9,22.2,13.9,6.0,-99.9,18.5
2023-02-13,9.6,45.0,-99.9,3.4,50.0,0.0,1.3,579.2,-99.9,22.4,14.9,4.0,-99.9,14.8
2023-02-14,10.4,9.0,-99.9,2.8,69.0,0.0,0.0,579.2,-99.9,23.0,13.3,-1.0,-99.9,7.4
2023-02-15,10.4,0.0,-99.9,3.4,70.0,,0.0,579.5,-99.9,26.2,14.2,-2.0,,3.1
2023-02-16,10.5,0.0,-99.9,3.6,63.0,0.0,2.7,578.7,-99.9,27.0,14.1,-4.4,-99.9,4.9
2023-02-17,10.4,360.0,-99.9,3.8,59.0,0.0,0.3,579.5,-99.9,22.6,12.1,-2.2,-99.9,11.1
2023-02-18,10.6,45.0,-99.9,4.5,74.0,0.0,1.0,580.5,-99.9,20.4,13.5,7.6,-99.9,27.1
2023-02-19,10.5,45.0,-99.9,7.0,69.0,0.0,2.7,581.1,-99.9,18.6,13.6,8.4,-99.9,28.4
2023-02-20,11.0,360.0,-99.9,5.1,71.0,0.0,0.7,580.4,-99.9,21.2,13.8,6.0,-99.9,25.3
2023-02-21,9.9,135.0,-99.9,4.4,76.0,0.0,3.7,580.1,-99.9,22.6,14.3,1.0,-99.9,11.1
2023-02-22,8.4,135.0,-99.9,3.5,74.0,0.0,4.7,580.0,-99.9,21.2,14.1,4.0,-99.9,10.0
2023-02-23,8.9,0.0,-99.9,4.8,67.0,0.0,2.7,580.2,-99.9,23.0,14.7,4.0,-99.9,6.2
2023-02-24,10.3,0.0,-99.9,4.4,63.0,0.0,0.0,580.6,-99.9,24.0,14.0,-1.0,-99.9,6.2
2023-02-25,10.3,0.0,-99.9,5.2,64.0,0.0,0.0,580.7,-99.9,25.4,15.5,1.0,-99.9,4.9
2023-02-26,9.8,0.0,-99.9,4.4,66.0,0.0,0.0,579.6,-99.9,24.8,14.0,0.0,-99.9,4.9
2023-02-27,9.9,135.0,-99.9,5.0,74.0,0.0,0.0,579.2,-99.9,25.0,13.7,-1.4,,6.2
2023-02-28,8.5,0.0,-99.9,3.0,73.0,0.0,2.7,579.6,-99.9,26.4,16.1,3.2,-99.9,4.9
2023-03-01,9.7,0.0,-99.9,4.0,73.0,0.0,1.0,579.6,-99.9,26.0,13.9,-2.0,-99.9,4.9
2023-03-02,9.7,90.0,-99.9,3.5,71.0,0.0,2.7,578.0,-99.9,24.0,13.7,0.4,-99.9,7.4
2023-03-03,10.5,9.0,-99.9,3.2,35.0,0.0,2.7,577.5,-99.9,24.4,15.1,1.0,,13.6
2023-03-04,7.6,0.0,-99.9,5.8,56.0,0.0,3.0,578.7,-99.9,26.4,15.1,0.0,-99.9,3.7
2023-03-05,,,,,,,,,,,,4.4,,
