FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,9.0,-99.9,-99.9,83.0,0.0,4.0,-99.9,-99.9,34.0,24.9,15.6,-99.9,4.0
2023-02-02,-99.9,9.0,-99.9,-99.9,82.0,0.0,3.0,-99.9,-99.9,34.0,24.8,13.0,-99.9,5.3
2023-02-03,-99.9,9.0,-99.9,-99.9,80.0,0.0,3.0,-99.9,-99.9,31.8,24.4,13.6,-99.9,10.0
2023-02-04,-99.9,90.0,-99.9,-99.9,81.0,0.0,3.0,-99.9,-99.9,32.8,24.9,13.6,-99.9,4.0
2023-02-05,-99.9,360.0,-99.9,-99.9,78.0,0.0,5.0,-99.9,-99.9,33.0,25.1,13.0,-99.9,3.3
2023-02-06,-99.9,90.0,-99.9,-99.9,85.0,0.0,4.0,-99.9,-99.9,31.0,22.7,10.8,-99.9,8.7
2023-02-07,-99.9,9.0,-99.9,-99.9,79.0,0.0,3.0,-99.9,-99.9,34.0,24.7,12.0,-99.9,5.3
2023-02-08,-99.9,9.0,-99.9,-99.9,81.0,0.0,5.0,-99.9,-99.9,33.0,25.0,15.0,-99.9,9.3
2023-02-09,-99.9,9.0,-99.9,-99.9,83.0,0.0,5.0,-99.9,-99.9,33.6,24.9,14.8,-99.9,6.0
2023-02-10,-99.9,360.0,-99.9,-99.9,82.0,0.0,5.0,-99.9,-99.9,32.6,24.1,13.8,-99.9,4.0
2023-02-11,-99.9,180.0,-99.9,-99.9,80.0,0.0,5.0,-99.9,-99.9,35.0,24.3,13.2,-99.9,6.0
2023-02-12,-99.9,9.0,-99.9,-99.9,70.0,0.0,5.0,-99.9,-99.9,34.0,26.8,18.0,-99.9,8.7
2023-02-13,-99.9,90.0,-99.9,-99.9,74.0,0.0,5.0,-99.9,-99.9,32.4,24.9,13.6,-99.9,7.3
2023-02-14,-99.9,9.0,-99.9,-99.9,80.0,0.0,6.0,-99.9,-99.9,31.0,24.5,15.0,-99.9,9.3
2023-02-15,-99.9,9.0,-99.9,-99.9,82.0,0.0,5.0,-99.9,-99.9,31.8,24.4,15.4,-99.9,8.0
2023-02-16,-99.9,90.0,-99.9,-99.9,78.0,0.0,6.0,-99.9,-99.9,31.6,25.1,15.6,-99.9,6.7
2023-02-17,-99.9,9.0,-99.9,-99.9,79.0,0.0,8.0,-99.9,-99.9,34.0,26.2,15.8,-99.9,5.3
2023-02-18,-99.9,9.0,-99.9,-99.9,76.0,0.0,5.0,-99.9,-99.9,32.2,25.4,18.0,-99.9,19.3
2023-02-19,-99.9,90.0,-99.9,-99.9,77.0,0.0,6.0,-99.9,-99.9,29.6,25.3,18.4,-99.9,10.7
2023-02-20,-99.9,180.0,-99.9,-99.9,72.0,0.0,5.0,-99.9,-99.9,32.0,25.2,14.8,-99.9,9.3
2023-02-21,-99.9,9.0,-99.9,-99.9,76.0,0.0,7.0,-99.9,-99.9,33.0,25.9,14.2,-99.9,4.0
2023-02-22,-99.9,9.0,-99.9,-99.9,85.0,0.0,8.0,-99.9,-99.9,31.0,25.2,18.0,-99.9,6.7
2023-02-23,-99.9,9.0,-99.9,-99.9,84.0,0.0,5.0,-99.9,-99.9,30.8,23.5,14.4,-99.9,8.0
2023-02-24,-99.9,90.0,-99.9,-99.9,84.0,0.0,0.0,-99.9,-99.9,32.4,23.4,13.6,-99.9,6.0
2023-02-25,-99.9,9.0,-99.9,-99.9,82.0,0.0,2.0,-99.9,-99.9,34.0,25.5,14.0,-99.9,8.7
2023-02-26,-99.9,9.0,-99.9,-99.9,77.0,0.0,2.0,-99.9,-99.9,33.2,25.3,13.8,-99.9,7.3
2023-02-27,-99.9,90.0,-99.9,-99.9,84.0,0.0,5.0,-99.9,-99.9,32.0,24.2,14.0,-99.9,7.3
2023-02-28,-99.9,9.0,-99.9,-99.9,80.0,0.0,5.0,-99.9,-99.9,32.0,25.0,15.0,-99.9,12.0
2023-03-01,-99.9,9.0,-99.9,-99.9,80.0,0.0,7.0,-99.9,-99.9,31.6,25.3,16.6,-99.9,12.0
2023-03-02,-99.9,9.0,-99.9,-99.9,79.0,0.0,7.0,-99.9,-99.9,32.6,26.2,17.8,-99.9,7.3
2023-03-03,-99.9,9.0,-99.9,-99.9,80.0,0.0,4.0,-99.9,-99.9,32.6,25.1,14.8,-99.9,6.7
2023-03-04,-99.9,9.0,-99.9,-99.9,81.0,0.0,5.0,-99.9,-99.9,32.4,25.5,16.0,-99.9,7.3
2023-03-05,-99.9,9.0,-99.9,-99.9,84.0,0.0,3.0,-99.9,-99.9,34.8,24.7,15.8,-99.9,7.3
2023-03-06,-99.9,9.0,-99.9,-99.9,82.0,0.0,7.0,-99.9,-99.9,34.0,26.1,16.8,-99.9,4.0
2023-03-07,-99.9,90.0,-99.9,-99.9,81.0,0.0,8.0,-99.9,-99.9,32.4,25.4,15.6,-99.9,5.3
2023-03-08,,,,,,0.0,,,,32.0,25.0,15.2,,
2023-03-09,,,,,,0.0,,,,32.0,24.2,16.2,,
2023-03-10,,,,,,,,,,,,15.8,,
