FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,9.0,-99.9,-99.9,79.0,0.0,3.3,-99.9,-99.9,33.0,27.2,19.0,-99.9,10.3
2023-02-02,-99.9,270.0,-99.9,-99.9,68.0,0.0,3.3,-99.9,-99.9,33.5,27.1,18.0,-99.9,10.7
2023-02-03,-99.9,315.0,-99.9,-99.9,80.0,0.0,6.0,-99.9,-99.9,32.5,26.3,19.0,-99.9,7.3
2023-02-04,-99.9,315.0,-99.9,-99.9,78.0,0.0,5.3,-99.9,-99.9,32.5,26.8,18.5,-99.9,8.7
2023-02-05,-99.9,360.0,-99.9,-99.9,54.0,0.0,6.0,-99.9,-99.9,32.5,26.9,19.0,-99.9,16.2
2023-02-06,-99.9,315.0,-99.9,-99.9,71.0,0.0,4.7,-99.9,-99.9,33.0,26.1,17.5,-99.9,9.0
2023-02-07,-99.9,315.0,-99.9,-99.9,73.0,0.0,2.7,-99.9,-99.9,33.0,26.3,18.0,-99.9,10.3
2023-02-08,-99.9,9.0,-99.9,-99.9,73.0,0.0,4.7,-99.9,-99.9,32.0,27.3,19.0,-99.9,10.3
2023-02-09,-99.9,9.0,-99.9,-99.9,77.0,0.0,7.3,-99.9,-99.9,32.5,27.4,20.5,-99.9,11.0
2023-02-10,-99.9,360.0,-99.9,-99.9,75.0,0.0,6.0,-99.9,-99.9,32.0,27.4,20.0,-99.9,7.0
2023-02-11,-99.9,225.0,-99.9,-99.9,71.0,0.0,5.3,-99.9,-99.9,32.5,27.4,19.5,-99.9,8.7
2023-02-12,-99.9,270.0,-99.9,-99.9,72.0,0.0,4.0,-99.9,-99.9,32.0,27.4,19.5,-99.9,11.0
2023-02-13,-99.9,270.0,-99.9,-99.9,81.0,0.0,2.7,-99.9,-99.9,32.5,26.7,19.0,-99.9,8.7
2023-02-14,-99.9,270.0,-99.9,-99.9,75.0,0.0,5.3,-99.9,-99.9,32.0,26.9,20.0,-99.9,11.0
2023-02-15,-99.9,360.0,-99.9,-99.9,75.0,0.0,6.0,-99.9,-99.9,32.0,27.4,20.0,,7.0
2023-02-16,-99.9,225.0,-99.9,-99.9,75.0,0.0,-99.9,-99.9,-99.9,32.0,26.3,19.5,-99.9,10.3
2023-02-17,-99.9,180.0,-99.9,-99.9,76.0,,8.0,-99.9,-99.9,32.0,27.1,20.5,-99.9,7.0
2023-02-18,-99.9,9.0,-99.9,-99.9,75.0,0.0,2.7,-99.9,-99.9,33.0,27.9,20.0,-99.9,9.7
2023-02-19,-99.9,225.0,-99.9,-99.9,76.0,0.0,3.3,-99.9,-99.9,33.0,27.9,20.5,-99.9,9.7
2023-02-20,-99.9,9.0,-99.9,-99.9,80.0,0.0,4.7,-99.9,-99.9,33.5,26.7,18.5,-99.9,11.0
2023-02-21,-99.9,225.0,-99.9,-99.9,84.0,0.0,6.7,-99.9,-99.9,33.0,28.1,19.0,-99.9,40.0
2023-02-22,-99.9,180.0,-99.9,-99.9,89.0,4.2,8.0,-99.9,-99.9,32.0,26.5,20.5,-99.9,11.7
2023-02-23,-99.9,360.0,-99.9,-99.9,82.0,1.6,8.0,-99.9,-99.9,32.5,26.5,21.0,-99.9,10.0
2023-02-24,-99.9,180.0,-99.9,-99.9,71.0,0.0,4.0,-99.9,-99.9,32.0,26.9,18.0,-99.9,10.3
2023-02-25,-99.9,180.0,-99.9,-99.9,76.0,0.0,4.7,-99.9,-99.9,32.0,26.9,18.5,-99.9,11.0
2023-02-26,-99.9,180.0,-99.9,-99.9,70.0,0.0,5.3,-99.9,-99.9,32.0,27.0,19.5,-99.9,9.7
2023-02-27,-99.9,9.0,-99.9,-99.9,71.0,0.0,2.7,-99.9,-99.9,32.5,27.5,19.5,,8.0
2023-02-28,-99.9,180.0,-99.9,-99.9,76.0,0.0,5.3,-99.9,-99.9,32.0,26.7,19.0,-99.9,9.7
2023-03-01,-99.9,9.0,-99.9,-99.9,72.0,0.0,6.0,-99.9,-99.9,32.0,27.1,20.0,-99.9,9.3
2023-03-02,-99.9,9.0,-99.9,-99.9,76.0,0.0,6.7,-99.9,-99.9,32.5,27.2,19.0,-99.9,11.7
2023-03-03,-99.9,9.0,-99.9,-99.9,75.0,0.0,6.0,-99.9,-99.9,32.0,27.4,19.0,-99.9,10.3
2023-03-04,-99.9,180.0,-99.9,-99.9,84.0,0.0,5.3,-99.9,-99.9,33.0,27.9,20.5,-99.9,8.7
2023-03-05,,,,,,,,,,,,20.0,,
