FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,8.7,0,,5.5,69,0,0,-99.9,,34,27.9,18.4,-99.9,1.3
2023-02-02,8.7,0,-99.9,5.5,69,0,0,-99.9,-99.9,35,29.5,22.4,-99.9,1.3
2023-02-03,8.6,0,,8,32,0,0,-99.9,,35.8,31.4,21.2,-99.9,3.3
2023-02-04,8.1,0,-99.9,10,49,0,0,-99.9,-99.9,36,31.2,23.2,-99.9,3.3
2023-02-05,8.7,45,-99.9,13.5,64,0,0,-99.9,,36.6,30.4,23.8,-99.9,2.7
2023-02-06,8.8,45,-99.9,9.5,69,0,0,-99.9,-99.9,36,30.4,23.6,-99.9,5.3
2023-02-07,8.7,9,-99.9,-99.9,65,0,0,-99.9,-99.9,35.2,30.2,22,-99.9,13.6
2023-02-08,8.7,0,,7.3,65,0,0,-99.9,,34.6,28.2,18,,2.5
2023-02-09,8.6,0,-99.9,4.4,70,0,0,-99.9,-99.9,34,28.2,19.2,-99.9,3.7
2023-02-10,8.6,0,-99.9,5.5,68,0,0,#¡DIV/0!,-99.9,34,28,19.4,,3.7
2023-02-11,8.7,9,-99.9,6.5,72,0,0,-99.9,-99.9,37,29.2,22.8,,6.1
2023-02-12,8.8,270,-99.9,-99.9,72,0,4,-99.9,-99.9,32,27.4,19.5,-99.9,11
2023-02-13,8.8,45,-99.9,12.7,60,0,0,-99.9,-99.9,37,30.9,23.4,-99.9,16
2023-02-14,8.8,0,-99.9,10,71,0,0,-99.9,-99.9,34.4,28.9,20,,0
2023-02-15,8.6,0,-99.9,4,65,0,2,-99.9,-99.9,34.2,27.7,18.2,,1.3
2023-02-16,8.8,0,-99.9,7,60,0,0,-99.9,-99.9,37,28.3,18.4,-99.9,1.3
2023-02-17,8.8,0,-99.9,5,63,0,1.3,-99.9,-99.9,35.8,28.7,19.2,-99.9,1.3
2023-02-18,8.8,45,-99.9,7.5,-99.9,0,0,-99.9,-99.9,35.6,32.2,21.6,-99.9,6
2023-02-19,8.8,45,-99.9,12.5,42,0,0,-99.9,-99.9,36,31.9,25.2,-99.9,11.3
2023-02-20,8.8,45,,-99.9,57,0,0,-99.9,,36.6,31.8,24.6,,8
2023-02-21,7.4,45,-99.9,4.6,50,0,6,-99.9,-99.9,34.3,27.6,20,-99.9,8.9
2023-02-22,6,0,-99.9,8,79,0,1.7,-99.9,-99.9,34.8,28.7,23,-99.9,24.7
2023-02-23,8.1,0,-99.9,6.3,60,0,0,-99.9,-99.9,33.6,27.9,20.6,-99.9,3.7
2023-02-24,8,0,-99.9,5.7,64,0,0,-99.9,-99.9,33.8,28,20.6,-99.9,2.5
2023-02-25,8.1,9,-99.9,-99.9,58,0,0,-99.9,-99,34,30,21.6,-99.9,4.9
2023-02-26,7.4,0,-99.9,6.8,50,0,0,-99.9,-99.9,34.4,25.7,22,-99.9,3.7
2023-02-27,7.3,0,-99.9,6.2,74,0,0,-99.9,-99.9,33.6,28.9,21,,3.7
2023-02-28,6.7,0,-99.9,5,74,0,0.3,-99.9,-99.9,35,28.5,20.6,-99.9,1.3
2023-03-01,7.3,0,-99.9,7.4,67,0,0,-99.9,-99.9,34.6,28.9,21.4,-99.9,1.3
2023-03-02,7.4,0,-99.9,5,-99.9,0,1.7,-99.9,-99.9,35,28.9,21.6,-99.9,1.3
2023-03-03,7.6,0,-99.9,5.5,69,0,0,-99.9,-99.9,34,28.4,21,-99.9,1.3
2023-03-04,7.6,0,-99.9,6,-99.9,0,0,-99.9,-99.9,35.2,28.4,20.4,-99.9,1.3
2023-03-05,,,,,,,,,,,,22.4,,
