FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,315.0,2.0,-99.9,87.0,0.0,1.3,-99.9,-99.9,22.0,14.1,6.4,-99.9,5.0
2023-02-02,-99.9,9.0,1.7,-99.9,80.0,0.0,3.0,-99.9,-99.9,23.8,14.7,5.0,-99.9,3.0
2023-02-03,-99.9,0.0,-99.9,-99.9,99.0,24.9,7.0,-99.9,-99.9,12.8,11.7,8.2,-99.9,0.7
2023-02-04,-99.9,9.0,-99.9,-99.9,99.0,5.8,8.0,-99.9,-99.9,14.8,12.5,10.6,-99.9,1.3
2023-02-05,-99.9,360.0,-99.9,-99.9,88.0,0.5,6.0,-99.9,-99.9,19.8,14.9,11.4,-99.9,3.0
2023-02-06,-99.9,360.0,-99.9,-99.9,85.0,0.0,5.0,-99.9,-99.9,19.6,13.1,7.8,-99.9,1.3
2023-02-07,-99.9,170.0,-99.9,-99.9,86.0,0.0,3.0,-99.9,-99.9,23.4,13.0,4.8,-99.9,6.7
2023-02-08,-99.9,360.0,-99.9,-99.9,85.0,0.0,5.0,-99.9,-99.9,23.2,15.6,7.4,-99.9,6.7
2023-02-09,-99.9,360.0,-99.9,-99.9,79.0,0.0,3.0,-99.9,-99.9,23.0,15.2,6.4,-99.9,3.0
2023-02-10,-99.9,360.0,-99.9,-99.9,84.0,0.0,5.0,-99.9,-99.9,21.8,14.7,7.2,-99.9,1.3
2023-02-11,-99.9,9.0,-99.9,-99.9,82.0,8.7,4.0,-99.9,-99.9,21.0,15.3,10.4,-99.9,11.3
2023-02-12,-99.9,360.0,-99.9,-99.9,89.0,0.0,7.0,-99.9,-99.9,20.4,13.7,9.4,-99.9,4.7
2023-02-13,-99.9,0.0,-99.9,-99.9,86.0,0.0,6.0,-99.9,-99.9,22.4,15.5,10.2,-99.9,2.3
2023-02-14,-99.9,0.0,-99.9,-99.9,83.0,0.0,6.0,-99.9,-99.9,26.8,15.7,6.0,-99.9,2.3
2023-02-15,-99.9,360.0,-99.9,-99.9,82.0,0.0,0.0,-99.9,-99.9,27.4,17.0,5.4,-99.9,3.0
2023-02-16,-99.9,0.0,-99.9,-99.9,74.0,0.0,0.0,-99.9,-99.9,29.6,16.9,3.2,-99.9,2.3
2023-02-17,-99.9,360.0,-99.9,-99.9,84.0,3.8,5.0,-99.9,-99.9,21.0,13.7,3.8,-99.9,7.7
2023-02-18,-99.9,0.0,-99.9,-99.9,93.0,6.4,7.0,-99.9,-99.9,14.0,12.2,10.8,-99.9,2.3
2023-02-19,-99.9,0.0,-99.9,-99.9,94.0,1.5,8.0,-99.9,-99.9,14.8,12.1,10.4,-99.9,0.7
2023-02-20,-99.9,360.0,-99.9,-99.9,87.0,0.0,5.0,-99.9,-99.9,20.0,14.7,9.2,-99.9,5.0
2023-02-21,-99.9,0.0,-99.9,-99.9,83.0,0.0,2.0,-99.9,-99.9,25.6,16.0,5.2,-99.9,0.7
2023-02-22,-99.9,9.0,-99.9,-99.9,76.0,0.0,3.0,-99.9,-99.9,26.4,19.3,10.4,-99.9,1.3
2023-02-23,-99.9,360.0,-99.9,-99.9,84.0,0.0,1.0,-99.9,-99.9,25.2,16.7,8.0,-99.9,3.0
2023-02-24,-99.9,360.0,-99.9,-99.9,87.0,0.0,1.0,-99.9,-99.9,24.8,16.1,7.0,-99.9,5.0
2023-02-25,-99.9,360.0,-99.9,-99.9,82.0,0.0,3.0,-99.9,-99.9,24.4,16.1,7.4,-99.9,6.7
2023-02-26,-99.9,360.0,-99.9,-99.9,84.0,0.0,3.0,-99.9,-99.9,24.0,15.5,6.0,-99.9,6.7
2023-02-27,-99.9,9.0,-99.9,-99.9,80.0,0.0,3.0,-99.9,-99.9,26.8,17.0,6.0,-99.9,4.7
2023-02-28,-99.9,0.0,-99.9,-99.9,79.0,0.0,0.0,-99.9,-99.9,27.4,17.1,5.2,-99.9,2.3
2023-03-01,-99.9,360.0,3.4,-99.9,72.0,0.0,0.0,-99.9,-99.9,28.6,17.9,4.2,-99.9,5.0
2023-03-02,-99.9,0.0,-99.9,-99.9,77.0,0.0,0.0,-99.9,-99.9,28.2,18.4,9.4,-99.9,4.3
2023-03-03,-99.9,0.0,-99.9,-99.9,66.0,0.0,0.0,-99.9,-99.9,31.0,20.6,11.2,-99.9,2.3
2023-03-04,-99.9,0.0,-99.9,-99.9,78.0,0.0,3.0,-99.9,-99.9,26.8,18.1,9.2,-99.9,4.3
2023-03-05,-99.9,360.0,2.2,-99.9,79.0,0.0,3.0,-99.9,-99.9,25.0,17.2,9.0,-99.9,6.7
2023-03-06,0.0,360.0,0.0,-99.9,67.0,0.0,5.0,-99.9,-99.9,26.2,17.5,9.0,-99.9,3.0
2023-03-07,-99.9,0.0,3.1,-99.9,80.0,0.0,8.0,-99.9,-99.9,26.2,15.7,7.0,-99.9,0.7
2023-03-08,-99.9,360.0,2.0,-99.9,76.0,0.0,5.0,-99.9,-99.9,25.6,17.5,9.4,-99.9,5.0
2023-03-09,-99.9,360.0,2.6,-99.9,81.0,0.0,5.0,-99.9,-99.9,23.8,16.1,8.4,-99.9,3.0
2023-03-10,,,,,,,,,,,,7.1,,
