FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-02,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-03,-99.9,-99.9,-99.9,-99.9,-99.9,,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-04,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-05,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-06,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-07,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-08,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-09,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-10,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-11,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-12,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-13,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-14,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-15,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-16,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-17,-99.9,-99.9,-99.9,-99.9,-99.9,0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-02-18,,,,,,0,,,,,,,,
2023-02-19,,,,,,0,,,,,,,,
2023-02-20,,,,,,0,,,,,,,,
2023-02-21,,,,,,0,,,,,,,,
2023-02-22,,,,,,0,,,, ,,,,
2023-02-23,,,,,,0,,,,,,,,
2023-02-24,,,,,,0,,,,,,,,
2023-02-25,,,,,,0,,,,,,,,
2023-02-26,,,,,,0,,,,,,,,
2023-02-27,,,,,,0,,,,,,,,
2023-02-28,,,,,,,,,,,,,,
2023-03-01,,,,,,0,,,,,,,,
2023-03-02,,,,,,0,,,,,,,,
2023-03-03,,,,,,0,,,,,,,,
2023-03-04,,,,,,0,,,,,,,,
2023-03-05,,,,,,0,,,,,,,,
2023-03-06,,,,,,0,,,,,,,,
2023-03-07,,,,,,0,,,,,,,,
2023-03-08,,,,,,0,,,,,,,,
2023-03-09,,,,,,0,,,,,,,,
2023-03-10,,,,,,,,,,,,,,
