FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,180.0,-99.9,-99.9,93.0,0.8,6.0,-99.9,-99.9,32.8,27.2,20.6,-99.9,9.0
2023-02-02,-99.9,180.0,-99.9,-99.9,88.0,2.6,5.0,-99.9,-99.9,34.0,28.1,21.6,-99.9,6.7
2023-02-03,-99.9,180.0,-99.9,-99.9,94.0,1.8,7.0,-99.9,-99.9,30.8,25.9,19.8,-99.9,9.0
2023-02-04,-99.9,180.0,-99.9,-99.9,94.0,3.2,8.0,-99.9,-99.9,29.6,24.9,18.2,-99.9,9.0
2023-02-05,-99.9,0.0,-99.9,-99.9,90.0,0.0,8.0,-99.9,-99.9,30.6,25.5,18.6,-99.9,2.3
2023-02-06,-99.9,180.0,-99.9,-99.9,91.0,0.0,8.0,-99.9,-99.9,30.2,25.5,19.8,,4.7
2023-02-07,-99.9,180.0,-99.9,-99.9,91.0,0.0,5.0,-99.9,-99.9,32.8,26.8,19.6,-99.9,6.7
2023-02-08,-99.9,180.0,-99.9,-99.9,90.0,0.0,5.0,-99.9,-99.9,33.6,27.8,20.6,-99.9,9.0
2023-02-09,-99.9,0.0,-99.9,-99.9,92.0,0.0,6.0,-99.9,-99.9,34.2,27.9,20.4,-99.9,2.3
2023-02-10,-99.9,180.0,-99.9,-99.9,93.0,0.0,7.0,-99.9,-99.9,33.4,27.3,20.2,-99.9,9.0
2023-02-11,-99.9,180.0,-99.9,-99.9,92.0,0.8,7.0,-99.9,-99.9,30.8,26.5,21.2,-99.9,9.0
2023-02-12,-99.9,9.0,-99.9,-99.9,92.0,0.0,6.0,-99.9,-99.9,32.8,26.8,19.8,-99.9,14.0
2023-02-13,-99.9,180.0,-99.9,-99.9,91.0,0.0,7.0,-99.9,-99.9,31.8,25.9,18.8,-99.9,7.0
2023-02-14,-99.9,0.0,-99.9,-99.9,88.0,0.0,6.0,-99.9,-99.9,34.2,27.7,19.2,-99.9,2.3
2023-02-15,-99.9,180.0,-99.9,-99.9,91.0,0.0,5.0,-99.9,-99.9,33.6,27.8,21.6,-99.9,7.0
2023-02-16,-99.9,0.0,-99.9,-99.9,91.0,0.0,6.0,-99.9,-99.9,34.6,27.9,19.6,-99.9,4.3
2023-02-17,-99.9,9.0,-99.9,-99.9,91.0,2.6,5.0,-99.9,-99.9,33.4,27.7,20.2,-99.9,9.0
2023-02-18,-99.9,180.0,-99.9,-99.9,90.0,0.0,8.0,-99.9,-99.9,29.6,25.1,19.4,-99.9,11.0
2023-02-19,-99.9,180.0,-99.9,-99.9,90.0,3.4,8.0,-99.9,-99.9,29.6,24.7,18.8,-99.9,9.0
2023-02-20,-99.9,180.0,-99.9,-99.9,92.0,0.0,8.0,-99.9,-99.9,28.8,23.8,17.4,-99.9,7.0
2023-02-21,-99.9,180.0,-99.9,-99.9,92.0,0.0,6.0,-99.9,-99.9,31.8,26.2,18.6,-99.9,7.0
2023-02-22,-99.9,180.0,-99.9,-99.9,93.0,0.0,6.0,-99.9,-99.9,33.4,27.7,21.2,-99.9,6.7
2023-02-23,-99.9,180.0,-99.9,-99.9,88.0,0.0,5.0,-99.9,-99.9,34.2,28.3,20.8,-99.9,6.7
2023-02-24,-99.9,180.0,-99.9,-99.9,90.0,0.0,5.0,-99.9,-99.9,34.8,28.0,19.4,-99.9,8.7
2023-02-25,-99.9,180.0,-99.9,-99.9,92.0,0.0,8.0,-99.9,-99.9,28.8,23.8,17.4,-99.9,7.0
2023-02-26,-99.9,180.0,-99.9,-99.9,89.0,0.0,5.0,-99.9,-99.9,33.8,28.1,21.8,-99.9,6.7
2023-02-27,-99.9,180.0,-99.9,-99.9,91.0,0.0,5.0,-99.9,-99.9,34.2,27.8,20.6,-99.9,9.0
2023-02-28,-99.9,0.0,-99.9,-99.9,91.0,0.0,5.0,-99.9,-99.9,34.8,28.7,21.4,-99.9,2.3
2023-03-01,-99.9,180.0,-99.9,-99.9,94.0,0.0,5.0,-99.9,-99.9,35.4,29.4,22.4,-99.9,4.7
2023-03-02,-99.9,0.0,-99.9,-99.9,91.0,0.0,5.0,-99.9,-99.9,35.6,29.3,22.8,-99.9,4.3
2023-03-03,-99.9,180.0,-99.9,-99.9,91.0,0.0,5.0,-99.9,-99.9,35.2,28.2,21.4,-99.9,4.7
2023-03-04,-99.9,0.0,-99.9,-99.9,90.0,0.0,6.0,-99.9,-99.9,35.6,28.1,20.2,-99.9,4.3
2023-03-05,,,,,,,,,,,,22.8,,
