FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,9.0,3.5,-99.9,66.0,0.0,2.0,-99.9,-99.9,32.8,26.9,18.8,-99.9,10.7
2023-02-02,-99.9,45.0,-99.9,-99.9,66.0,0.0,1.0,-99.9,-99.9,33.2,26.9,19.2,-99.9,4.3
2023-02-03,-99.9,360.0,4.0,-99.9,75.0,0.0,6.0,-99.9,-99.9,28.4,23.5,19.6,-99.9,2.3
2023-02-04,-99.9,45.0,3.0,-99.9,78.0,0.0,7.0,-99.9,-99.9,27.6,23.6,18.4,-99.9,2.7
2023-02-05,-99.9,90.0,2.0,-99.9,77.0,0.0,7.0,-99.9,-99.9,27.6,23.7,17.6,-99.9,4.3
2023-02-06,-99.9,9.0,2.5,-99.9,69.0,0.0,5.0,-99.9,-99.9,29.6,24.6,16.8,-99.9,5.7
2023-02-07,-99.9,90.0,2.5,-99.9,73.0,0.0,0.0,-99.9,-99.9,33.0,25.9,16.4,-99.9,4.0
2023-02-08,-99.9,90.0,-99.9,-99.9,68.0,0.0,0.0,-99.9,-99.9,34.0,27.6,16.8,-99.9,5.0
2023-02-09,-99.9,315.0,3.4,-99.9,61.0,0.0,3.0,-99.9,-99.9,33.8,27.4,18.4,-99.9,8.7
2023-02-10,-99.9,90.0,4.0,-99.9,72.0,0.0,2.0,-99.9,-99.9,31.8,25.9,18.2,-99.9,4.3
2023-02-11,-99.9,90.0,3.0,-99.9,68.0,0.0,7.0,-99.9,-99.9,33.0,26.9,17.8,-99.9,3.3
2023-02-12,-99.9,90.0,3.5,-99.9,73.0,0.0,3.0,-99.9,-99.9,31.4,25.3,17.8,-99.9,3.7
2023-02-13,-99.9,45.0,3.0,-99.9,75.0,0.0,4.0,-99.9,-99.9,32.8,23.7,17.4,-99.9,3.0
2023-02-14,-99.9,90.0,2.5,-99.9,66.0,0.0,1.0,-99.9,-99.9,34.8,27.1,18.2,-99.9,3.7
2023-02-15,-99.9,90.0,3.0,-99.9,66.0,0.0,2.0,-99.9,-99.9,34.8,27.8,18.4,-99.9,3.7
2023-02-16,-99.9,0.0,3.5,-99.9,72.0,0.0,0.0,-99.9,-99.9,34.6,28.2,18.2,-99.9,1.3
2023-02-17,-99.9,90.0,4.0,-99.9,67.0,0.0,4.0,-99.9,-99.9,35.0,28.6,19.0,-99.9,3.3
2023-02-18,-99.9,90.0,-99.9,-99.9,60.0,0.0,4.5,-99.9,-99.9,30.8,26.4,20.0,-99.9,7.7
2023-02-19,-99.9,360.0,-99.9,-99.9,79.0,0.0,8.0,-99.9,-99.9,28.8,23.7,18.4,-99.9,2.7
2023-02-20,-99.9,45.0,2.0,-99.9,79.0,0.0,4.0,-99.9,-99.9,29.6,24.3,17.2,-99.9,3.0
2023-02-21,-99.9,90.0,3.0,-99.9,69.0,0.0,4.0,-99.9,-99.9,33.2,26.9,18.2,-99.9,3.7
2023-02-22,-99.9,45.0,3.5,-99.9,67.0,0.0,2.0,-99.9,-99.9,36.4,29.1,19.6,-99.9,2.3
2023-02-23,-99.9,315.0,-99.9,-99.9,64.0,0.0,2.0,-99.9,-99.9,34.6,28.3,19.6,-99.9,9.0
2023-02-24,-99.9,9.0,4.5,-99.9,67.0,0.0,3.0,-99.9,-99.9,34.4,27.3,19.6,-99.9,6.0
2023-02-25,-99.9,90.0,4.0,-99.9,69.0,0.0,2.0,-99.9,-99.9,33.4,26.3,18.8,-99.9,4.0
2023-02-26,-99.9,90.0,4.0,-99.9,65.0,0.0,2.0,-99.9,-99.9,33.6,27.7,22.4,-99.9,5.7
2023-02-27,-99.9,9.0,4.5,-99.9,64.0,0.0,0.0,-99.9,-99.9,36.0,27.7,18.4,-99.9,5.3
2023-02-28,-99.9,90.0,4.0,-99.9,64.0,0.0,2.0,-99.9,-99.9,36.2,29.3,19.4,-99.9,4.0
2023-03-01,-99.9,0.0,4.5,-99.9,62.0,0.0,0.0,-99.9,-99.9,36.4,29.5,20.4,-99.9,1.7
2023-03-02,-99.9,0.0,-99.9,-99.9,56.0,0.0,2.0,-99.9,-99.9,38.0,30.6,21.0,-99.9,0.7
2023-03-03,-99.9,0.0,4.5,-99.9,58.0,0.0,0.0,-99.9,-99.9,37.8,30.4,19.2,-99.9,0.7
2023-03-04,-99.9,90.0,4.5,-99.9,61.0,0.0,2.0,-99.9,-99.9,36.6,29.9,20.4,-99.9,3.3
2023-03-05,,,,,,,,,,,,21.0,,
