FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,90.0,-99.9,-99.9,81.0,0.0,1.0,-99.9,-99.9,27.6,24.6,20.0,-99.9,19.7
2023-02-02,-99.9,90.0,-99.9,-99.9,81.0,0.0,0.0,-99.9,-99.9,28.8,24.3,18.6,-99.9,12.3
2023-02-03,-99.9,90.0,-99.9,-99.9,93.0,5.1,5.0,-99.9,-99.9,26.0,20.6,16.4,-99.9,8.6
2023-02-04,-99.9,360.0,-99.9,-99.9,93.0,16.2,3.0,-99.9,-99.9,23.0,20.5,18.5,-99.9,8.6
2023-02-05,-99.9,360.0,-99.9,-99.9,90.0,28.2,7.0,-99.9,-99.9,25.4,22.0,18.4,-99.9,8.6
2023-02-06,-99.9,90.0,-99.9,-99.9,93.0,3.6,7.0,-99.9,-99.9,23.0,21.1,18.0,-99.9,2.7
2023-02-07,-99.9,90.0,-99.9,-99.9,84.0,0.0,5.0,-99.9,-99.9,27.2,21.9,17.0,-99.9,6.3
2023-02-08,-99.9,90.0,-99.9,-99.9,74.0,0.0,4.0,-99.9,-99.9,28.4,25.5,21.0,-99.9,6.2
2023-02-09,-99.9,90.0,-99.9,-99.9,76.0,6.3,3.0,-99.9,-99.9,29.6,24.1,18.0,-99.9,4.9
2023-02-10,-99.9,90.0,-99.9,-99.9,82.0,7.5,4.0,-99.9,-99.9,27.4,21.9,19.5,-99.9,8.6
2023-02-11,-99.9,90.0,-99.9,-99.9,84.0,33.2,5.0,-99.9,-99.9,25.6,21.1,16.5,-99.9,4.9
2023-02-12,-99.9,90.0,-99.9,-99.9,90.0,1.2,7.0,-99.9,-99.9,20.4,16.3,15.0,-99.9,4.9
2023-02-13,-99.9,360.0,-99.9,-99.9,94.0,0.6,8.0,-99.9,-99.9,19.6,17.6,15.0,-99.9,9.9
2023-02-14,-99.9,90.0,-99.9,-99.9,84.0,0.0,6.0,-99.9,-99.9,27.8,23.3,16.6,-99.9,11.1
2023-02-15,-99.9,90.0,-99.9,-99.9,80.0,0.0,1.0,-99.9,-99.9,28.8,25.5,21.0,-99.9,19.4
2023-02-16,-99.9,90.0,-99.9,-99.9,79.0,0.0,1.0,-99.9,-99.9,29.0,25.8,20.6,-99.9,13.6
2023-02-17,-99.9,9.0,-99.9,-99.9,79.0,0.0,4.0,-99.9,-99.9,28.6,24.9,19.0,-99.9,14.8
2023-02-18,-99.9,90.0,-99.9,-99.9,84.0,0.0,2.0,-99.9,-99.9,29.6,23.2,17.0,-99.9,9.9
2023-02-19,-99.9,90.0,-99.9,-99.9,88.0,0.0,1.0,-99.9,-99.9,27.0,23.4,16.6,-99.9,9.9
2023-02-20,-99.9,90.0,-99.9,-99.9,94.0,0.0,7.0,-99.9,-99.9,28.8,20.01,17.2,-99.9,7.4
2023-02-21,-99.9,90.0,-99.9,-99.9,83.0,0.0,1.0,-99.9,-99.9,27.8,22.3,15.5,-99.9,4.9
2023-02-22,-99.9,90.0,-99.9,-99.9,70.0,0.0,0.0,-99.9,-99.9,30.0,26.7,16.8,-99.9,8.6
2023-02-23,-99.9,90.0,-99.9,-99.9,70.0,0.0,1.0,-99.9,-99.9,29.0,26.5,20.0,-99.9,7.4
2023-02-24,-99.9,90.0,-99.9,-99.9,72.0,0.0,2.0,-99.9,-99.9,28.8,25.2,21.0,-99.9,4.9
2023-02-25,-99.9,90.0,-99.9,-99.9,76.0,0.0,2.0,-99.9,-99.9,28.2,24.9,20.8,-99.9,7.4
2023-02-26,-99.9,90.0,-99.9,-99.9,72.0,0.2,1.0,-99.9,-99.9,28.4,25.1,18.0,-99.9,8.6
2023-02-27,-99.9,90.0,-99.9,-99.9,79.0,1.6,5.0,-99.9,-99.9,29.6,25.3,20.8,-99.9,10.4
2023-02-28,-99.9,180.0,-99.9,-99.9,80.0,0.0,2.0,-99.9,-99.9,30.6,26.6,20.0,-99.9,12.3
2023-03-01,-99.9,90.0,-99.9,-99.9,81.0,0.0,0.0,-99.9,-99.9,30.0,26.1,20.0,-99.9,11.1
2023-03-02,-99.9,90.0,-99.9,-99.9,77.0,0.0,1.0,-99.9,-99.9,31.6,27.1,19.6,-99.9,18.5
2023-03-03,-99.9,90.0,-99.9,-99.9,79.0,0.0,0.0,-99.9,-99.9,32.8,27.9,21.6,-99.9,21.3
2023-03-04,-99.9,360.0,-99.9,-99.9,86.0,0.0,0.0,-99.9,-99.9,29.6,24.2,17.4,-99.9,9.9
2023-03-05,-99.9,90.0,-99.9,-99.9,82.0,0.0,5.0,-99.9,-99.9,30.6,25.9,21.0,-99.9,7.4
2023-03-06,-99.9,90.0,-99.9,-99.9,71.0,0.0,7.0,-99.9,-99.9,29.6,24.7,21.0,-99.9,7.4
2023-03-07,-99.9,90.0,-99.9,-99.9,71.0,0.0,2.0,-99.9,-99.9,28.6,24.2,18.0,-99.9,7.4
2023-03-08,-99.9,90.0,-99.9,-99.9,84.0,0.0,7.0,-99.9,-99.9,25.8,22.0,18.5,-99.9,7.4
2023-03-09,-99.9,90.0,-99.9,-99.9,75.0,0.0,6.0,-99.9,-99.9,28.6,24.1,20.0,-99.9,4.9
2023-03-10,,,,,,,,,,,,20.5,,
