FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,45,-99.9,-99.9,83,0,5,-99.9,-99.9,22,16.3,13,-99.9,15.7
2023-02-02,-99.9,90,-99.9,-99.9,79,0,6,-99.9,-99.9,21.4,16.1,12.4,-99.9,11.7
2023-02-03,-99.9,225,-99.9,-99.9,92,0,7,-99.9,-99.9,20.2,13.7,8.4,-99.9,7
2023-02-04,-99.9,45,-99.9,-99.9,96,0.2,8,-99.9,-99.9,19.6,12.8,10.2,-99.9,10.3
2023-02-05,-99.9,90,-99.9,-99.9,91,0,7,-99.9,-99.9,18.6,13,10.2,-99.9,17
2023-02-06,-99.9,45,-99.9,-99.9,86,0,8,-99.9,-99.9,18.2,14.1,9.2,-99.9,11.7
2023-02-07,-99.9,9,-99.9,-99.9,78,0,5,-99.9,-99.9,24.2,16.2,8.4,-99.9,2.3
2023-02-08,-99.9,360,-99.9,-99.9,77,0,5,-99.9,-99.9,23.4,17,12,-99.9,3.7
2023-02-09,-99.9,90,-99.9,-99.9,77,0,5,-99.9,-99.9,23.6,14.7,6.4,-99.9,2.3
2023-02-10,-99.9,180,-99.9,-99.9,88,0,5,-99.9,-99.9,21.2,13.9,7.2,-99.9,3.7
2023-02-11,-99.9,360,-99.9,-99.9,83,0,5,-99.9,-99.9,22.4,14.4,5.4,-99.9,10.3
2023-02-12,-99.9,180,-99.9,-99.9,83,0,6,-99.9,-99.9,22,14.5,7.4,-99.9,2.3
2023-02-13,-99.9,45,-99.9,-99.9,82,0,6,-99.9,-99.9,20.4,15.5,13.2,-99.9,11.7
2023-02-14,-99.9,9,-99.9,-99.9,86,0.1,3,-99.9,-99.9,24.6,15.3,4.2,-99.9,2.3
2023-02-15,-99.9,45,-99.9,-99.9,86,0.1,4,-99.9,-99.9,25.4,16.5,6.2,-99.9,1
2023-02-16,-99.9,360,-99.9,-99.9,86,0.2,4,-99.9,-99.9,25,15.7,5.4,-99.9,2.3
2023-02-17,-99.9,360,-99.9,-99.9,79,0,5,-99.9,-99.9,24.2,16.1,7.2,-99.9,2.3
2023-02-18,-99.9,45,-99.9,-99.9,96,9.8,8,-99.9,-99.9,17.2,13.1,11.4,-99.9,21.7
2023-02-19,-99.9,360,-99.9,-99.9,95,4,8,-99.9,-99.9,16.6,13.3,10.2,-99.9,31.7
2023-02-20,-99.9,9,-99.9,-99.9,91,0,7,-99.9,-99.9,19.2,13.9,9.6,-99.9,3.7
2023-02-21,-99.9,90,-99.9,-99.9,76,0,5,-99.9,-99.9,23.6,18,11.4,-99.9,2.3
2023-02-22,-99.9,270,-99.9,-99.9,83,0,5,-99.9,-99.9,24.2,14.7,7.6,-99.9,3.7
2023-02-23,-99.9,90,-99.9,-99.9,72,0.1,4,-99.9,-99.9,26,16.1,6.4,-99.9,2.3
2023-02-24,-99.9,360,-99.9,-99.9,79,0,2,-99.9,-99.9,25.2,14.4,4.2,-99.9,2.3
2023-02-25,-99.9,360,-99.9,-99.9,78,0.1,4,-99.9,-99.9,25,17.2,9.2,-99.9,7
2023-02-26,-99.9,315,-99.9,-99.9,89,0,5,-99.9,-99.9,23.6,16.6,10.4,-99.9,2.3
2023-02-27,-99.9,180,-99.9,-99.9,81,0,4,-99.9,-99.9,26.2,17.7,6.6,-99.9,2.3
2023-02-28,-99.9,90,-99.9,-99.9,75,0,5,-99.9,-99.9,27.6,19.2,9.6,-99.9,2.3
2023-03-01,-99.9, ,-99.9,-99.9,72,0,5,-99.9,-99.9,27.6,19.3,7.6,-99.9,3.7
2023-03-02,-99.9,45,-99.9,-99.9,79,0,3,-99.9,-99.9,27.4,17.4,7.4,-99.9,2.3
2023-03-03,-99.9,90,-99.9,-99.9,75,0,1,-99.9,-99.9,25.2,19.7,8.6,-99.9,1
2023-03-04,-99.9,180,-99.9,-99.9,72,0,4,-99.9,-99.9,26.6,17.9,7.2,-99.9,5.7
2023-03-05,,,,,,,,,,,,10,,
