FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,8.6,90.0,-99.9,2.9,81.0,0.0,3.0,760.5,-99.9,30.6,26.1,22.4,-99.9,6.0
2023-02-02,10.0,0.0,-99.9,5.0,76.0,0.0,1.0,760.1,-99.9,30.6,25.7,21.0,-99.9,5.0
2023-02-03,8.4,270.0,-99.9,-99.9,84.0,21.0,3.0,761.9,-99.9,29.2,25.4,22.0,-99.9,10.7
2023-02-04,-99.9,270.0,-99.9,-99.9,88.0,12.7,6.0,762.3,-99.9,26.2,23.5,21.0,-99.9,8.7
2023-02-05,4.6,315.0,-99.9,-99.9,86.0,18.0,6.0,761.5,-99.9,27.4,24.1,21.2,-99.9,8.3
2023-02-06,5.8,315.0,-99.9,-99.9,85.0,2.2,6.0,760.7,-99.9,27.8,24.3,21.0,-99.9,9.7
2023-02-07,8.4,360.0,-99.9,3.2,87.0,0.0,5.0,759.0,-99.9,29.8,24.6,20.2,-99.9,6.0
2023-02-08,9.6,315.0,-99.9,3.4,83.0,0.2,4.0,758.2,-99.9,31.4,26.1,22.0,-99.9,8.3
2023-02-09,8.9,0.0,-99.9,2.9,86.0,0.0,4.0,758.5,-99.9,30.2,25.9,22.6,-99.9,6.0
2023-02-10,8.2,0.0,-99.9,4.0,81.0,8.3,5.0,758.6,-99.9,30.4,26.1,22.6,-99.9,5.0
2023-02-11,2.8,0.0,-99.9,2.3,90.0,51.2,6.0,759.6,-99.9,27.8,24.6,23.0,-99.9,0.0
2023-02-12,1.0,270.0,-99.9,-99.9,87.0,1.0,8.0,761.9,-99.9,22.4,-99.9,20.8,-99.9,9.7
2023-02-13,1.0,315.0,-99.9,2.0,81.0,0.0,8.0,761.0,-99.9,26.2,21.7,19.0,-99.9,6.0
2023-02-14,9.2,9.0,-99.9,2.1,84.0,0.0,2.0,758.3,-99.9,28.4,23.3,17.6,-99.9,8.7
2023-02-15,8.0,0.0,-99.9,2.9,80.0,0.0,1.0,758.1,-99.9,31.0,25.3,20.4,-99.9,6.0
2023-02-16,9.7,90.0,-99.9,4.8,73.0,6.0,0.0,762.2,-99.9,33.8,26.9,20.2,-99.9,7.3
2023-02-17,-99.9,0.0,-99.9,3.2,83.0,5.4,3.0,759.4,-99.9,30.6,26.3,22.0,-99.9,3.7
2023-02-18,6.8,9.0,-99.9,4.2,86.0,46.0,6.0,761.7,-99.9,30.2,24.9,22.2,-99.9,12.3
2023-02-19,-99.9,0.0,-99.9,-99.9,90.0,45.8,7.0,761.8,-99.9,28.4,24.2,21.0,-99.9,0.0
2023-02-20,5.2,315.0,-99.9,-99.9,-99.9,0.0,6.0,761.4,-99.9,27.2,23.9,21.4,-99.9,9.7
2023-02-21,9.6,360.0,-99.9,3.1,81.0,0.0,5.0,759.0,-99.9,30.4,25.3,20.6,-99.9,7.3
2023-02-22,10.0,360.0,-99.9,2.3,78.0,0.0,1.0,757.9,-99.9,32.0,26.3,20.8,-99.9,9.7
2023-02-23,9.8,9.0,-99.9,4.5,79.0,0.0,1.0,759.5,-99.9,31.8,26.3,21.6,-99.9,7.3
2023-02-24,9.2,45.0,-99.9,4.3,80.0,0.0,2.0,761.0,-99.9,31.2,26.3,20.6,-99.9,8.7
2023-02-25,9.0,45.0,-99.9,-99.9,79.0,2.6,4.0,761.0,-99.9,31.0,26.4,22.2,-99.9,11.0
2023-02-26,8.4,45.0,-99.9,0.7,77.0,0.0,3.0,759.8,-99.9,30.4,26.1,22.0,-99.9,9.7
2023-02-27,9.7,9.0,-99.9,4.6,82.0,0.0,2.0,757.4,-99.9,31.2,25.8,20.6,-99.9,8.7
2023-02-28,9.3,0.0,-99.9,5.3,80.0,0.0,2.0,757.2,-99.9,31.6,27.0,21.6,-99.9,5.0
2023-03-01,8.5,9.0,-99.9,7.6,-99.9,0.0,2.0,757.1,-99.9,31.8,26.9,21.8,-99.9,8.7
2023-03-02,9.4,9.0,-99.9,1.6,-99.9,0.0,0.0,754.3,-99.9,33.2,27.1,21.4,-99.9,8.3
2023-03-03,9.6,9.0,-99.9,4.6,77.0,0.0,0.0,751.9,-99.9,36.0,28.0,21.0,-99.9,8.7
2023-03-04,9.3,315.0,-99.9,2.0,79.0,0.0,0.0,755.6,-99.9,33.0,28.1,22.0,-99.9,9.7
2023-03-05,,,,,,,,,,,,22.0,,
