FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,180,-99.9,-99.9,-99.9,0,1.7,-99.9,-99.9,30.4,23.7,11.6,-99.9,4
2023-02-02,-99.9,225,-99.9,-99.9,-99.9,0,1,-99.9,-99.9,30.6,22.9,17.2,-99.9,4.7
2023-02-03,-99.9,225,-99.9,-99.9,-99.9,0,2.3,-99.9,-99.9,26.8,21.7,15.8,-99.9,7
2023-02-04,-99.9,225,-99.9,-99.9,-99.9,0,2,-99.9,-99.9,27.2,22.1,17.2,-99.9,9.3
2023-02-05,-99.9,180,-99.9,-99.9,-99.9,0,2,-99.9,-99.9,27.8,21.9,16.2,-99.9,4.7
2023-02-06,-99.9,225,-99.9,-99.9,-99.9,0,1.7,-99.9,-99.9,28,22.1,13.6,-99.9,9.9
2023-02-07,-99.9,9,-99.9,-99.9,-99.9,0,1,-99.9,-99.9,30.6,22.8,16.2,-99.9,4.7
2023-02-08,-99.9,9,-99.9,-99.9,-99.9,0,3,-99.9,-99.9,31,22.9,16.4,-99.9,4
2023-02-09,-99.9,225,-99.9,-99.9,-99.9,0,2.3,-99.9,-99.9,30.2,23.1,16,-99.9,3.3
2023-02-10,-99.9,180,-99.9,-99.9,-99.9,0,3,-99.9,-99.9,29.6,23.7,16.2,-99.9,4
2023-02-11,-99.9,225,-99.9,-99.9,-99.9,0,2.3,-99.9,-99.9,30,22.6,10,-99.9,6.7
2023-02-12,-99.9,225,-99.9,-99.9,-99.9,0,2.3,-99.9,-99.9,30,22.6,18.4,-99.9,11.7
2023-02-13,-99.9,225,-99.9,-99.9,-99.9,0,1.3,-99.9,-99.9,28.8,22.7,16.6,-99.9,5.7
2023-02-14,-99.9,360,-99.9,-99.9,-99.9,0,2,-99.9,-99.9,30,22.1,13.2,-99.9,3.7
2023-02-15,-99.9,360,-99.9,-99.9,-99.9,0,1.7,-99.9,-99.9,30,21.7,10.6,-99.9,8
2023-02-16,-99.9,9,-99.9,-99.9,-99.9,0,3.3,-99.9,-99.9,28.4,21.9,15.6,-99.9,3.3
2023-02-17,-99.9,225,-99.9,-99.9,-99.9,0,2.3,-99.9,-99.9,30,22.6,18.4,-99.9,11.7
2023-02-18,-99.9,-99.9,-99.9,-99.9,-99.9,0,2,-99.9,-99.9,28.2,15.1,14.2,-99.9,10
2023-02-19,-99.9,225,-99.9,-99.9,-99.9,0,3,-99.9,-99.9,26.2,22,18.6,-99.9,12
2023-02-20,-99.9,225,-99.9,-99.9,-99.9,0,2,-99.9,-99.9,28.2,23.1,18,-99.9,6
2023-02-21,-99.9,9,-99.9,-99.9,-99.9,0,6.3,-99.9,-99.9,31.2,23.1,16.2,-99.9,3.7
2023-02-22,-99.9,360,-99.9,-99.9,-99.9,0,5,-99.9,-99.9,29.2,22.9,17.8,-99.9,3.7
2023-02-23,-99.9,0,-99.9,-99.9,-99.9,0,2.3,-99.9,-99.9,30.6,22.4,15.6,-99.9,1
2023-02-24,-99.9,360,-99.9,-99.9,-99.9,0,0.3,-99.9,-99.9,31,22.4,14.8,-99.9,2
2023-02-25,-99.9,225,-99.9,-99.9,-99.9,0,0.7,-99.9,-99.9,31.4,21.3,17.6,-99.9,3
2023-02-26,-99.9,180,-99.9,-99.9,-99.9,0,1.7,-99.9,-99.9,29.6,23.2,16.8,-99.9,6.3
2023-02-27,-99.99,360,-99.99,-99.99,-99.9,0,2,-99.9,-99.99,30.2,21.7,13.8,-99.9,4.3
2023-02-28,-99.9,360,-99.9,-99.9,-99.9,0,2,-99.9,-99.9,30.6,22.5,15.6,-99.9,2.7
2023-03-01,-99.9,360,-99.9,-99.9,-99.9,0,5,-99.9,-99.9,29.6,22.9,16.6,-99.9,1.3
2023-03-02,-99.9,360,-99.9,-99.9,-99.9,0,3.7,-99.9,-99.9,30.2,22.8,16.4,-99.9,3.3
2023-03-03,-99.9,360,-99.9,-99.9,-99.9,0,2.7,-99.9,-99.9,28.2,21.6,14.8,-99.9,3.7
2023-03-04,-99.9,360,-99.9,-99.9,-99.9,0,2.7,-99.9,-99.9,31.8,23.1,15.6,-99.9,3
2023-03-05,,,,,,,,,,,,17.2,,
