FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,315,-99.9,6.3,77,0,2.7,-99.9,-99.9,32.6,26.3,17.2,-99.9,6.3
2023-02-02,0,9,,5,78,0,0.3,-99.9,,32.8,26.2,19.8,-99.9,11.7
2023-02-03,-99.9,9,-99.9,6.7,54,0,1,-99.9,-99.9,31.4,25.9,19.2,-99.9,-99.9
2023-02-04,-99.9,360,-99.9,8.1,68,0,1,-99.9,-99.9,32.4,26.7,22.8,-99.9,39.7
2023-02-05,-99.9,9,-99.9,6.4,80,0,2,-99.9,-99.9,32.6,26.2,21.5,-99.9,24.3
2023-02-06,-99.9,360,-99.9,7.8,78,0,1,-99.9,-99.9,33.4,26.5,20.6,-99.9,19.3
2023-02-07,-99.9,9,-99.9,6.8,74,0,0,-99.9,-99.9,33.2,25.9,20.5,-99.9,11.7
2023-02-08,-99.9,315,-99.9,4.4,73,0,2,-99.9,-99.9,32.6,24.9,17,-99.9,4.3
2023-02-09,,,,,,0,,,,32.8,,16,,
2023-02-10,-99.9,315,0,4.1,79,0,3.3,-99.9,-99.9,32,26.1,16.8,-99.9,7.3
2023-02-11,0,360,-99.9,5.7,53,0,1,-99.9,-99.9,34.4,27.7,18.4,-99.9,16.7
2023-02-12,-99.9,360,-99.9,7,74,0,0.3,-99.9,-99.9,34,27.7,21.8,-99.9,28.3
2023-02-13,-99.9,315,-99.9,8.8,75,0,0.7,-99.9,-99.9,33.4,27,22.2,-99.9,11
2023-02-14,-99.9,0,-99.9,6.1,84,0,1.7,-99.9,-99.9,32,24.3,16,-99.9,4.3
2023-02-15,-99.9,315,-99.9,4.9,78,0,6,-99.9,-99.9,31.2,23.4,16.2,-99.9,3.3
2023-02-16,-99.9,0,-99.9,3.3,75,0.2,7.7,-99.9,-99.9,31,23.8,16.4,-99.9,0.7
2023-02-17,-99.9,9,-99.9,2.6,64,0,1.3,-99.9,-99.9,33.4,25,15.6,-99.9,2
2023-02-18,-99.9,315,-99.9,7.6,46,0,0.3,-99.9,-99.9,31,26.4,23,-99.9,60
2023-02-19,-99.9,360,-99.9,10.6,53,0,0.3,-99.9,-99.9,31.6,26.9,23,,55
2023-02-20,-99.9,45,-99.9,7.9,70,0,1,-99.9,-99.9,33.4,26.9,22,-99.9,27.3
2023-02-21,-99.9,315,-99.9,7.7,-99.9,0,5.3,-99.9,-99.9,33.8,26.6,21.6,-99.9,6.3
2023-02-22,0,9,-99.9,4.3,74,4.4,6,-99.9,,32.8,25.7,18,-99.9,4.7
2023-02-23,-99.9,315,-99.9,5.1,84,0,6,-99.9,-99.9,30.2,23.1,15.8,-99.9,3
2023-02-24,-99.9,9,-99.9,3.1,70,0,3.7,-99.9,-99.9,31.8,24.7,15.6,-99.9,5.7
2023-02-25,-99.9,270,-99.9,6.4,79,0,3,-99.9,-99.9,33,26.6,18.2,-99.9,5.3
2023-02-26,-99.9,270,-99.9,4.9,70,0,3.3,-99.9,-99.9,32.6,26.1,18.8,-99.9,8
2023-02-27,-99.9,9,-99.9,3.9,81,0,3.7,-99.9,-99.9,32.8,25.6,16.8,-99.9,4.3
2023-02-28,-99.9,9,-99.9,5.7,72,0,5.3,-99.9,-99.9,31.4,25.2,16.6,-99.9,3.7
2023-03-01,-99.9,9,-99.9,4.1,79,0,5.7,-99.9,-99.9,31.8,23.9,15.4,-99.9,2.7
2023-03-02,-99.9,9,-99.9,4.7,86,0,4.3,-99.9,-99.9,32.8,24.7,16.4,-99.9,6.7
2023-03-03,-99.9,9,-99.9,4.3,73,0,4.7,-99.9,-99.9,32.2,23.7,14.8,-99.9,6.3
2023-03-04,-99.9,0,-99.9,5,73,0,5,-99.9,-99.9,32.6,24.7,16.6,-99.9,1.3
2023-03-05,,,,,,,,,,,,17,,
