FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,135.0,-99.9,-99.9,78.0,0.0,4.0,776.7,-99.9,31.5,22.1,11.5,-99.9,2.0
2023-02-02,-99.9,45.0,-99.9,-99.9,75.0,0.0,1.0,776.2,-99.9,32.5,22.3,10.0,-99.9,2.0
2023-02-03,-99.9,9.0,-99.9,-99.9,74.0,2.6,5.3,778.9,-99.9,22.5,17.3,10.5,-99.9,2.0
2023-02-04,-99.9,45.0,-99.9,-99.9,77.0,0.0,8.0,778.2,-99.9,26.0,20.3,14.5,-99.9,2.0
2023-02-05,-99.9,45.0,-99.9,-99.9,69.0,0.0,4.3,777.1,-99.9,29.5,22.9,15.5,-99.9,2.0
2023-02-06,-99.9,45.0,-99.9,-99.9,68.0,0.0,4.0,776.5,-99.9,28.5,20.7,13.0,-99.9,3.7
2023-02-07,-99.9,45.0,-99.9,-99.9,68.0,0.0,1.0,774.8,-99.9,32.0,22.8,10.5,-99.9,2.0
2023-02-08,-99.9,360.0,-99.9,-99.9,71.0,0.0,5.3,774.2,-99.9,33.5,24.3,15.0,-99.9,2.0
2023-02-09,-99.9,45.0,-99.9,-99.9,80.0,0.0,3.0,774.4,-99.9,31.5,23.6,13.5,-99.9,2.0
2023-02-10,-99.9,9.0,-99.9,-99.9,68.0,0.0,1.7,774.5,-99.9,31.5,23.0,13.0,-99.9,2.0
2023-02-11,-99.9,360.0,-99.9,-99.9,71.0,0.0,4.0,775.9,-99.9,30.0,22.1,12.0,-99.9,2.0
2023-02-12,-99.9,45.0,-99.9,-99.9,63.0,0.0,4.0,775.8,-99.9,28.0,22.1,15.5,-99.9,2.0
2023-02-13,-99.9,45.0,-99.9,-99.9,73.0,0.0,5.7,775.7,-99.9,30.0,23.3,16.0,-99.9,1.3
2023-02-14,-99.9,45.0,-99.9,-99.9,84.0,0.0,0.0,774.2,-99.9,34.0,22.5,10.5,-99.9,2.0
2023-02-15,-99.9,45.0,-99.9,-99.9,69.0,0.0,1.0,773.3,-99.9,36.0,24.7,11.5,,2.0
2023-02-16,-99.9,45.0,-99.9,-99.9,77.0,0.0,1.7,772.3,-99.9,37.5,26.9,14.5,-99.9,2.0
2023-02-17,-99.9,45.0,-99.9,-99.9,68.0,0.0,5.0,775.7,-99.9,31.0,26.8,15.0,-99.9,3.7
2023-02-18,-99.9,90.0,-99.9,-99.9,76.0,0.0,4.3,777.7,-99.9,27.5,20.7,16.0,-99.9,2.0
2023-02-19,-99.9,90.0,-99.9,-99.9,72.0,0.0,7.3,778.3,-99.9,26.5,20.1,16.5,-99.9,2.0
2023-02-20,-99.9,90.0,-99.9,-99.9,71.0,0.0,5.3,777.3,-99.9,29.0,20.9,11.5,-99.9,2.0
2023-02-21,-99.9,45.0,-99.9,-99.9,76.0,0.0,4.0,774.8,-99.9,33.0,22.9,10.0,-99.9,3.7
2023-02-22,-99.9,45.0,-99.9,-99.9,65.0,0.0,4.0,774.1,-99.9,34.5,24.6,12.5,-99.9,2.0
2023-02-23,-99.9,45.0,-99.9,-99.9,61.0,0.0,4.0,775.3,-99.9,34.0,24.3,15.0,-99.9,2.0
2023-02-24,-99.9,45.0,-99.9,-99.9,72.0,0.0,3.0,776.5,-99.9,33.5,24.1,13.5,,2.0
2023-02-25,-99.9,45.0,-99.9,-99.9,79.0,0.0,3.0,776.8,-99.9,33.0,23.3,12.5,-99.9,2.0
2023-02-26,-99.9,45.0,-99.9,-99.9,69.0,0.0,2.3,775.4,-99.9,32.5,23.4,12.0,-99.9,2.0
2023-02-27,-99.9,45.0,-99.9,-99.9,55.0,0.0,2.7,772.9,-99.9,35.0,25.5,13.5,-99.9,2.0
2023-02-28,-99.9,45.0,-99.9,-99.9,63.0,0.0,2.3,773.4,-99.9,35.5,26.4,16.5,-99.9,2.0
2023-03-01,-99.9,45.0,-99.9,-99.9,67.0,0.0,2.7,773.2,-99.9,38.0,26.0,12.0,-99.9,2.0
2023-03-02,-99.9,45.0,-99.9,-99.9,39.0,0.0,2.0,770.8,-99.9,35.0,26.1,15.0,-99.9,2.0
2023-03-03,-99.9,180.0,-99.9,-99.9,62.0,0.0,2.7,769.2,-99.9,38.5,26.6,12.0,-99.9,2.0
2023-03-04,-99.9,45.0,-99.9,-99.9,69.0,0.0,2.7,772.1,-99.9,36.5,26.2,14.0,-99.9,2.0
2023-03-05,,,,,,,,,,,,14.5,,
