FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.3,-99.9,-99.9,35.0,27.6,19.1,-99.9,2.3
2023-02-02,-99.9,0.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,35.0,28.3,20.2,-99.9,0.0
2023-02-03,-99.9,360.0,-99.9,-99.9,-99.9,0.0,5.3,-99.9,-99.9,31.2,25.3,18.4,-99.9,4.7
2023-02-04,-99.9,360.0,-99.9,-99.9,-99.9,0.0,4.7,-99.9,-99.9,31.2,25.8,18.2,-99.9,3.0
2023-02-05,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.0,-99.9,-99.9,30.0,25.3,18.0,-99.9,0.0
2023-02-06,-99.9,360.0,-99.9,-99.9,-99.9,0.0,3.3,-99.9,-99.9,31.3,25.8,17.3,-99.9,3.0
2023-02-07,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.7,-99.9,-99.9,33.0,26.9,18.3,-99.9,2.3
2023-02-08,-99.9,0.0,-99.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,33.2,26.9,19.0,-99.9,4.3
2023-02-09,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.3,-99.9,-99.9,34.6,27.9,19.2,-99.9,2.3
2023-02-10,-99.9,9.0,-99.9,-99.9,-99.99,0.0,5.7,-99.99,-99.9,30.0,25.6,20.0,-99.99,6.7
2023-02-11,-99.9,9.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,33.6,27.0,18.3,-99.9,3.0
2023-02-12,-99.9,360.0,-99.9,-99.9,-99.9,0.0,1.3,-99.9,-99.9,34.0,27.0,19.0,-99.9,5.0
2023-02-13,-99.9,360.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,33.0,26.2,18.0,-99.9,9.0
2023-02-14,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.3,-99.9,-99.9,34.0,27.0,19.0,,0.0
2023-02-15,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.0,28.0,19.0,-99.9,2.3
2023-02-16,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.7,-99.9,-99.9,36.1,29.2,19.3,-99.9,6.7
2023-02-17,-99.9,0.0,-99.9,-99.9,-99.9,0.0,2.0,-99.9,-99.9,34.0,28.2,20.2,-99.9,2.3
2023-02-18,-99.9,0.0,-99.9,-99.9,-99.9,0.0,4.7,-99.9,-99.9,32.4,26.4,19.1,-99.9,4.3
2023-02-19,-99.9,360.0,-99.9,-99.9,-99.9,0.0,6.7,-99.9,-99.9,31.0,25.9,19.0,-99.9,8.7
2023-02-20,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,33.5,26.6,18.3,-99.9,4.3
2023-02-21,-99.9,0.0,-99.9,-99.9,-99.9,0.0,2.7,-99.9,-99.9,34.2,27.3,19.2,-99.9,2.3
2023-02-22,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.7,-99.9,-99.9,35.6,28.9,19.3,-99.9,2.3
2023-02-23,-99.9,360.0,-99.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,38.6,30.5,21.0,-99.9,4.7
2023-02-24,-99.9,360.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,36.0,29.0,21.0,-99.9,9.0
2023-02-25,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.7,-99.9,-99.9,35.0,28.7,20.3,-99.9,4.3
2023-02-26,-99.0,0.0,-99.9,-99.9,-99.9,0.0,0.7,-99.9,-99.9,36.0,28.0,20.1,-99.9,2.3
2023-02-27,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,35.0,28.7,20.3,-99.9,4.3
2023-02-28,-99.9,360.0,-99.9,-99.9,-99.9,0.0,2.7,-99.9,-99.9,37.0,29.7,21.0,-99.9,4.7
2023-03-01,-99.9,0.0,-99.9,-99.9,-99.9,0.0,0.7,-99.9,-99.9,37.2,29.8,21.3,-99.9,2.3
2023-03-02,-99.9,0.0,-99.9,-99.9,-99.9,0.0,1.7,-99.9,-99.9,37.4,29.6,21.1,-99.9,2.3
2023-03-03,-99.9,360.0,-99.9,-99.9,-99.9,0.0,0.0,-99.9,-99.9,37.0,30.3,21.0,-99.9,6.7
2023-03-04,-99.9,0.0,-99.9,-99.9,-99.9,,0.7,-99.9,-99.9,37.4,29.6,20.4,-99.9,4.3
2023-03-05,0.0,360.0,,,,,2.0,-99.9,,35.5,29.0,22.2,-99.9,4.7
2023-03-06,-99.9,0.0,-99.9,-99.9,-99.9,0.0,2.7,-99.9,-99.9,35.5,29.2,21.2,-99.9,0.0
2023-03-07,-99.9,360.0,-99.9,-99.9,-99.9,0.0,4.7,-99.9,-99.9,36.0,29.0,20.2,-99.9,6.7
2023-03-08,-99.9,360.0,-99.9,-99.9,-99.9,0.0,2.3,-99.9,-99.9,38.0,30.0,21.0,-99.9,4.7
2023-03-09,-99.9,360.0,-99.9,-99.9,-99.9,0.0,1.7,-99.9,-99.9,37.0,29.8,22.0,-99.9,13.3
2023-03-10,,,,,,,,,,,,20.4,,
