FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,8.8,90.0,-99.9,-99.9,91.0,0.0,3.0,-99.9,-99.9,28.7,20.7,12.2,23.3,15.3
2023-02-02,9.8,90.0,-99.9,-99.9,91.0,0.0,2.0,-99.9,-99.9,28.7,21.3,12.5,23.3,18.3
2023-02-03,0.9,90.0,-99.9,-99.9,90.0,0.4,8.0,-99.9,-99.9,23.4,19.0,12.0,23.3,11.3
2023-02-04,1.5,90.0,-99.9,-99.9,94.0,0.4,8.0,-99.9,-99.9,23.6,19.3,15.0,23.3,6.3
2023-02-05,4.2,90.0,-99.9,-99.9,93.0,0.0,5.0,-99.9,-99.9,24.9,19.6,14.9,23.3,16.7
2023-02-06,0.0,90.0,-99.9,-99.9,84.0,0.0,7.0,-99.9,-99.9,22.4,17.5,9.5,23.3,5.7
2023-02-07,10.0,90.0,-99.9,-99.9,89.0,0.0,1.0,-99.9,-99.9,29.8,20.2,9.4,23.3,6.7
2023-02-08,9.2,90.0,-99.9,-99.9,91.0,0.0,1.0,-99.9,-99.9,30.2,22.1,12.7,22.8,20.7
2023-02-09,9.8,90.0,-99.9,-99.9,92.0,0.0,1.0,-99.9,-99.9,29.5,21.2,11.3,22.8,18.7
2023-02-10,7.1,90.0,-99.9,-99.9,91.0,0.0,4.0,-99.9,-99.9,27.7,20.8,12.1,22.9,14.3
2023-02-11,2.8,90.0,-99.9,-99.9,91.0,0.3,7.0,-99.9,-99.9,26.3,19.6,11.3,23.2,4.0
2023-02-12,3.4,45.0,-99.9,-99.9,88.0,0.0,6.0,-99.9,-99.9,25.6,18.6,13.9,23.1,9.7
2023-02-13,5.5,90.0,-99.9,-99.9,93.0,0.0,7.0,-99.9,-99.9,27.7,20.5,15.0,23.1,10.0
2023-02-14,7.6,90.0,-99.9,-99.9,89.0,0.0,2.0,-99.9,-99.9,31.6,21.3,9.5,23.0,15.0
2023-02-15,9.5,90.0,-99.9,-99.9,93.0,0.0,2.0,-99.9,-99.9,31.7,23.0,14.4,23.0,18.7
2023-02-16,9.5,90.0,-99.9,-99.9,86.0,0.0,0.0,-99.9,-99.9,32.5,23.2,13.4,23.1,15.3
2023-02-17,8.2,45.0,-99.9,-99.9,89.0,0.0,4.0,-99.9,-99.9,29.7,21.6,14.4,23.1,5.0
2023-02-18,3.3,360.0,-99.9,-99.9,96.0,4.2,8.0,-99.9,-99.9,25.1,19.3,16.0,23.1,5.7
2023-02-19,0.0,45.0,-99.9,-99.9,95.0,1.6,8.0,-99.9,-99.9,20.1,17.7,15.7,23.6,1.3
2023-02-20,4.2,0.0,-99.9,-99.9,92.0,0.0,6.0,-99.9,-99.9,24.8,17.8,13.0,23.5,1.7
2023-02-21,7.7,90.0,-99.9,-99.9,88.0,0.0,3.0,-99.9,-99.9,31.1,21.1,10.5,23.4,5.7
2023-02-22,9.6,90.0,-99.9,-99.9,94.0,0.0,2.0,-99.9,-99.9,32.1,23.6,14.2,23.1,12.0
2023-02-23,10.1,90.0,-99.9,-99.9,90.0,0.0,1.0,-99.9,-99.9,31.2,23.4,17.0,23.1,12.7
2023-02-24,10.1,90.0,-99.9,-99.9,82.0,0.0,0.0,-99.9,-99.9,30.0,21.4,11.9,23.1,8.7
2023-02-25,9.3,45.0,-99.9,-99.9,84.0,0.0,3.0,-99.9,-99.9,29.7,21.5,12.8,23.1,18.0
2023-02-26,9.7,90.0,-99.9,-99.9,87.0,0.0,2.0,-99.9,-99.9,28.8,21.0,13.6,23.1,12.3
2023-02-27,9.7,90.0,-99.9,-99.9,90.0,0.0,0.0,-99.9,-99.9,32.1,22.0,11.6,23.6,16.0
2023-02-28,10.0,90.0,-99.9,-99.9,85.0,0.0,1.0,-99.9,-99.9,32.2,24.3,16.0,23.8,11.0
2023-03-01,9.3,90.0,-99.9,-99.9,92.0,0.0,0.0,-99.9,-99.9,33.8,23.5,14.6,24.0,20.0
2023-03-02,9.2,90.0,-99.9,-99.9,94.0,0.0,1.0,-99.9,-99.9,32.8,25.0,15.6,24.2,7.0
2023-03-03,9.8,90.0,-99.9,-99.9,92.0,0.0,0.0,-99.9,-99.9,33.8,24.7,13.0,24.2,10.0
2023-03-04,9.3,90.0,-99.9,-99.9,95.0,0.0,0.0,-99.9,-99.9,33.7,23.7,14.9,24.2,7.0
2023-03-05,9.4,90.0,-99.9,-99.9,92.0,0.0,1.0,-99.9,-99.9,31.4,23.6,15.2,24.7,16.0
2023-03-06,9.7,90.0,-99.9,-99.9,89.0,0.0,1.0,-99.9,-99.9,30.4,22.9,15.6,24.7,13.0
2023-03-07,6.8,90.0,-99.9,-99.9,94.0,0.0,5.0,-99.9,-99.9,29.4,21.6,14.4,25.0,14.0
2023-03-08,,,,,,0.0,,,,31.5,22.3,13.5,,
2023-03-09,,,,,,0.0,,,,30.7,21.3,12.6,,
2023-03-10,,,,,,,,,,,,12.2,,
