FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,9.0,0.0,-99.9,3.0,77.0,0.0,0.0,-99.9,-99.9,22.2,13.7,2.0,23.2,0.0
2023-02-02,8.8,0.0,-99.9,4.0,84.0,0.0,5.3,-99.9,-99.9,20.2,12.5,3.4,15.0,0.0
2023-02-03,-99.9,90.0,-99.9,4.0,69.0,0.0,5.3,-99.9,-99.9,18.2,10.5,3.0,18.0,6.0
2023-02-04,8.3,90.0,-99.9,0.7,53.0,0.0,8.0,-99.9,-99.9,19.0,13.9,4.0,21.0,15.3
2023-02-05,8.7,180.0,-99.9,4.2,59.0,0.0,8.0,-99.9,-99.9,20.0,13.4,7.0,20.2,3.3
2023-02-06,8.7,0.0,-99.9,3.6,69.0,0.0,8.0,-99.9,-99.9,20.0,11.9,3.2,19.2,0.0
2023-02-07,9.8,0.0,-99.69,2.4,78.0,0.0,2.7,-99.9,-99.9,22.4,12.1,2.4,5.2,0.0
2023-02-08,0.0,0.0,-99.9,4.3,75.0,0.0,5.3,-99.9,-99.9,21.2,13.5,2.0,24.2,0.0
2023-02-09,8.6,0.0,-99.9,3.9,80.0,0.0,5.3,-99.9,-99.9,21.0,12.9,5.4,23.4,0.0
2023-02-10,0.0,0.0,,3.4,73.0,0.0,5.3,-99.9,,20.4,13.7,4.4,22.2,0.0
2023-02-11,9.8,45.0,-99.9,2.5,79.0,0.0,5.3,-99.9,-99.9,22.4,13.5,2.4,22.2,9.3
2023-02-12,9.9,90.0,-99.9,5.5,64.0,0.0,5.3,-99.9,-99.9,21.2,13.5,4.0,23.0,12.7
2023-02-13,8.4,0.0,-99.9,3.0,69.0,0.0,5.3,-99.9,-99.9,20.2,13.4,4.2,24.2,1.3
2023-02-14,0.0,0.0,-99.9,3.0,80.0,0.0,2.7,-99.9,-99.9,19.0,12.3,4.2,22.4,0.0
2023-02-15,0.0,0.0,-99.9,2.5,54.0,0.0,2.7,-99.9,-99.9,21.4,13.6,4.0,20.2,0.0
2023-02-16,0.0,0.0,-99.9,4.2,81.0,0.0,1.7,-99.9,-99.9,20.4,12.1,2.4,-99.9,0.0
2023-02-17,10.0,9.0,-99.9,3.8,82.0,0.0,0.0,-99.9,-99.9,22.4,13.3,3.0,17.4,10.0
2023-02-18,0.0,90.0,-99.9,5.5,70.0,0.0,2.7,-99.9,-99.9,20.2,14.2,4.0,19.4,20.7
2023-02-19,0.0,45.0,-99.9,4.5,78.0,0.0,2.7,-99.9,-99.9,20.0,14.0,8.4,22.2,16.7
2023-02-20,-99.9,90.0,-99.9,6.3,46.0,0.0,2.0,-99.9,-99.9,21.4,15.2,8.0,23.2,9.3
2023-02-21,0.0,0.0,-99.9,2.2,71.0,0.0,5.3,-99.9,-99.9,20.2,14.2,5.2,22.2,0.0
2023-02-22,0.0,0.0,-99.9,3.5,98.0,0.0,2.7,-99.9,-99.9,19.2,13.5,5.0,-99.9,0.0
2023-02-23,7.6,0.0,-99.9,3.5,85.0,0.0,2.7,-99.9,-99.9,19.2,12.7,6.2,23.2,0.0
2023-02-24,0.0,,-99.9,5.4,-99.9,0.0,2.7,-99.9,-99.9,21.2,13.7,5.4,-99.9,0.0
2023-02-25,10.2,0.0,-99.9,4.9,71.0,0.0,1.0,-99.9,-99.9,22.4,14.9,6.0,25.4,0.7
2023-02-26,-99.9,0.0,-99.9,5.4,82.0,0.0,0.0,-99.9,-99.9,21.2,13.3,4.0,21.2,0.0
2023-02-27,6.6,0.0,-99.9,3.2,87.0,0.0,0.0,-99.9,-99.9,19.0,11.7,4.2,21.4,0.0
2023-02-28,-99.9,0.0,-99.9,2.5,88.0,0.0,0.0,-99.9,-99.9,21.4,13.7,4.0,23.4,0.0
2023-03-01,0.0,0.0,-99.9,9.9,90.0,,0.0,-99.9,-99.9,22.4,13.6,3.4,23.4,0.0
2023-03-02,0.0,0.0,-99.9,8.5,94.0,0.0,3.0,-99.9,-99.9,20.2,13.4,4.0,21.4,0.0
2023-03-03,0.0,0.0,-99.9,7.1,84.0,0.0,0.0,-99.9,-99.9,22.4,14.9,5.0,23.2,2.7
2023-03-04,10.1,0.0,-99.9,7.1,84.0,0.0,0.0,-99.9,-99.9,22.4,14.9,5.0,23.2,2.7
2023-03-05,0.0,0.0,-99.9,4.8,90.0,0.0,2.7,-99.9,-99.9,23.2,15.2,8.2,26.2,0.0
2023-03-06,9.7,0.0,-99.9,9.1,80.0,0.0,4.3,-99.9,-99.9,21.4,14.1,6.0,25.4,0.7
2023-03-07,0.0,270.0,-99.9,4.0,80.0,0.0,0.0,-99.9,-99.9,19.0,12.8,4.0,23.0,2.0
2023-03-08,0.0,0.0,-99.9,2.9,83.0,0.8,3.7,-99.9,-99.9,20.0,13.1,8.0,18.2,1.3
2023-03-09,0.0,0.0,-99.9,2.6,87.0,0.0,2.7,-99.9,-99.9,19.0,12.9,7.2,19.0,0.7
2023-03-10,,,,,,,,,,,,6.4,,
