FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,270.0,3.7,-99.9,-99.9,0.0,2.0,-99.9,-99.9,26.4,19.7,8.0,-99.9,1.7
2023-02-02,-99.9,9.0,3.5,-99.9,-99.9,0.0,0.0,-99.9,-99.9,24.4,18.0,7.0,-99.9,1.7
2023-02-03,-99.9,270.0,5.2,-99.9,-99.9,1.1,6.0,-99.9,-99.9,17.6,14.3,9.0,-99.9,2.7
2023-02-04,-99.9,270.0,1.5,-99.9,-99.9,0.5,8.0,-99.9,-99.9,20.4,16.3,10.0,-99.9,3.0
2023-02-05,-99.9,270.0,2.1,-99.9,-99.9,0.0,6.0,-99.9,-99.9,24.6,17.8,9.0,-99.9,2.0
2023-02-06,-99.9,270.0,3.0,-99.9,-99.9,0.0,6.0,-99.9,-99.9,21.2,15.9,6.0,-99.9,3.7
2023-02-07,-99.9,270.0,2.7,-99.9,-99.9,0.0,1.0,-99.9,-99.9,24.2,18.0,7.0,-99.9,2.0
2023-02-08,-99.9,270.0,3.5,-99.9,-99.9,0.0,6.0,-99.9,-99.9,24.8,18.2,10.0,-99.9,2.3
2023-02-09,-99.9,270.0,4.0,-99.9,-99.9,0.0,4.0,-99.9,-99.9,27.2,19.6,10.0,-99.9,2.7
2023-02-10,-99.9,180.0,4.1,-99.9,-99.9,0.0,3.0,-99.9,-99.9,25.6,17.9,8.0,-99.9,1.7
2023-02-11,-99.9,270.0,3.5,-99.9,-99.9,0.0,2.0,-99.9,-99.9,24.4,18.5,9.0,-99.9,2.7
2023-02-12,-99.9,270.0,3.8,-99.9,-99.9,0.0,2.0,-99.9,-99.9,22.8,18.1,8.0,-99.9,2.7
2023-02-13,-99.9,270.0,4.4,-99.9,-99.9,0.0,7.0,-99.9,-99.9,21.8,17.9,10.0,-99.9,3.0
2023-02-14,-99.9,270.0,3.0,-99.9,-99.9,0.0,1.0,-99.9,-99.9,27.4,19.1,8.0,-99.9,2.7
2023-02-15,-99.9,270.0,3.7,-99.9,-99.9,0.0,3.0,-99.9,-99.9,27.0,19.1,10.0,-99.9,3.3
2023-02-16,-99.9,270.0,2.9,-99.9,-99.9,0.0,1.0,-99.9,-99.9,28.4,19.9,9.0,-99.9,3.0
2023-02-17,-99.9,270.0,4.3,-99.9,-99.9,0.2,5.0,-99.9,-99.9,24.8,19.1,11.0,-99.9,3.3
2023-02-18,-99.9,270.0,4.1,-99.9,-99.9,0.1,3.0,-99.9,-99.9,24.8,19.1,10.0,-99.9,2.7
2023-02-19,-99.9,270.0,2.4,-99.9,-99.9,0.0,5.0,-99.9,-99.9,28.4,18.6,9.0,-99.9,4.0
2023-02-20,-99.9,270.0,2.5,-99.9,-99.9,0.0,7.0,-99.9,-99.9,22.4,17.5,8.0,-99.9,3.7
2023-02-21,-99.9,180.0,2.8,-99.9,-99.9,0.0,2.0,-99.9,-99.9,28.4,19.9,6.0,-99.9,2.3
2023-02-22,-99.9,270.0,2.8,-99.9,-99.9,0.0,6.0,-99.9,-99.9,25.4,19.2,8.0,-99.9,3.0
2023-02-23,-99.9,270.0,3.4,-99.9,-99.9,0.0,3.0,-99.9,-99.9,26.4,19.7,9.0,-99.9,2.3
2023-02-24,-99.9,270.0,5.4,-99.9,-99.9,0.0,3.0,-99.9,-99.9,27.2,20.4,8.0,-99.9,2.0
2023-02-25,-99.9,180.0,4.8,-99.9,-99.9,0.0,0.0,-99.9,-99.9,30.6,19.4,8.0,-99.9,2.3
2023-02-26,-99.9,270.0,4.7,-99.9,-99.9,0.0,5.0,-99.9,-99.9,24.0,17.6,7.0,-99.9,2.3
2023-02-27,-99.9,270.0,4.9,-99.9,-99.9,0.0,3.0,-99.9,-99.9,24.8,18.4,6.0,-99.9,1.7
2023-02-28,-99.9,270.0,4.4,-99.9,-99.9,0.0,2.0,-99.9,-99.9,26.6,20.6,9.0,-99.9,2.3
2023-03-01,-99.9,270.0,4.8,-99.9,-99.9,0.0,4.0,-99.9,-99.9,29.2,21.1,10.0,-99.9,3.3
2023-03-02,-99.9,270.0,5.2,-99.9,-99.9,0.0,3.0,-99.9,-99.9,24.8,20.6,11.0,-99.9,2.7
2023-03-03,-99.9,270.0,7.1,-99.9,-99.9,0.0,1.0,-99.9,-99.9,28.0,21.3,13.0,-99.9,3.7
2023-03-04,-99.9,180.0,9.2,-99.9,-99.9,0.0,5.0,-99.9,-99.9,29.4,21.1,10.0,-99.9,1.3
2023-03-05,,,,,,,,,,,,12.0,,
