FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,0.0,4.2,-99.9,80.0,0.0,1.0,-99.9,-99.9,25.8,18.5,9.6,-99.9,4.3
2023-02-02,-99.9,360.0,3.9,-99.9,81.0,0.0,1.0,-99.9,-99.9,26.4,18.7,9.8,-99.9,6.7
2023-02-03,-99.9,9.0,4.2,-99.9,96.0,5.2,6.0,-99.9,-99.9,20.4,15.8,9.2,-99.9,6.7
2023-02-04,-99.9,45.0,1.8,-99.9,100.0,4.6,8.0,-99.9,-99.9,16.2,13.8,8.0,-99.9,6.7
2023-02-05,-99.9,0.0,0.8,-99.9,89.0,0.0,4.0,-99.9,-99.9,22.2,16.9,10.4,-99.9,4.3
2023-02-06,-99.9,9.0,2.5,-99.9,81.0,0.0,2.0,-99.9,-99.9,24.8,18.1,9.2,-99.9,7.7
2023-02-07,-99.9,9.0,3.8,-99.9,72.0,0.0,2.0,-99.9,-99.9,28.0,18.9,8.8,-99.9,9.7
2023-02-08,-99.9,0.0,5.6,-99.9,75.0,0.0,3.0,-99.9,-99.9,28.4,20.3,10.8,-99.9,5.3
2023-02-09,-99.9,0.0,5.4,-99.9,76.0,0.0,5.0,-99.9,-99.9,27.6,20.7,12.4,-99.9,4.3
2023-02-10,-99.9,0.0,4.3,-99.9,79.0,0.0,2.0,-99.9,-99.9,27.8,19.3,9.2,-99.9,5.3
2023-02-11,-99.9,180.0,3.9,-99.9,90.0,5.0,7.0,-99.9,-99.9,23.0,17.2,10.8,-99.9,6.7
2023-02-12,-99.9,0.0,1.8,-99.9,93.0,0.0,5.0,-99.9,-99.9,22.2,16.1,8.5,-99.9,4.3
2023-02-13,-99.9,360.0,2.4,-99.9,75.0,0.0,3.0,-99.9,-99.9,29.0,19.7,9.8,-99.9,4.7
2023-02-14,-99.9,360.0,4.3,-99.9,74.0,0.0,0.0,-99.9,-99.9,29.6,19.5,9.5,-99.9,4.7
2023-02-15,-99.9,9.0,5.3,-99.9,77.0,0.0,0.0,-99.9,-99.9,28.2,19.9,10.0,-99.9,6.7
2023-02-16,-99.9,0.0,4.9,-99.9,70.0,0.0,0.0,-99.9,-99.9,27.6,20.4,11.5,-99.9,4.3
2023-02-17,-99.9,0.0,5.4,-99.9,79.0,0.4,6.0,-99.9,-99.9,25.6,17.9,10.5,-99.9,5.3
2023-02-18,-99.9,180.0,3.9,-99.9,80.0,0.0,3.0,-99.9,-99.9,26.6,18.3,8.8,-99.9,9.7
2023-02-19,-99.9,0.0,3.9,-99.9,89.0,0.0,5.0,-99.9,-99.9,22.6,17.1,9.6,-99.9,4.3
2023-02-20,-99.9,0.0,2.9,-99.9,71.0,0.0,1.0,-99.9,-99.9,29.2,19.5,9.0,-99.9,4.3
2023-02-21,-99.9,0.0,5.7,-99.9,74.0,0.0,1.0,-99.9,-99.9,29.2,20.1,9.8,-99.9,4.3
2023-02-22,-99.9,0.0,5.3,-99.9,76.0,0.0,1.0,-99.9,-99.9,28.6,20.5,10.8,-99.9,4.3
2023-02-23,-99.9,0.0,4.8,-99.9,74.0,0.0,2.0,-99.9,-99.9,28.8,20.8,11.4,-99.9,4.3
2023-02-24,-99.9,0.0,5.0,-99.9,70.0,0.0,1.0,-99.9,-99.9,30.0,21.3,11.2,-99.9,4.3
2023-02-25,-99.9,0.0,5.9,-99.9,72.0,0.0,0.0,-99.9,-99.9,29.6,21.0,10.5,-99.9,5.3
2023-02-26,-99.9,9.0,6.0,-99.9,73.0,0.0,1.0,-99.9,-99.9,30.2,20.9,10.2,-99.9,6.7
2023-02-27,-99.9,0.0,6.2,-99.9,75.0,-99.9,1.0,-99.9,-99.9,29.4,20.2,9.0,-99.9,4.3
2023-02-28,-99.9,-99.9,-99.9,-99.9,-99.9,0.0,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
2023-03-01,-99.9,0.0,6.0,-99.9,64.0,0.0,0.0,-99.9,-99.9,30.8,22.5,11.0,-99.9,2.3
2023-03-02,-99.9,0.0,6.0,-99.9,61.0,0.0,0.0,-99.9,-99.9,31.4,22.5,11.6,-99.9,4.3
2023-03-03,-99.9,9.0,6.0,-99.9,64.0,0.0,0.0,-99.9,-99.9,29.8,21.9,11.5,-99.9,4.7
2023-03-04,-99.9,9.0,6.8,-99.9,70.0,0.0,1.0,-99.9,-99.9,30.8,22.0,10.2,-99.9,6.7
2023-03-05,,,,,,,,,,,,10.0,,
