FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,0.0,-99.9,-99.9,92.0,0.0,2.0,-99.9,-99.9,24.0,16.4,7.0,-99.9,4.3
2023-02-02,-99.9,90.0,-99.9,-99.9,91.0,0.0,0.0,-99.9,-99.9,24.4,16.5,7.0,-99.9,4.7
2023-02-03,-99.9,360.0,-99.9,-99.9,98.0,0.0,5.3,-99.9,-99.9,14.0,12.1,9.5,-99.9,6.7
2023-02-04,-99.9,360.0,-99.9,-99.9,96.0,0.0,7.3,-99.9,-99.9,19.4,14.1,9.5,-99.9,9.0
2023-02-05,-99.9,360.0,-99.9,-99.9,94.0,0.0,5.7,-99.9,-99.9,22.8,16.0,10.0,-99.9,4.7
2023-02-06,-99.9,360.0,-99.9,-99.9,94.0,0.0,3.7,-99.9,-99.9,21.8,14.3,7.5,-99.9,4.7
2023-02-07,-99.9,0.0,-99.9,-99.9,96.0,0.0,1.3,-99.9,-99.9,24.4,15.1,5.0,-99.9,2.3
2023-02-08,-99.9,0.0,-99.9,-99.9,94.0,0.0,2.3,-99.9,-99.9,24.6,17.3,9.0,-99.9,2.3
2023-02-09,-99.9,0.0,-99.9,-99.9,94.0,0.0,3.7,-99.9,-99.9,24.6,16.9,9.0,-99.9,2.3
2023-02-10,-99.9,9.0,-99.9,-99.9,96.0,0.0,5.3,-99.9,-99.9,23.6,15.1,7.0,-99.9,4.7
2023-02-11,-99.9,0.0,-99.9,-99.9,94.0,0.0,2.3,-99.9,-99.9,22.8,15.8,9.0,-99.9,4.3
2023-02-12,-99.9,180.0,-99.9,-99.9,92.0,0.0,3.0,-99.9,-99.9,22.6,15.8,8.5,-99.9,4.7
2023-02-13,-99.9,45.0,-99.9,-99.9,96.0,0.0,5.7,-99.9,-99.9,22.4,16.1,10.0,-99.9,6.7
2023-02-14,-99.9,45.0,-99.9,-99.9,96.0,0.0,5.7,-99.9,-99.9,22.4,16.1,10.0,-99.9,6.7
2023-02-15,-99.9,0.0,-99.9,-99.9,98.0,0.0,0.0,-99.9,-99.9,24.2,16.7,7.5,-99.9,4.3
2023-02-16,-99.9,9.0,-99.9,-99.9,96.0,0.0,1.7,-99.9,-99.9,22.4,16.6,7.0,-99.9,6.7
2023-02-17,-99.9,360.0,-99.9,-99.9,92.0,0.0,4.3,-99.9,-99.9,24.4,16.7,10.0,-99.9,11.0
2023-02-18,-99.9,360.0,-99.9,-99.9,96.0,0.0,4.3,-99.9,-99.9,17.6,13.0,9.5,-99.9,9.0
2023-02-19,-99.9,360.0,-99.9,-99.9,92.0,0.0,8.0,-99.9,-99.9,19.6,14.0,10.0,-99.9,9.0
2023-02-20,-99.9,360.0,-99.9,-99.9,94.0,0.0,4.0,-99.9,-99.9,21.0,14.7,9.0,-99.9,4.7
2023-02-21,-99.9,9.0,-99.9,-99.9,96.0,0.0,4.3,-99.9,-99.9,23.0,15.3,6.5,,4.7
2023-02-22,-99.9,0.0,-99.9,-99.9,94.0,0.0,5.7,-99.9,-99.9,23.8,16.7,11.0,-99.9,2.3
2023-02-23,-99.9,0.0,-99.9,-99.9,94.0,0.0,3.7,-99.9,-99.9,24.6,16.5,9.5,-99.9,2.3
2023-02-24,-99.9,0.0,-99.9,-99.9,91.0,0.0,2.3,-99.9,-99.9,25.0,18.1,9.5,-99.9,2.3
2023-02-25,-99.9,9.0,-99.9,-99.9,91.0,0.0,0.0,-99.9,-99.9,24.8,17.8,9.0,-99.9,4.7
2023-02-26,-99.9,0.0,-99.9,-99.9,89.0,0.0,1.3,-99.9,-99.9,23.8,16.9,7.0,-99.9,2.3
2023-02-27,-99.9,180.0,-99.9,-99.9,94.0,0.0,0.0,-99.9,-99.9,24.2,16.3,5.5,-99.9,4.7
2023-02-28,-99.9,9.0,-99.9,-99.9,94.0,0.0,0.7,-99.9,-99.9,25.4,17.1,7.5,-99.9,4.7
2023-03-01,-99.9,180.0,-99.9,-99.9,94.0,0.0,0.7,-99.9,-99.9,26.0,17.4,8.0,-99.9,6.7
2023-03-02,-99.9,180.0,-99.9,-99.9,92.0,0.0,3.0,-99.9,-99.9,25.6,17.5,9.5,-99.9,6.7
2023-03-03,-99.9,180.0,-99.9,-99.9,92.0,0.0,1.7,-99.9,-99.9,25.2,17.5,10.0,-99.9,6.7
2023-03-04,-99.9,0.0,-99.9,-99.9,92.0,0.0,2.7,-99.9,-99.9,26.2,17.9,9.5,,4.3
2023-03-05,,,,,,,,,,,,11.0,,
