FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,90,-99.9,-99.9,91,0,8,-99.9,-99.9,31,26.1,20.8,-99.9,2
2023-02-02,-99.9,90,-99.9,-99.9,91,0,8,-99.9,-99.9,30.4,25.6,20.6,-99.9,3.3
2023-02-03,-99.9,0,-99.9,-99.9,92,18.7,8,-99.9,-99.9,30,25.1,20.2,-99.9,1.3
2023-02-04,-99.9,9,-99.9,-99.9,93,7.7,8,-99.9,-99.9,29.4,24.1,19.8,-99.9,2
2023-02-05,-99.9,270,-99.9,-99.9,92,3.7,8,-99.9,-99.9,28.8,23.8,20,-99.9,4
2023-02-06,-99.9,0,-99.9,-99.9,93,0,8,-99.9,-99.9,28.4,23.8,19.2,-99.9,0.7
2023-02-07,-99.9,315,-99.9,-99.9,90,0,7,-99.9,-99.9,30,25.1,18.4,-99.9,3.3
2023-02-08,-99.9,9,-99.9,-99.9,90,0,6,-99.9,-99.9,31,26.2,20.4,-99.9,2.7
2023-02-09,-99.9,9,-99.9,-99.9,92,0,6,-99.9,-99.9,32.2,26.9,20.2,-99.9,3.7
2023-02-10,-99.9,0,-99.9,-99.9,92,0,7,-99.9,-99.9,32.4,25.3,20.6,-99.9,0.7
2023-02-11,-99.9,0,-99.9,-99.9,95,12.7,8,-99.9,-99.9,28.4,24.1,20,-99.9,2.3
2023-02-12,-99.9,45,-99.9,-99.9,93,0,7,-99.9,-99.9,28,22.3,19.6,-99.9,12.3
2023-02-13,-99.9,0,-99.9,-99.9,89,0,8,-99.9,-99.9,26.6,22.9,16.2,-99.9,1.3
2023-02-14,0.0,0.0,-99.9,-99.9,90.3,0.0,6.0,-99.9,-99.9,32.0,26.1,18.2,-99.9,1.3
2023-02-15,-99.9,0,-99.9,-99.9,85,0,5,-99.9,-99.9,33.2,26.8,17,-99.9,1.3
2023-02-16,-99.9,9,-99.9,-99.9,92,0,6,-99.9,-99.9,32.8,26.9,20.4,-99.9,2.7
2023-02-17,-99.9,9,-99.9,-99.9,90,6.8,7,-99.9,-99.9,32,26.8,21,-99.9,6.7
2023-02-18,-99.9,0,-99.9,-99.9,88,29.5,7,-99.9,-99.9,31.4,25.5,19.6,-99.9,0.7
2023-02-19,-99.9,9,-99.9,-99.9,93,17.1,8,-99.9,-99.9,28,23.8,19.6,-99.9,2
2023-02-20,-99.9,9,-99.9,-99.9,93,2.6,8,-99.9,-99.9,27.4,23.9,20.2,-99.9,2
2023-02-21,-99.9,0,-99.9,-99.9,91,0,6,-99.9,-99.9,33,26.9,20.8,-99.9,2.3
2023-02-22,-99.9,0,-99.9,-99.9,84,0,8,-99.9,-99.9,33.6,28.3,21.8,-99.9,2.3
2023-02-23,-99.9,0,-99.9,-99.9,81,0,5,-99.9,-99.9,33.6,28.1,21.2,-99.9,2
2023-02-24,-99.9,90,-99.9,-99.9,94,0,7,-99.9,-99.9,31.6,27,21.6,-99.9,5.7
2023-02-25,-99.9,45,-99.9,-99.9,88,0,8,-99.9,-99.9,31.2,26.8,22.2,-99.9,6.7
2023-02-26,-99.9,0,-99.9,-99.9,88,0,6,-99.9,-99.9,32.6,27.3,22.4,-99.9,1.3
2023-02-27,-99.9,45,-99.9,-99.9,84,0,5,-99.9,-99.9,33.2,27.3,19.4,-99.9,3
2023-02-28,-99.9,0,-99.9,-99.9,85,0,5,-99.9,-99.9,33.8,28.6,20.6,-99.9,0.7
2023-03-01,-99.9,9,-99.9,-99.9,93,0,5,-99.9,-99.9,34,28.3,21.6,-99.9,2.7
2023-03-02,-99.9,0,-99.9,-99.9,93,0,5,-99.9,-99.9,34.4,28.7,21.6,-99.9,0.7
2023-03-03,-99.9,0,-99.9,-99.9,92,0,5,-99.9,-99.9,35.6,29.5,21,-99.9,0.7
2023-03-04,-99.9,0,-99.9,-99.9,91,0,7,-99.9,-99.9,33,27.4,22.2,-99.9,1.3
2023-03-05,,,,,,,,,,,,21.2,,
