FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,0,-99.9,3.1,74,0,0.7,-99.9,-99.9,25.8,18.5,11,-99.9,6.7
2023-02-02,-99.9,0,-99.9,2,87,0,1.3,-99.9,-99.9,25.4,18.9,11,-99.9,4.3
2023-02-03,-99.9,45,-99.9,1.8,56,0,2,-99.9,-99.9,26.2,19.7,15.2,-99.9,16
2023-02-04,-99.9,360,-99.9,2.2,53,0,2,-99.9,-99.9,26,20.1,15,-99.9,30
2023-02-05,-99.9,360,-99.9,4.8,67,0,2,-99.9,-99.9,25.6,22,14.8,-99.9,30
2023-02-06,-99.9,90,-99.9,3.6,88,0,2.7,-99.9,-99.9,26.2,20.3,14,-99.9,18.3
2023-02-07,-99.9,180,-99.9,2.6,88,0,1,-99.9,-99.9,26,19.5,11.4,,15.3
2023-02-08,-99.9,180,-99.9,2,75,0,1.3,-99.9,-99.9,26,18.5,10.4,-99.9,10.3
2023-02-09,-99.9,180,-99.9,3.6,83,0,2.7,-99.9,-99.9,25.2,18.7,10.4,-99.9,9.3
2023-02-10,-99.9,180,-99.9,2.2,84,0,3.3,-99.9,-99.9,26.2,17.3,10.8,-99.9,7
2023-02-11,-99.9,360,-99.9,2.9,59,0,1,-99.9,-99.9,28,22.8,14,-99.9,28.3
2023-02-12,-99.9,360,-99.9,1,65,0,0.7,-99.9,-99.9,28.4,22.8,16,-99.9,29.3
2023-02-13,-99.9,90,-99.9,4,53,0,2,-99.9,-99.9,28,21.6,14.2,-99.9,15.7
2023-02-14,-99.9,180,-99.9,4.2,76,0,2.7,-99.9,-99.9,25.6,18.5,10.2,,7
2023-02-15,-99.9,180,-99.9,2.8,79,0,2.7,-99.9,-99.9,25.2,18.3,10.2,-99.9,13.5
2023-02-16,-99.9,180,-99.9,4.3,82,0,4,-99.9,-99.9,23.6,17.3,11,-99.9,7
2023-02-17,-99.9,360,-99.9,2.5,43,0,2,-99.9,-99.9,27.6,19.3,10.8,-99.9,20
2023-02-18,-99.9,360,-99.9,4.7,98,0,3.3,-99.9,-99.9,25.6,22.4,15.2,-99.9,43.3
2023-02-19,-99.9,360,-99.9,5,54,0,2.7,-99.9,-99.9,25,20.5,14.8,-99.9,40
2023-02-20,-99.9,180,-99.9,5.9,46,0,0,-99.9,-99.9,27.2,21.7,14.2,-99.9,27
2023-02-21,-99.9,9,-99.9,3.9,79,0,2,-99.9,-99.9,27.6,19.8,11.8,-99.9,11
2023-02-22,-99.9,360,-99.9,3.4,79,0.5,4.7,-99.9,-99.9,27.8,20.6,14.2,-99.9,10
2023-02-23,-99.9,180,-99.9,3.9,86,0,4,-99.9,-99.9,28,18.5,13.2,-99.9,13.7
2023-02-24,-99.9,315,-99.9,4.4,84,0,2,-99.9,-99.9,25.6,20.1,14.2,-99.9,14.3
2023-02-25,-99.9,180,-99.9,3.2,79,0,2,-99.9,-99.9,13,19.1,11,-99.9,11
2023-02-26,-99.9,0,-99.9,2.8,81,0,1.3,-99.9,-99.9,27.6,18.2,10.6,-99.9,9.3
2023-02-27,0,0,-99.9,3.4,84,0,2.7,-99.9,-99.9,25.2,18.1,9,-99.9,9.3
2023-02-28,-99.9,0,-99.9,3.8,83,0,4,-99.9,-99.9,25.8,18.9,10.4,-99.9,7.3
2023-03-01,-99.9,180,-99.9,3.6,83,0,4,-99.9,-99.9,25.8,18.6,10.4,-99.9,12.7
2023-03-02,-99.9,180,-99.9,3,88,0,5.3,-99.9,-99.9,26.4,17.7,13,-99.9,10
2023-03-03,-99.9,0,-99.9,2,79,0,2.7,-99.9,-99.9,27,18.5,9.2,-99.9,0.7
2023-03-04,-99.9,180,-99.9,4.2,73,0,2.7,-99.9,-99.9,27.2,19.9,12.8,-99.9,7.7
2023-03-05,-99.9,0,-99.9,4.3,79,0,2.3,-99.9,-99.9,27,19.5,12,-99.9,6
2023-03-06,-99.9,180,-99.9,2.3,84,0,2.7,-99.9,-99.9,27.4,18.5,10.8,-99.9,15.3
2023-03-07,-99.9,180,-99.9,4.4,93,0,5.3,-99.9,-99.9,24.2,18,11.4,-99.9,13.7
2023-03-08,-99.9,0,-99.9,4,87,0,5.3,-99.9,-99.9,24.2,18.5,14,-99.9,6.7
2023-03-09,-99.9,0,-99.9,3.2,83,0,4.7,-99.9,-99.9,24.4,18.7,12.2,-99.9,6.7
2023-03-10,,,,,,,,,,,,13,,
