FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,90.0,-99.9,-99.9,72.0,0.0,5.3,-99.9,-99.9,22.2,15.3,5.0,-99.9,1.4
2023-02-02,-99.9,360.0,-99.9,-99.9,-99.9,0.0,2.3,-99.9,-99.9,23.0,14.8,3.6,-99.9,1.7
2023-02-03,-99.9,90.0,-99.9,-99.9,85.0,6.3,8.0,-99.9,-99.9,15.8,10.7,4.0,-99.9,3.4
2023-02-04,-99.9,90.0,-99.9,-99.9,85.0,3.5,8.0,-99.9,-99.9,20.0,14.7,6.2,-99.9,1.7
2023-02-05,-99.9,1.0,-99.9,-99.9,80.0,0.0,6.0,-99.9,-99.9,23.4,17.7,8.6,-99.9,1.3
2023-02-06,-99.9,360.0,-99.9,-99.9,78.0,0.0,5.0,-99.9,-99.9,20.0,12.4,0.0,-99.9,2.1
2023-02-07,-99.9,9.0,-99.9,-99.9,70.0,0.0,4.7,-99.9,-99.9,22.2,14.1,0.0,,1.0
2023-02-08,-99.9,9.0,-99.9,-99.9,72.0,0.0,4.7,-99.9,-99.9,23.4,18.1,5.0,-99.9,1.7
2023-02-09,-99.9,360.0,-99.9,-99.9,65.0,0.0,5.0,-99.9,-99.9,23.0,15.8,5.4,,1.4
2023-02-10,0.0,90.0,-99.9,-99.9,74.0,0.0,2.0,-99.9,-99.9,22.8,14.6,2.5,-99.9,1.4
2023-02-11,-99.9,360.0,-99.9,-99.9,72.0,3.2,4.3,-99.9,-99.9,22.0,15.1,4.5,-99.9,2.1
2023-02-12,-99.9,360.0,-99.9,-99.9,65.0,0.0,3.3,-99.9,-99.9,22.2,15.1,6.0,-99.9,5.0
2023-02-13,-99.9,360.0,-99.9,-99.9,78.0,0.0,6.7,-99.9,-99.9,21.0,14.9,6.8,-99.9,1.4
2023-02-14,-99.9,9.0,-99.9,-99.9,72.0,0.0,4.0,-99.9,-99.9,23.2,15.9,4.2,,1.0
2023-02-15,-99.9,9.0,-99.9,-99.9,70.0,0.0,5.3,-99.9,-99.9,23.8,16.6,5.5,-99.9,1.3
2023-02-16,-99.9,9.0,-99.9,-99.9,68.0,0.0,2.7,-99.9,-99.9,24.6,16.6,4.6,-99.9,1.1
2023-02-17,0.0,360.0,-99.9,-99.9,65.0,1.8,6.7,-99.9,-99.9,22.0,15.8,6.0,,2.4
2023-02-18,-99.9,360.0,-99.9,-99.9,80.0,0.0,8.0,-99.9,-99.9,20.0,12.7,7.0,-99.9,2.4
2023-02-19,-99.9,90.0,-99.9,-99.9,80.0,0.0,7.3,-99.9,-99.9,21.6,15.7,8.0,-99.9,1.4
2023-02-20,-99.9,90.0,-99.9,-99.9,65.0,0.0,4.0,-99.9,-99.9,20.0,13.8,3.0,-99.9,1.3
2023-02-21,-99.9,90.0,-99.9,-99.9,65.0,0.0,7.3,-99.9,-99.9,21.0,15.1,5.0,-99.9,1.0
2023-02-22,0.0,360.0,-99.9,-99.9,72.0,0.0,5.3,-99.9,-99.9,22.8,16.1,6.5,-99.9,1.3
2023-02-23,-99.9,9.0,-99.9,-99.9,68.0,0.0,5.0,-99.9,-99.9,23.0,15.5,5.0,-99.9,1.1
2023-02-24,-99.9,9.0,-99.9,-99.9,40.0,0.0,3.0,-99.9,-99.9,23.2,15.5,3.2,-99.9,1.0
2023-02-25,-99.9,360.0,-99.9,-99.9,65.0,0.0,1.3,-99.9,-99.9,23.8,15.1,4.5,-99.9,1.7
2023-02-26,-99.9,360.0,-99.9,-99.9,50.0,0.0,5.3,-99.9,-99.9,23.6,16.3,6.4,-99.9,1.0
2023-02-27,-99.9,360.0,-99.9,-99.9,65.0,0.0,3.7,-99.9,-99.9,23.4,15.7,3.0,-99.9,1.7
2023-02-28,-99.9,30.0,-99.9,-99.9,70.0,0.0,4.0,-99.9,-99.9,24.0,16.2,4.2,-99.9,1.0
2023-03-01,-99.9,360.0,-99.9,-99.9,78.0,,5.0,-99.9,-99.9,24.6,16.7,6.5,-99.9,1.0
2023-03-02,-99.9,9.0,-99.9,-99.9,65.0,0.0,3.0,-99.9,-99.9,24.0,15.7,3.5,,1.3
2023-03-03,-99.9,360.0,-99.9,-99.9,72.0,0.0,3.3,-99.9,-99.9,23.6,15.8,3.8,-99.9,1.7
2023-03-04,-99.9,9.0,-99.9,-99.9,70.0,0.0,4.0,-99.9,-99.9,24.0,16.7,6.5,,1.1
2023-03-05,-99.9,9.0,-99.9,-99.9,72.0,0.0,4.3,-99.9,-99.9,23.6,17.5,11.0,-99.9,1.3
2023-03-06,-99.9,90.0,-99.9,-99.9,52.0,0.0,5.3,-99.9,-99.9,23.8,16.4,5.6,-99.9,1.7
2023-03-07,-99.9,90.0,-99.9,-99.9,70.0,0.0,8.0,-99.9,-99.9,21.4,15.9,6.0,-99.9,1.0
2023-03-08,-99.9,360.0,-99.9,-99.9,72.0,0.0,7.3,-99.9,-99.9,22.6,16.0,6.4,-99.9,1.0
2023-03-09,-99.9,90.0,-99.9,-99.9,64.0,0.0,6.0,-99.9,-99.9,24.0,15.0,3.4,-99.9,1.7
2023-03-10,,,,,,,,,,,,5.0,,
