FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,8.4,360,-99.9,2.8,66,0,0,-99.9,-99.9,34,27.9,18,-99.9,7.4
2023-02-02,8.5,90,-99.9,2.8,67,0,0,-99.9,-99.9,34.6,27.8,18.2,-99.9,7.4
2023-02-03,8.9,9,-99.9,-99.9,68,0,1,-99.9,-99.9,34,27.1,18,-99.9,9.9
2023-02-04,9,135,-99.9,-99.9,69,0,1,-99.9,-99.9,33.6,27.3,18,-99.9,12.3
2023-02-05,8.5,180,-99.9,-99.9,67,0,1,-99.9,-99.9,33.4,27.4,18.2,-99.9,8.6
2023-02-06,9.2,180,-99.9,-99.9,69,0,1,-99.9,-99.9,33.8,27.3,19.4,-99.9,8.6
2023-02-07,9.1,180,-99.9,-99.9,63,0,0,-99.9,-99.9,35.8,28.8,19,-99.9,8.6
2023-02-08,9.4,225,-99.9,-99.9,59,0,1,-99.9,-99.9,35,28.3,18.6,-99.9,7.4
2023-02-09,9.2,180,-99.9,-99.9,66,0,0,-99.9,-99.9,34,27.5,19,-99.9,7.4
2023-02-10,9.4,180,-99.9,-99.9,63,0,1,-99.9,-99.9,34,28.3,19.4,-99.9,7.4
2023-02-11,8.8,180,-99.9,-99.9,69,0,0,-99.9,-99.9,33.8,27.7,19.6,-99.9,7.4
2023-02-12,10.1,270,-99.9,-99.9,69,0,0,-99.9,-99.9,34.4,27.9,19,-99.9,8.6
2023-02-13,9.6,9,-99.9,-99.9,66.7,0,0,-99.9,-99.9,34.2,27.9,18.4,-99.9,7.4
2023-02-14,9,90,-99.9,-99.9,67,0,6,-99.9,-99.9,34.4,28,18.4,-99.9,7.4
2023-02-15,10.3,135,-99.9,-99.9,67,0,1,-99.9,-99.9,34,27.7,18.2,-99.9,8.6
2023-02-16,8.2,90,-99.9,-99.9,69,0,3,-99.9,-99.9,34,27.1,18.4,-99.9,7.4
2023-02-17,10.2,360,-99.9,-99.9,63,0,1,-99.9,-99.9,36,29.8,22,-99.9,7.4
2023-02-18,10.5,45,-99.9,-99.9,66,0,0,-99.9,-99.9,34.4,28,18.4,-99.9,9.9
2023-02-19,10.7,9,-99.9,-99.9,65,0,0,-99.9,-99.9,34.6,27.7,18.6,-99.9,14.8
2023-02-20,10.5,225,-99.9,-99.9,64,0,1,-99.9,-99.9,35.8,28.2,17.8,-99.9,8.6
2023-02-21,10.3,180,-99.9,-99.9,67,0,3,-99.9,-99.9,34.2,27.8,18.8,-99.9,8.6
2023-02-22,7.3,225,-99.9,-99.9,67,0,6,-99.9,-99.9,34.4,28.9,22,-99.9,7.4
2023-02-23,9.4,180,-99.9,-99.9,67,0,4,-99.9,-99.9,34.6,28.5,21.2,-99.9,7.4
2023-02-24,10.5,9,-99.9,-99.9,65,0,1,-99.9,-99.9,34.8,28.2,18.6,-99.9,8.6
2023-02-25,10.4,9,-99.9,-99.9,67,0,1,-99.9,-99.9,35.2,28.1,19,-99.9,7.4
2023-02-26,9.1,180,-99.9,-99.9,69,0,3,-99.9,-99.9,34.6,28.2,21,-99.9,8.6
2023-02-27,9.3,270,-99.9,-99.9,56,0,2,-99.9,-99.9,34.6,28.1,20.4,-99.9,8.6
2023-02-28,10,9,-99.9,-99.9,55,0,1,-99.9,-99.9,34,28.3,20,-99.9,7.4
2023-03-01,9.4,360,-99.9,-99.9,67,0,1,-99.9,-99.9,35,28.7,22,-99.9,8.6
2023-03-02,7.5,315,-99.9,-99.9,66,0,2,-99.9,-99.9,34.4,28.5,22,-99.9,9.9
2023-03-03,9.3,9,-99.9,-99.9,66,0,1,-99.9,-99.9,34,28.1,20,-99.9,8.6
2023-03-04,9.5,9,-99.9,4.6,62,0,0,-99.9,-99.9,36,29.3,20,-99.9,8.6
2023-03-05,8.9,9,-99.9,4.8,63,0,2,-99.9,-99.9,36,29.1,20,-99.9,8.6
2023-03-06,9.2,225,-99.9,5.4,60,0,1,-99.9,-99.9,36.6,30.7,22.4,-99.9,7.4
2023-03-07,1.5,225,-99.9,5.5,69,0,8,-99.9,-99.9,33.6,28.4,22.1,-99.9,7.4
2023-03-08,6.6,45,-99.9,3.9,69,0,5,-99.9,-99.9,33.8,28.5,22,-99.9,7.4
2023-03-09,7.2,180,-99.9,4.6,67,0,5,-99.9,-99.9,34.2,28.8,22.6,-99.9,7.4
2023-03-10,,,,,,,,,,,,23,,
