FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,270.0,2.0,-99.9,-99.9,0.0,2.7,-99.9,-99.9,20.5,13.5,-2.0,-99.9,9.0
2023-02-02,-99.9,9.0,2.0,-99.9,-99.9,0.0,2.3,-99.9,-99.9,18.5,11.9,1.0,-99.9,4.7
2023-02-03,-99.9,9.0,1.0,-99.9,-99.9,16.0,3.3,-99.9,-99.9,15.5,10.2,2.0,-99.9,9.0
2023-02-04,-99.9,270.0,0.0,-99.9,-99.9,0.0,8.0,-99.9,-99.9,14.0,10.7,-1.0,-99.9,6.7
2023-02-05,-99.9,315.0,0.0,-99.9,-99.9,0.0,5.7,-99.9,-99.9,15.5,10.8,1.0,-99.9,9.0
2023-02-06,-99.9,9.0,1.0,-99.9,-99.9,0.0,4.0,-99.9,-99.9,16.0,11.2,2.0,-99.9,9.0
2023-02-07,-99.9,9.0,1.0,-99.9,-99.9,0.0,2.3,-99.9,-99.9,16.5,11.6,2.0,,4.7
2023-02-08,-99.9,9.0,1.0,-99.9,-99.9,0.0,2.3,-99.9,-99.9,18.5,13.1,4.0,-99.9,6.7
2023-02-09,-99.9,315.0,1.5,-99.9,-99.9,0.0,4.7,-99.9,-99.9,16.5,12.5,3.0,-99.9,7.0
2023-02-10,-99.9,9.0,1.0,-99.9,-99.9,0.0,4.7,-99.9,-99.9,18.0,13.0,2.4,-99.9,9.0
2023-02-11,-99.9,9.0,1.0,-99.9,-99.9,4.8,6.3,-99.9,-99.9,22.8,13.6,3.2,-99.9,4.7
2023-02-12,-99.9,9.0,0.0,-99.9,-99.9,0.0,6.7,-99.9,-99.9,16.5,13.6,2.0,-99.9,4.7
2023-02-13,-99.9,315.0,0.0,-99.9,-99.9,0.0,2.3,-99.9,-99.9,17.5,12.1,4.0,-99.9,7.0
2023-02-14,-99.9,9.0,1.0,-99.9,-99.9,0.0,0.0,-99.9,-99.9,20.0,13.2,3.0,-99.9,6.7
2023-02-15,-99.9,9.0,1.0,-99.9,-99.9,0.0,0.7,-99.9,-99.9,21.0,13.7,2.0,-99.9,9.0
2023-02-16,-99.9,360.0,1.0,-99.9,-99.9,0.0,0.0,-99.9,-99.9,20.0,14.1,4.0,-99.9,11.3
2023-02-17,-99.9,9.0,1.5,-99.9,-99.9,1.0,6.0,-99.9,-99.9,18.0,12.6,3.0,-99.9,8.7
2023-02-18,-99.9,9.0,1.0,-99.9,-99.9,0.0,3.7,-99.9,-99.9,18.5,13.4,3.2,-99.9,15.2
2023-02-19,-99.9,270.0,1.0,-99.9,-99.9,0.0,4.3,-99.9,-99.9,17.5,13.0,4.0,-99.9,13.3
2023-02-20,-99.9,9.0,1.0,-99.9,-99.9,0.0,1.3,-99.9,-99.9,19.5,13.3,2.0,-99.9,9.0
2023-02-21,0.0,270.0,-99.9,-99.9,-99.9,,1.0,-99.9,-99.9,19.0,13.6,2.4,-99.9,6.7
2023-02-22,-99.9,315.0,1.0,-99.9,-99.9,0.0,2.0,-99.9,-99.9,23.8,13.7,4.0,-99.9,11.0
2023-02-23,-99.9,9.0,1.0,-99.9,-99.9,0.0,1.7,-99.9,-99.9,19.5,13.7,3.0,-99.9,11.0
2023-02-24,-99.9,270.0,1.0,-99.9,-99.9,0.0,1.3,-99.9,-99.9,19.5,13.5,4.0,-99.9,11.0
2023-02-25,-99.9,270.0,2.0,-99.9,-99.9,0.0,1.0,-99.9,-99.9,21.0,14.7,3.0,-99.9,11.3
2023-02-26,-99.9,315.0,0.0,-99.9,-99.9,0.0,1.3,-99.9,-99.9,20.0,13.6,1.4,-99.9,9.0
2023-02-27,-99.9,9.0,2.0,-99.9,-99.9,0.0,0.7,-99.9,-99.9,21.0,13.1,2.0,-99.9,6.7
2023-02-28,-99.9,180.0,2.0,-99.9,-99.9,0.0,1.0,-99.9,-99.9,20.5,13.6,3.2,-99.9,9.0
2023-03-01,-99.9,270.0,2.0,-99.9,-99.9,0.0,1.0,-99.9,-99.9,22.0,15.5,1.0,-99.9,9.0
2023-03-02,-99.9,315.0,1.5,-99.9,-99.9,0.0,1.3,-99.9,-99.9,22.5,15.9,2.0,-99.9,9.0
2023-03-03,-99.9,9.0,1.0,-99.9,-99.9,0.0,0.7,-99.9,-99.9,22.5,16.4,4.0,-99.9,11.3
2023-03-04,-99.9,9.0,2.0,-99.9,-99.9,0.0,1.7,-99.9,-99.9,21.0,15.0,2.0,-99.9,7.0
2023-03-05,,,,,,,,,,,,3.2,,
